BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440070179001,478,178,243,57,0,0,318,86,18,4,9,43,318,81,18,5,1,6,1,1,2,1,0,43
440070179002,798,313,386,99,0,0,452,186,31,35,11,83,452,182,31,4,4,5,1,3,0,19,1,83
440070179003,763,329,340,94,0,0,502,161,23,11,11,55,502,153,23,8,1,1,1,7,2,3,1,55
440070180001,745,344,304,97,0,0,465,155,18,26,14,67,465,152,18,3,7,3,2,8,0,2,2,67
440070180002,648,297,282,69,0,0,415,149,12,11,12,49,415,147,12,2,1,6,1,3,1,5,0,49
440070180003,476,210,217,49,0,0,270,123,18,11,9,45,270,118,18,5,2,5,2,1,0,4,0,45
440070181001,547,207,271,69,0,0,357,111,9,22,10,38,357,108,9,3,3,3,4,2,1,2,2,38
440070181002,1060,404,530,126,0,0,659,251,32,29,8,81,659,248,31,3,4,6,0,1,3,5,3,81
440070182001,846,312,425,109,0,0,568,144,13,23,17,81,568,135,13,9,4,5,2,7,2,4,2,81
440070182002,765,276,400,89,0,0,428,209,25,28,5,70,428,203,25,6,3,3,0,2,1,1,2,70
440070183001,995,374,481,140,0,0,596,220,28,32,23,96,596,216,28,4,3,8,3,3,2,7,0,96
440070184001,729,291,334,104,0,0,554,66,3,23,5,78,554,57,3,9,5,2,0,2,0,10,0,78
440070184002,750,283,355,112,0,0,558,101,5,6,17,63,558,98,5,3,2,15,0,0,0,0,0,63
440070184003,1118,468,514,136,0,0,639,310,19,27,24,99,639,306,19,4,9,11,4,4,1,4,0,99
440070184004,1626,669,730,227,0,0,1133,280,21,20,32,140,1133,269,21,11,3,8,4,17,2,4,0,140
440070185001,596,229,282,85,0,0,446,57,7,19,7,60,446,51,7,6,3,3,2,2,4,3,0,60
440070185002,1401,542,665,194,0,0,1051,139,17,25,35,134,1051,132,16,7,6,11,6,9,0,6,0,134
440010301001,1446,538,614,294,0,0,1096,80,3,39,37,191,1096,53,3,27,27,14,2,8,2,1,6,191
440010301002,738,356,277,105,0,0,597,27,1,21,19,73,597,14,1,13,10,4,6,5,7,0,3,73
440010301003,1054,565,352,137,0,0,855,47,0,18,25,109,855,34,0,13,6,3,10,6,10,0,2,109
440010301004,872,407,350,115,0,0,652,67,6,20,24,103,652,51,6,16,5,7,0,7,8,0,3,103
440010302001,870,362,355,153,0,0,699,39,0,26,8,98,699,29,0,10,15,5,0,1,5,1,2,98
440010302002,1060,458,475,127,0,0,797,73,3,34,35,118,797,52,3,21,21,23,7,4,10,0,2,118
440010302003,748,347,311,90,0,0,558,50,3,29,15,93,558,38,3,12,19,7,1,4,9,0,1,93
440010303001,1082,482,444,156,0,0,822,49,1,42,17,151,822,34,1,15,15,9,0,0,14,2,7,151
440010303002,1375,585,550,240,0,0,1073,50,0,44,39,169,1073,31,0,19,24,16,14,8,6,1,9,169
440010303003,1334,589,564,181,0,0,997,70,5,25,63,174,997,53,5,17,14,22,3,13,4,0,5,174
440010304001,938,392,371,175,0,0,771,26,0,15,26,100,771,19,0,7,7,11,0,8,4,0,4,100
440010304002,1313,603,528,182,0,0,1026,42,0,56,33,156,1026,40,0,2,30,22,0,4,8,6,7,156
