BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_14,eth2_21,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk
010730129052,1502,1184,292,26,0,0,1290,11,40,35,19,107,1290,8,11,32,1,11,14,10,9,4,2,0,0,2,107
010730129053,550,418,117,15,0,0,453,6,20,7,13,51,453,12,6,8,1,5,7,1,0,1,3,0,0,0,51
010730129071,443,301,105,37,0,0,357,11,28,10,6,31,357,16,11,12,1,1,5,4,2,1,0,0,0,0,31
010730129072,825,443,342,40,0,0,552,28,140,29,39,37,552,132,28,8,3,3,27,21,1,2,5,1,0,0,37
010730129073,1458,937,456,65,0,0,1087,43,170,17,27,114,1087,146,43,24,2,5,20,4,2,5,3,1,0,2,114
010730129074,812,346,442,24,0,0,389,19,354,3,14,33,389,345,19,9,2,2,8,1,0,0,4,0,0,0,33
010730129081,386,88,288,10,0,0,123,23,217,4,7,12,123,215,23,2,0,3,1,1,0,0,2,0,0,3,12
010730129082,679,252,392,35,0,0,311,22,293,6,13,34,311,286,22,7,1,5,9,0,0,0,1,0,0,0,34
010730129083,707,342,332,33,0,0,432,51,161,13,24,26,432,152,50,9,1,7,22,1,1,3,0,0,0,0,26
010730129084,927,512,372,43,0,0,611,47,181,18,31,39,611,176,46,5,0,3,17,3,0,7,5,2,0,3,39
010730129101,1916,1349,436,131,0,0,1467,28,204,19,33,165,1467,171,26,33,7,7,14,5,6,0,4,0,1,0,165
010730129102,1223,643,405,175,0,0,874,18,212,14,16,89,874,209,18,3,1,7,8,4,1,1,4,0,1,1,89
010730129111,1681,1351,282,48,0,0,1405,29,79,24,24,120,1405,25,27,54,1,5,16,13,5,1,0,0,1,0,120
010730129112,1167,885,247,35,0,0,993,10,44,21,23,76,993,21,10,23,1,4,15,15,1,1,2,0,1,1,76
010730129113,1638,1201,342,95,0,0,1335,31,72,39,30,131,1335,45,31,27,6,13,12,15,10,1,4,0,0,1,131
010730129114,1316,992,269,55,0,0,1105,20,55,26,20,90,1105,35,18,20,2,11,13,8,4,3,2,0,0,2,90
010730129131,1134,237,808,89,0,0,367,49,651,14,17,36,367,639,49,12,1,5,12,6,2,1,0,0,2,1,36
010730129132,652,259,343,50,0,0,333,18,221,18,14,48,333,217,18,4,0,6,11,4,4,4,0,0,0,2,48
010730129133,601,106,475,20,0,0,146,20,398,10,10,17,146,394,20,4,0,4,8,2,0,3,0,0,1,0,17
010730129141,1385,856,424,105,0,0,1086,22,102,36,33,106,1086,86,22,16,1,17,15,7,5,6,12,0,0,0,106
010730129161,1245,801,374,70,0,0,932,27,100,59,37,90,932,84,27,16,6,31,15,24,1,3,12,0,0,3,90
010730129162,1860,1361,443,56,0,0,1538,35,115,25,21,126,1538,89,35,26,2,14,11,6,1,1,2,3,2,1,126
010730129171,1658,1250,378,30,0,0,1353,22,76,32,37,138,1353,35,22,41,2,12,24,10,5,2,7,1,0,0,138
010730129172,530,152,349,29,0,0,212,16,256,14,5,27,212,245,16,11,2,7,3,6,0,0,0,1,0,0,27
010730129181,520,130,363,27,0,0,184,16,288,2,22,8,184,281,16,7,0,2,21,0,0,0,1,0,0,0,8
010730129182,873,314,507,52,0,0,395,53,359,17,13,36,395,356,53,3,0,3,8,5,6,3,1,0,0,0,36
010730129191,778,160,578,40,0,0,223,26,491,2,11,25,223,484,24,7,3,0,7,1,1,0,0,0,0,0,25
010730129192,246,38,189,19,0,0,58,11,157,2,6,12,58,155,11,2,0,1,5,1,0,0,0,0,0,0,12
010730129201,476,232,210,34,0,0,318,14,110,10,9,15,318,101,13,9,1,2,4,6,0,1,2,1,1,0,15
010730129202,551,369,160,22,0,0,434,1,16,42,12,46,434,10,1,6,1,23,3,11,5,2,2,0,1,0,46
010730129203,986,552,407,27,0,0,634,37,168,72,32,43,634,148,35,20,2,51,20,12,3,3,3,1,0,0,43
010730129211,806,569,205,32,0,0,688,11,11,11,14,71,688,6,11,5,2,7,10,2,1,0,1,1,0,0,71
