BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_34,eth2_21,eth2_23,eth2_14,eth2_12,eth2_38,eth2_unk
310199694001,850,460,202,171,17,0,0,703,32,0,5,8,102,703,32,0,4,2,0,0,0,2,1,2,102
310199694002,382,178,93,102,9,0,0,285,38,2,3,8,46,285,38,2,1,0,2,1,1,0,1,2,46
310199694003,647,370,152,109,15,1,0,526,31,0,2,10,78,526,31,0,2,0,2,1,0,1,0,0,78
310199694004,525,285,110,118,12,0,0,439,32,2,5,2,45,439,32,2,1,3,1,1,0,1,0,0,45
310199695001,397,203,98,89,7,0,0,332,18,1,2,2,42,332,18,1,1,2,1,0,0,0,0,0,42
310199695002,386,169,113,93,11,0,0,305,20,0,5,3,53,305,19,0,1,1,1,1,2,0,1,0,53
310199695003,423,206,104,105,8,0,0,331,44,0,3,6,39,331,44,0,1,3,3,0,0,0,0,0,39
310199696001,275,119,79,67,10,0,0,202,21,3,1,10,38,202,21,3,7,0,1,1,0,0,0,0,38
310199696002,290,114,91,79,6,0,0,233,18,4,1,6,28,233,18,4,2,0,3,0,1,0,0,1,28
310199696003,386,205,84,85,12,0,0,303,15,0,3,5,60,303,15,0,1,1,3,0,1,1,0,0,60
310199696004,744,315,185,212,30,2,0,565,86,2,7,8,76,565,85,2,2,1,2,4,0,2,0,0,76
310199697001,401,221,89,84,7,0,0,287,61,4,1,1,47,287,61,4,0,0,0,1,0,0,0,0,47
310199697002,671,333,159,168,11,0,0,537,69,1,5,8,51,537,69,1,4,3,3,1,1,0,0,0,51
310199697003,1288,754,274,233,27,0,0,1043,68,1,13,9,154,1043,67,1,2,2,3,0,3,5,2,2,154
310199697004,1321,805,235,263,18,0,0,1076,68,5,5,13,154,1076,67,5,3,3,5,0,2,0,0,0,154
311859696001,1127,741,205,168,13,0,0,945,12,0,7,8,155,945,12,0,0,3,8,0,1,3,0,0,155
311859696002,895,682,104,105,4,0,0,726,16,2,4,14,133,726,16,2,1,0,6,0,0,0,3,0,133
311859697001,899,613,134,146,5,1,0,782,8,0,7,6,96,782,8,0,2,1,0,0,6,0,0,2,96
311859697002,527,343,86,90,8,0,0,467,8,0,2,4,46,467,8,0,1,1,1,0,1,0,0,1,46
311859697003,462,285,81,87,9,0,0,382,22,1,0,2,55,382,22,1,1,0,0,0,0,0,0,0,55
