BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_con,party_grn,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_66,eth2_85,eth2_21,eth2_35,eth2_12,eth2_61,eth2_29,eth2_55,eth2_33,eth2_32,eth2_26,eth2_38,eth2_59,eth2_57,eth2_19,eth2_99,eth2_28,eth2_unk
340258093022,882,238,347,290,3,1,1,0,1,1,0,746,25,0,6,12,93,746,24,0,0,4,3,2,1,1,0,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,93
340258093023,974,250,370,341,5,1,2,3,0,2,0,842,21,0,5,17,89,842,21,0,2,6,1,5,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,89
340258094001,960,225,361,366,4,1,2,1,0,0,0,760,36,45,21,12,86,760,34,45,0,1,9,4,7,2,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,86
340258094002,982,210,344,420,4,0,0,3,0,1,0,841,34,0,4,14,89,841,32,0,0,2,1,7,1,2,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,89
340258094003,1142,269,363,504,2,0,1,0,1,2,0,980,29,0,8,26,99,980,29,0,0,3,3,7,0,0,0,0,4,5,1,0,6,0,1,0,4,0,0,0,0,0,99
340258094004,1158,164,390,599,1,1,2,1,0,0,0,971,39,1,13,32,102,971,36,1,9,4,4,13,0,3,0,0,7,0,2,0,0,2,3,0,0,0,0,0,0,0,102
340258095031,2657,792,1206,633,7,8,4,4,2,1,0,1210,136,22,688,213,388,1210,131,21,338,92,302,83,23,5,1,9,4,4,10,3,2,1,1,3,9,0,4,4,1,2,388
340258095032,961,269,438,243,2,0,3,1,2,3,0,456,49,19,194,93,150,456,47,19,114,43,75,22,2,2,13,2,0,1,3,6,1,0,0,0,5,0,0,0,0,0,150
340258095033,1151,332,534,272,7,3,1,1,0,1,0,552,73,6,281,103,136,552,69,6,185,42,85,33,4,4,7,0,6,0,3,0,5,0,0,4,1,6,0,0,0,0,136
340258095041,1883,474,862,537,0,4,2,3,0,1,0,805,84,25,449,214,306,805,79,25,267,87,153,72,15,5,0,1,5,2,3,14,7,7,3,5,2,5,6,0,0,0,306
340258095051,704,234,305,160,3,0,1,0,0,1,0,324,21,1,165,53,140,324,19,1,110,29,48,12,2,2,0,1,1,4,0,1,1,4,3,0,0,0,1,0,0,0,140
340258095052,1939,549,852,527,3,0,5,1,1,1,0,919,71,1,326,198,424,919,67,1,142,62,157,90,9,4,4,5,6,0,0,5,12,7,3,7,1,0,0,1,0,2,424
340258095053,1871,498,816,528,6,5,10,3,0,5,0,953,94,11,294,197,322,953,94,11,180,82,100,82,9,0,1,1,2,1,2,2,2,8,3,2,8,3,1,1,0,0,322
340258095061,1084,343,501,232,2,1,3,2,0,0,0,476,73,5,124,201,205,476,69,5,69,50,35,115,11,4,1,0,4,4,1,0,10,6,1,1,11,0,0,0,0,0,205
340258095062,1173,340,558,260,3,4,4,0,1,3,0,527,58,14,237,113,224,527,57,14,82,36,114,49,22,1,6,10,6,6,1,7,2,1,2,0,1,0,0,0,0,0,224
340258096001,1340,475,534,320,6,2,1,2,0,0,0,699,80,0,80,121,360,699,79,0,33,39,38,47,2,1,2,2,7,5,1,2,6,10,4,0,1,0,0,0,0,0,360
340258096002,1201,388,532,272,4,1,2,1,0,1,0,616,40,8,84,126,327,616,40,8,26,44,45,63,9,0,3,0,0,0,4,2,2,5,0,2,0,0,0,0,0,0,327
340258096003,1192,340,507,332,5,3,3,0,2,0,0,631,74,11,162,108,206,631,72,11,62,17,67,51,12,2,5,9,7,2,4,1,9,4,2,0,7,1,0,1,0,4,206
340258096004,1822,542,743,520,6,2,8,1,0,0,0,1051,113,3,142,174,339,1051,112,3,55,37,71,82,5,1,6,4,9,1,3,10,5,5,3,0,0,4,7,2,0,3,339
340258097011,2011,496,945,554,5,5,2,3,0,1,0,923,90,10,494,153,341,923,89,10,247,65,205,52,21,1,3,2,6,9,0,6,5,3,2,7,6,4,0,1,0,1,341
340258097012,2347,773,965,590,5,7,3,1,2,1,0,1378,158,18,161,144,488,1378,153,18,75,53,61,74,6,5,2,10,1,1,4,3,4,1,0,5,2,0,0,0,0,1,488
340258097031,1706,553,713,427,6,1,4,2,0,0,0,942,79,7,133,127,418,942,71,6,56,36,64,54,4,8,3,4,9,3,5,0,3,4,4,0,2,0,5,2,1,0,418
340258097032,1066,282,463,317,1,0,3,0,0,0,0,584,40,1,102,91,248,584,37,1,24,29,63,43,1,3,3,6,0,4,1,2,6,1,0,2,2,0,2,0,0,0,248
340258097033,942,348,266,323,0,0,3,0,0,2,0,630,37,1,10,52,212,630,35,1,4,16,6,16,0,2,0,0,10,0,4,0,4,1,1,0,0,0,0,0,0,0,212
340258097041,1198,359,572,261,2,1,2,1,0,0,0,633,54,1,97,108,305,633,51,1,45,19,47,55,4,3,6,0,1,0,4,0,4,2,2,1,1,4,4,0,0,0,305
340258097042,1183,340,575,255,3,4,2,1,2,1,0,481,59,7,217,134,285,481,59,7,87,32,112,77,6,0,1,4,3,6,4,4,7,0,0,0,5,0,0,2,0,0,285
340258097043,799,189,402,199,2,2,2,1,2,0,0,286,34,7,222,122,128,286,32,7,139,52,72,27,9,2,11,2,5,0,1,7,4,4,2,0,5,1,1,0,0,0,128
