BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_rin,party_lib,party_wfp,party_grn,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_93,eth2_21,eth2_34,eth2_30,eth2_23,eth2_12,eth2_14,eth2_85,eth2_66,eth2_55,eth2_35,eth2_61,eth2_15,eth2_32,eth2_83,eth2_38,eth2_33,eth2_59,eth2_81,eth2_19,eth2_29,eth2_unk
410359705002,488,52,133,281,17,2,1,0,0,2,0,431,13,0,1,1,42,431,12,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
410359706001,995,102,315,516,44,3,1,1,8,5,0,721,187,0,2,9,76,721,183,1,0,0,3,2,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,76
410359707001,497,47,136,288,17,3,2,1,0,3,0,388,35,0,7,3,64,388,35,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,64
410359707002,1030,143,315,519,42,3,0,0,2,6,0,772,163,0,5,5,85,772,161,3,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,85
410359708001,1318,175,409,636,66,10,6,4,4,8,0,1112,75,0,17,7,107,1112,71,7,0,1,2,0,3,3,0,2,4,0,0,0,1,0,0,3,0,0,0,2,0,107
410359708002,622,55,180,348,33,3,0,1,0,2,0,513,43,1,2,3,60,513,36,0,1,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,60
410359709011,826,205,204,356,52,7,0,0,0,2,0,703,28,2,9,4,80,703,27,4,2,1,2,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80
410359709012,1390,269,471,563,66,10,2,1,4,4,0,1143,68,2,19,10,148,1143,67,9,2,4,0,0,3,1,2,0,1,1,4,0,0,2,1,0,1,1,0,0,0,148
410359709021,1039,148,389,428,51,6,1,2,7,7,0,889,46,0,7,8,89,889,44,2,0,2,3,0,0,2,1,1,2,0,2,0,0,0,0,0,0,1,1,0,0,89
410359709022,880,140,383,305,33,6,2,3,0,8,0,739,68,2,5,6,60,739,68,1,2,0,0,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,60
410359710001,763,114,276,316,43,3,2,1,3,5,0,656,26,0,8,3,70,656,24,1,0,0,0,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,70
410359710002,1551,202,345,928,58,8,0,4,3,3,0,1318,46,3,8,22,154,1318,44,3,3,0,11,1,3,1,1,2,2,1,1,0,0,0,0,0,0,0,3,0,0,154
410359711001,1310,237,524,433,89,14,4,1,2,6,0,1060,118,9,19,9,95,1060,116,1,9,4,1,5,6,4,3,0,2,0,0,1,0,0,1,0,0,0,1,0,0,95
410359711002,1528,242,382,781,94,18,3,3,3,2,0,1277,96,2,21,14,118,1277,94,6,2,2,2,3,3,4,4,0,2,2,0,0,2,0,1,2,0,0,3,0,1,118
410359711003,874,141,313,361,46,6,1,3,1,2,0,694,74,0,8,5,93,694,72,2,0,2,3,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,93
410359711004,651,109,253,243,36,3,1,2,1,3,0,514,70,0,5,9,53,514,68,1,0,0,2,0,4,0,0,2,2,0,1,1,0,0,0,0,0,0,2,0,0,53
410359712001,825,121,403,236,44,9,3,1,3,5,0,638,81,2,7,8,89,638,78,0,2,1,1,2,2,3,0,0,3,1,0,1,1,0,0,1,1,0,1,0,0,89
410359712002,573,103,251,183,27,4,1,1,1,2,0,470,63,1,2,5,32,470,63,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,32
410359712003,454,81,180,157,31,2,0,0,0,3,0,346,53,0,7,7,41,346,50,4,0,1,1,6,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41
410359713001,473,89,183,167,23,3,1,1,1,5,0,377,49,1,5,6,35,377,49,2,1,0,2,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,35
410359713002,577,103,226,221,19,2,1,1,0,4,0,464,58,4,6,4,41,464,57,2,4,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
410359713003,480,90,173,183,23,3,2,1,1,4,0,391,42,0,5,4,38,391,42,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
410359713004,515,97,181,203,23,7,2,0,0,2,0,417,45,0,0,2,51,417,44,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51
410359713005,1586,286,502,713,62,8,4,1,2,8,0,1294,112,0,19,19,142,1294,110,4,0,5,8,8,2,4,3,0,2,0,0,2,1,0,0,0,0,0,1,0,0,142
410359713006,798,137,259,354,35,6,0,3,1,3,0,663,64,1,6,6,58,663,60,0,1,2,2,0,0,3,0,2,4,0,1,0,0,0,1,0,0,0,0,0,0,58
410359714001,548,85,206,209,35,4,1,2,3,3,0,453,44,0,1,5,45,453,44,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,45
410359714002,906,142,369,338,44,6,3,1,1,2,0,706,112,0,5,3,80,706,112,3,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80
410359714003,577,86,211,244,23,7,2,0,2,2,0,487,34,0,0,5,51,487,34,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,51
410359714004,1060,192,295,518,43,5,2,1,2,2,0,874,57,1,13,8,107,874,54,2,1,5,1,2,3,3,0,0,3,2,0,0,0,0,0,0,0,2,1,0,0,107
410359714005,1289,186,472,548,62,8,4,1,4,4,0,1013,155,2,10,10,99,1013,151,3,2,3,3,4,2,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,99
410359715001,519,85,226,177,25,3,1,0,0,2,0,397,66,0,3,5,48,397,66,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,48
410359715002,730,129,353,197,37,6,4,1,1,2,0,564,84,1,5,5,71,564,83,3,1,0,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,71
