BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160270206012,1352,661,466,196,25,4,0,0,972,228,0,18,14,120,972,225,7,6,0,4,4,0,6,120
160270206031,724,353,232,126,11,2,0,0,556,98,0,13,0,57,556,98,5,0,3,0,1,2,2,57
160270206032,558,278,197,76,3,4,0,0,441,65,3,4,9,36,441,64,1,6,0,1,2,1,0,36
160270206033,796,344,305,131,10,6,0,0,602,106,0,14,7,67,602,105,0,2,2,1,8,3,1,67
160270206041,414,200,137,71,5,1,0,0,341,44,0,4,3,22,341,43,0,0,3,1,0,1,0,22
160270206042,562,300,157,95,7,3,0,0,455,37,0,2,4,64,455,37,0,0,1,0,1,0,0,64
160270207001,690,436,182,59,9,4,0,0,575,45,3,2,14,51,575,44,1,10,0,2,0,1,0,51
160270207002,906,552,271,77,5,1,0,0,710,85,2,8,30,71,710,85,3,15,1,1,1,1,2,71
160270207003,706,451,204,46,4,1,0,0,572,32,0,8,14,80,572,32,3,8,2,0,1,1,1,80
160270209031,976,467,359,136,11,3,0,0,714,180,0,7,20,55,714,180,6,4,0,2,0,1,0,55
160270209032,1264,737,368,142,15,2,0,0,973,139,3,16,11,122,973,139,3,5,6,1,1,5,0,122
160270209041,1276,709,378,165,14,10,0,0,1007,144,1,7,18,99,1007,138,1,5,0,3,2,1,2,99
160270209042,591,340,169,72,7,3,0,0,455,70,0,5,5,56,455,69,1,3,4,1,0,0,0,56
160270209043,426,241,134,46,3,2,0,0,335,37,0,7,10,37,335,36,0,2,0,4,2,5,0,37
160270209044,809,573,184,42,6,4,0,0,674,45,1,10,11,68,674,44,0,1,5,2,4,1,0,68
160270209051,996,582,298,103,10,3,0,0,827,81,0,14,16,58,827,79,4,2,3,7,0,1,0,58
160270209052,786,500,197,78,7,4,0,0,638,66,0,8,11,63,638,66,2,7,4,0,0,2,0,63
160270209053,691,375,217,90,9,0,0,0,551,65,0,5,6,64,551,65,0,0,2,0,1,0,0,64
160270209061,493,259,171,53,8,2,0,0,354,86,0,3,9,41,354,86,2,4,1,0,0,0,0,41
