BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_rin,party_grn,party_cnt,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_12,eth2_14,eth2_unk
350010003004,606,450,54,87,6,2,6,0,1,0,0,406,77,6,24,9,84,406,76,0,6,13,1,1,1,1,2,4,2,84
350010003005,920,611,101,184,9,4,8,1,0,2,0,594,158,2,28,15,123,594,157,2,2,12,5,1,10,2,2,2,1,123
350010003006,602,344,117,131,6,0,3,1,0,0,0,381,117,7,16,12,69,381,117,2,7,4,4,0,3,3,4,0,3,69
350010004011,846,479,185,168,9,0,3,0,0,2,0,431,296,5,28,17,69,431,292,1,5,3,3,4,0,3,20,0,2,69
350010004012,826,518,139,160,4,0,5,0,0,0,0,560,124,2,30,22,88,560,124,4,2,12,6,0,2,8,9,4,1,88
350010004013,1233,761,237,218,9,2,3,0,2,1,0,747,263,7,42,43,131,747,260,3,7,16,23,3,9,6,3,5,4,131
350010004021,727,413,155,138,11,2,8,0,0,0,0,391,219,5,28,11,73,391,218,1,5,9,4,1,2,2,12,4,0,73
350010004022,521,328,89,89,5,1,4,0,0,5,0,325,111,4,11,13,57,325,111,2,4,3,5,0,3,0,0,2,1,57
350010004023,572,393,75,97,1,0,5,0,0,1,0,413,65,1,12,13,68,413,65,1,1,8,5,0,1,4,2,0,1,68
350010004024,733,522,86,116,1,1,6,0,0,1,0,506,126,3,14,12,72,506,125,2,3,5,6,1,4,2,0,4,1,72
350010005011,1166,699,184,251,15,3,7,0,0,7,0,653,311,18,43,33,108,653,310,9,18,6,14,1,5,3,25,0,5,108
350010005012,329,165,81,75,3,0,3,0,0,2,0,204,74,3,8,6,34,204,72,0,3,1,1,2,1,2,3,2,1,34
350010005031,1164,817,141,186,7,4,7,0,0,2,0,800,186,3,33,18,124,800,186,1,3,14,6,0,9,4,0,6,2,124
350010005032,1140,709,160,250,12,2,3,0,0,4,0,741,225,7,18,23,126,741,223,6,7,9,4,2,1,3,4,1,1,126
350010005041,807,542,99,149,8,4,3,0,0,2,0,508,168,7,18,28,78,508,162,6,7,9,9,6,7,4,0,2,0,78
350010006011,543,302,114,121,0,2,2,2,0,0,0,314,152,8,14,9,46,314,152,4,8,4,2,0,0,0,0,2,2,46
350010006012,577,307,143,115,5,2,2,1,0,2,0,359,142,4,12,9,51,359,140,4,4,2,2,2,2,0,5,0,2,51
350010006013,802,403,233,147,9,3,4,0,0,3,0,495,179,4,36,12,76,495,179,3,4,11,7,0,5,0,16,2,1,76
350010006014,568,328,122,104,7,1,5,0,0,1,0,356,156,1,2,12,41,356,156,3,1,2,3,0,0,2,0,0,0,41
350010006031,802,430,155,190,11,4,3,2,0,7,0,328,380,14,11,15,54,328,378,9,14,4,4,2,1,0,3,0,0,54
350010006032,634,339,87,186,9,2,2,0,0,9,0,207,341,2,10,19,55,207,339,12,2,6,3,2,0,1,1,0,2,55
350010006051,478,293,72,105,4,1,3,0,0,0,0,187,242,2,8,9,30,187,240,1,2,1,4,2,0,0,4,0,2,30
350010006052,203,111,18,65,5,2,2,0,0,0,0,78,93,5,7,7,13,78,93,3,5,3,2,0,1,0,2,1,0,13
350010006053,220,93,40,78,3,3,2,0,0,1,0,106,73,3,7,5,26,106,73,2,3,3,0,0,1,3,2,1,0,26
350010006054,368,194,71,95,3,0,2,0,0,3,0,159,172,5,7,3,22,159,171,1,5,2,1,1,0,1,4,0,0,22
350010006055,139,59,31,45,1,2,1,0,0,0,0,48,68,3,4,2,14,48,67,2,3,0,0,1,4,0,0,0,0,14
350010007041,409,211,105,87,2,1,3,0,0,0,0,195,152,11,10,6,35,195,152,3,11,4,2,0,1,0,1,0,4,35
350010007042,510,237,139,124,6,0,2,1,0,1,0,286,161,11,15,10,27,286,160,5,11,4,1,1,1,3,5,2,3,27
350010007043,1308,602,364,313,20,6,1,2,0,0,0,685,470,6,28,19,100,685,464,5,6,9,7,6,4,1,8,6,1,100
350010007111,1614,719,534,330,13,3,6,2,1,6,0,1088,299,12,56,28,131,1088,292,1,12,10,13,7,9,3,25,7,5,131
350010007112,723,298,260,150,8,2,4,0,0,1,0,483,143,2,28,15,52,483,143,3,2,11,5,0,5,0,7,0,1,52
350010007113,730,271,290,154,12,0,3,0,0,0,0,474,157,5,15,18,61,474,156,0,5,2,8,1,3,5,10,0,0,61
350010007121,1089,471,329,255,15,4,9,0,0,6,0,632,328,14,20,27,68,632,320,10,14,5,9,8,3,3,5,3,2,68
