BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_23,eth2_34,eth2_14,eth2_12,eth2_38,eth2_unk
201770024022,635,226,162,239,8,0,0,496,29,42,9,5,54,496,29,42,2,0,1,6,0,0,2,1,54
201770025001,605,217,166,212,10,0,0,509,26,15,1,8,46,509,24,15,5,0,0,0,1,0,1,1,46
201770025002,377,120,126,126,5,0,0,317,23,2,1,1,33,317,23,2,0,0,0,0,0,0,1,0,33
201770025003,753,271,214,260,8,0,0,629,49,13,8,9,45,629,49,13,6,2,0,4,1,0,2,1,45
201770026011,864,325,241,288,10,0,0,686,60,17,6,11,84,686,59,17,2,1,1,1,3,2,0,2,84
201770026012,753,276,222,249,6,0,0,608,48,25,6,15,51,608,48,25,2,5,0,0,4,0,1,4,51
201770026013,874,327,226,314,7,0,0,730,48,18,11,4,63,730,47,18,1,5,2,1,1,2,1,0,63
201770026021,1427,658,335,424,10,0,0,1199,80,1,24,9,114,1199,80,1,1,11,3,5,3,3,2,0,114
201770026022,1241,466,337,425,13,0,0,1031,38,42,15,6,109,1031,38,40,3,6,1,6,1,1,1,0,109
201770026023,824,361,199,258,6,0,0,661,51,9,6,5,92,661,51,9,0,4,0,1,2,0,1,0,92
201770026024,749,276,189,278,6,0,0,587,47,34,11,4,66,587,47,34,2,2,0,6,1,3,0,0,66
201770027011,502,152,183,165,2,0,0,397,51,19,1,3,31,397,51,19,1,0,0,0,0,0,0,0,31
201770027012,691,239,191,257,4,0,0,552,40,14,2,10,73,552,40,14,4,1,0,0,4,0,0,1,73
201770027013,626,190,208,223,5,0,0,492,56,12,3,4,59,492,56,12,2,0,0,1,1,0,1,0,59
201770027014,889,300,262,318,9,0,0,705,54,34,3,6,87,705,54,34,2,3,0,0,1,0,0,0,87
201770027021,906,366,248,282,10,0,0,763,41,15,16,7,64,763,41,15,0,6,2,3,5,0,5,0,64
201770027022,1170,421,347,393,9,0,0,900,68,55,15,19,113,900,68,55,6,6,3,3,3,2,0,4,113
201770027023,838,520,154,156,8,0,0,672,35,0,32,11,88,672,35,0,8,15,2,13,0,1,0,0,88
201770028001,673,223,193,251,6,0,0,518,36,66,1,4,48,518,36,66,0,0,0,1,1,0,0,0,48
201770028002,374,86,134,143,11,0,0,276,32,35,1,1,29,276,32,35,0,0,0,0,0,0,1,0,29
201770028003,305,69,124,110,2,0,0,225,24,22,1,3,30,225,24,22,2,0,0,0,0,0,1,0,30
201770028004,830,276,229,317,8,0,0,681,43,41,5,6,54,681,43,41,1,1,0,2,2,0,0,0,54
201770029001,282,45,122,115,0,0,0,148,58,63,2,1,10,148,58,63,0,1,0,0,0,1,0,0,10
201770029002,212,40,85,85,2,0,0,120,35,42,1,0,14,120,35,42,0,0,0,0,0,1,0,0,14
201770029003,634,117,232,282,3,0,0,347,73,161,22,0,31,347,73,161,0,0,1,18,0,0,2,0,31
201770029004,289,35,108,139,7,0,0,127,49,90,3,2,18,127,49,90,0,0,0,1,0,0,1,1,18
201770030011,882,197,288,384,13,0,0,484,167,162,5,13,51,484,166,162,6,2,0,2,1,0,1,0,51
201770030012,814,141,292,366,15,0,0,414,139,198,8,9,46,414,139,197,4,1,2,3,1,2,0,0,46
201770030021,1350,462,387,483,18,0,0,973,164,82,10,15,106,973,164,82,1,1,0,5,8,2,2,0,106
201770030022,1537,518,463,543,13,0,0,1175,118,92,10,18,124,1175,117,92,7,2,0,3,5,2,2,2,124
201770030023,757,331,154,263,9,0,0,601,55,24,5,7,65,601,55,23,0,0,0,0,3,2,1,0,65
201770031001,476,84,192,196,4,0,0,268,82,106,2,5,13,268,82,106,3,1,0,1,2,0,0,0,13
201770031002,439,44,175,216,4,0,0,201,49,167,3,1,18,201,48,166,1,1,0,0,0,1,0,0,18
201770031003,930,368,234,317,11,0,0,765,77,15,5,8,60,765,75,15,1,3,0,1,5,1,0,0,60
201770031004,973,161,338,464,10,0,0,516,125,259,9,11,53,516,125,258,2,0,3,4,4,1,0,0,53
201770033011,269,104,100,62,3,0,0,209,18,3,5,4,30,209,18,3,3,0,1,2,0,1,0,0,30
201770033012,1436,662,394,372,8,0,0,1236,49,0,2,21,128,1236,49,0,15,1,0,0,3,0,1,2,128
201770033021,752,388,200,160,4,0,0,648,22,5,3,9,65,648,22,5,2,0,0,1,3,1,1,0,65
201770033022,1925,915,538,458,14,0,0,1669,57,7,10,12,170,1669,57,7,4,4,2,1,5,3,0,0,170
201770034011,1938,894,547,485,12,0,0,1627,66,2,12,17,214,1627,65,2,4,4,1,3,3,3,1,0,214
201770034012,1717,848,445,408,16,0,0,1435,64,9,12,19,178,1435,64,9,6,3,1,4,6,1,2,3,178
