BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_61,eth2_12,eth2_38,eth2_35,eth2_15,eth2_55,eth2_59,eth2_unk
191130026001,737,123,342,263,6,3,0,0,566,18,34,8,11,100,566,17,34,4,3,0,0,1,1,0,0,4,0,2,0,0,100
191130026002,723,123,342,245,11,2,0,0,571,18,11,5,15,103,571,18,11,2,8,0,0,2,1,1,1,0,1,1,2,0,103
191130027001,340,37,195,104,2,2,0,0,171,12,109,3,13,32,171,12,109,1,3,1,0,1,1,0,0,1,0,0,0,3,32
191130027002,841,125,472,226,10,8,0,0,605,17,101,12,5,101,605,17,101,5,2,1,0,2,2,0,2,0,0,2,0,0,101
191130028001,1150,283,544,300,18,5,0,0,931,30,21,7,31,130,931,30,21,3,15,0,3,9,1,0,0,1,0,0,1,0,130
191130028002,858,162,421,268,6,1,0,0,679,27,11,5,22,114,679,27,11,1,10,2,1,6,1,0,0,3,2,0,0,0,114
191130028003,893,237,369,271,14,2,0,0,716,20,29,3,12,113,716,20,29,0,3,1,1,2,1,1,0,1,3,0,0,0,113
191130029001,852,174,377,289,10,2,0,0,670,24,9,18,20,111,670,24,9,5,10,2,10,1,1,0,0,2,2,0,5,0,111
191130029002,732,171,340,212,7,2,0,0,603,13,1,3,11,101,603,13,1,0,2,0,1,6,0,0,1,0,0,1,0,0,101
191130029003,690,114,329,240,3,4,0,0,485,10,77,4,17,97,485,10,77,2,12,0,1,4,1,0,0,0,0,0,0,0,97
191130029004,794,158,342,280,11,3,0,0,600,27,33,13,14,107,600,27,33,2,7,5,1,4,3,0,2,2,0,0,0,0,107
191130030031,896,201,325,352,12,6,0,0,701,47,10,11,26,101,701,47,9,2,19,1,3,2,3,2,2,0,0,0,1,0,101
191130030032,1219,330,452,421,13,3,0,0,1015,22,6,7,15,154,1015,22,6,3,4,0,1,8,1,1,2,0,0,0,0,0,154
191130030033,707,220,226,256,4,1,0,0,575,12,1,14,10,95,575,10,1,3,2,4,3,6,1,1,2,0,0,0,1,0,95
191130030041,270,55,106,107,1,1,0,0,222,6,9,1,4,28,222,6,9,1,0,0,0,1,0,2,0,0,0,0,0,1,28
191130030042,640,158,226,247,7,2,0,0,498,26,8,12,22,74,498,26,8,5,11,3,0,0,1,0,0,2,4,2,0,0,74
191130030043,991,164,423,385,16,3,0,0,775,30,28,7,27,124,775,29,28,2,21,0,4,1,1,1,0,0,0,0,0,1,124
191130030051,1630,379,667,565,14,5,0,0,1282,55,16,58,22,197,1282,54,16,20,7,4,27,6,0,2,1,2,1,4,1,1,197
191130030052,855,206,343,295,7,4,0,0,675,26,16,31,14,93,675,26,16,11,2,3,10,4,1,5,1,0,0,5,0,0,93
191130030053,825,185,338,298,3,1,0,0,666,11,19,14,13,102,666,11,17,5,6,1,4,2,2,0,2,3,0,0,0,0,102
191130030054,479,104,210,159,4,2,0,0,382,30,6,4,6,51,382,29,6,0,2,0,2,2,2,0,0,0,0,0,0,0,51
191130030061,1600,494,496,596,14,0,0,0,1307,30,1,25,24,213,1307,30,1,7,3,5,6,12,2,0,4,3,1,0,3,2,213
