BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
400272016123,856,435,261,157,3,0,0,673,65,9,46,8,55,673,64,9,11,4,27,2,1,4,1,1,0,55
400272016124,695,385,194,111,5,0,0,584,39,7,9,12,44,584,39,7,2,8,3,0,0,4,0,0,0,44
400272017001,1527,1021,284,214,8,0,0,1293,89,8,42,13,82,1293,89,7,16,5,20,0,0,5,2,0,0,82
400272017002,1586,969,367,243,7,0,0,1257,100,20,83,17,109,1257,95,20,21,6,46,5,3,4,5,2,0,109
400272018011,1635,1054,376,196,9,0,0,1256,61,2,167,29,120,1256,59,2,36,8,88,16,0,16,8,4,2,120
400272018012,532,322,135,73,2,0,0,362,22,10,109,9,20,362,19,10,25,2,80,1,0,2,3,0,1,20
400272018013,740,412,227,98,3,0,0,569,59,9,48,9,46,569,58,9,14,2,29,0,0,4,2,0,2,46
400272018021,772,444,219,99,10,0,0,668,26,4,11,10,53,668,26,4,5,0,4,0,0,2,4,0,5,53
400272018022,897,514,245,133,5,0,0,727,52,8,38,14,58,727,52,8,7,6,12,6,2,8,2,2,3,58
400272018023,585,384,135,64,2,0,0,489,26,4,27,7,32,489,26,4,5,2,17,3,0,2,2,0,1,32
400272019021,661,293,229,135,4,0,0,494,89,12,23,5,38,494,87,12,5,2,15,2,0,0,0,1,1,38
400272019022,918,502,277,131,8,0,0,722,63,9,36,10,78,722,63,9,7,2,22,2,5,1,1,0,1,78
400272019023,666,308,233,120,5,0,0,501,68,15,35,13,34,501,68,13,8,1,24,0,0,2,4,0,3,34
400272019031,632,248,236,138,10,0,0,425,77,26,62,16,26,425,77,26,12,6,38,3,4,4,2,2,2,26
400272019032,764,365,275,121,3,0,0,517,95,28,63,12,49,517,95,28,8,3,51,1,0,0,1,1,1,49
400272019041,1100,544,335,217,4,0,0,759,97,48,93,21,82,759,97,48,23,10,52,3,2,7,2,1,1,82
400272019042,861,388,293,173,7,0,0,564,85,25,102,14,71,564,85,25,17,9,65,4,1,10,0,0,4,71
400272019043,640,332,217,88,3,0,0,494,54,14,36,9,33,494,53,14,7,1,24,0,2,3,0,1,0,33
400272020021,1156,695,307,147,7,0,0,974,71,7,17,9,78,974,68,7,8,5,6,0,2,0,0,1,1,78
400272020022,321,181,82,56,2,0,0,262,30,3,7,1,18,262,30,3,1,1,6,0,0,0,0,0,0,18
400272020023,240,88,82,66,4,0,0,181,18,10,0,4,27,181,18,10,0,3,0,0,1,0,0,0,0,27
400272020024,410,162,124,120,4,0,0,328,31,4,11,2,34,328,30,4,3,0,2,2,2,3,0,0,0,34
400272020041,1371,732,394,227,18,0,0,1138,92,20,20,9,92,1138,92,20,9,1,6,3,1,1,4,1,0,92
400272020042,418,202,115,93,8,0,0,337,24,4,7,4,42,337,24,4,3,2,3,1,0,0,1,0,1,42
400272020051,446,235,98,111,2,0,0,345,50,5,3,8,35,345,50,5,1,5,0,0,1,0,1,2,1,35
400272020052,805,370,256,168,11,0,0,639,78,16,14,9,49,639,78,16,4,4,7,1,0,2,1,0,0,49
400272020053,351,128,123,94,6,0,0,257,35,26,10,2,21,257,35,26,5,2,1,0,0,3,0,1,0,21
400272020054,670,373,175,116,6,0,0,503,40,11,46,12,58,503,40,11,9,1,31,0,1,5,2,0,4,58
400272020055,574,240,187,136,11,0,0,449,59,21,8,7,30,449,59,21,4,2,3,0,0,0,0,0,0,30
400272020061,537,202,195,135,5,0,0,370,63,32,11,16,45,370,63,32,3,9,2,2,1,1,3,0,1,45
400272020062,942,472,285,176,9,0,0,724,93,38,22,2,63,724,93,37,6,0,6,6,2,4,0,0,0,63
400272020071,663,312,173,169,9,0,0,516,56,13,11,9,58,516,56,13,5,5,3,0,0,1,1,2,1,58
400272020072,939,451,277,197,14,0,0,716,84,57,25,7,50,716,84,57,7,1,11,0,0,0,0,7,0,50
400272020073,393,246,93,51,3,0,0,324,28,1,16,2,22,324,28,1,5,2,11,0,0,0,0,0,0,22
400272020081,428,213,124,84,7,0,0,341,26,10,21,2,28,341,26,9,4,1,12,0,0,4,0,0,1,28
400272020082,910,510,263,131,6,0,0,745,54,25,20,10,56,745,54,25,7,3,8,0,2,5,0,0,0,56
400272020083,382,237,70,72,3,0,0,313,20,11,6,6,26,313,20,11,2,6,2,1,0,1,0,0,0,26
400272020084,854,440,257,152,5,0,0,726,38,17,21,10,42,726,38,17,5,5,11,1,1,2,0,1,0,42
400272021021,549,275,155,115,4,0,0,468,34,3,3,5,36,468,33,3,1,1,1,1,0,0,0,0,0,36
400272021022,1157,569,348,223,17,0,0,951,68,26,22,12,78,951,68,26,4,7,5,5,0,4,3,2,0,78
400272021041,372,179,127,62,4,0,0,295,31,2,4,1,39,295,31,2,0,0,3,1,0,0,0,0,0,39
400272021042,826,419,232,166,9,0,0,698,41,7,21,6,53,698,41,6,7,2,10,1,2,2,1,0,1,53
400272021051,984,532,257,186,9,0,0,815,75,8,12,15,59,815,75,8,4,5,3,1,4,2,0,2,1,59
400272021052,1169,553,359,247,10,0,0,940,80,23,15,22,89,940,79,23,4,6,3,1,5,4,5,1,1,89
400272021061,761,417,211,126,7,0,0,601,24,17,37,13,69,601,24,17,9,1,20,3,1,4,0,0,3,69
400272021062,754,401,225,123,5,0,0,592,56,29,8,14,55,592,53,29,5,5,2,0,2,0,3,1,0,55
400272021063,712,426,168,110,8,0,0,624,27,5,10,1,45,624,27,4,4,0,2,2,1,2,0,0,0,45
400272021064,549,272,156,115,6,0,0,435,62,8,14,5,25,435,62,8,5,0,5,0,0,3,0,1,1,25
400272021065,560,280,168,105,7,0,0,466,49,5,6,5,29,466,48,5,2,2,2,1,0,0,0,1,0,29
400272021071,1682,915,484,270,13,0,0,1376,94,38,43,22,109,1376,93,38,8,5,18,4,9,11,2,2,0,109
400272022011,650,352,196,97,5,0,0,526,26,49,11,3,35,526,26,49,0,0,6,0,1,4,2,1,0,35
400272022012,407,212,114,74,7,0,0,341,35,4,4,3,20,341,35,4,1,2,2,0,1,0,0,1,0,20
400272022013,512,312,127,67,6,0,0,432,16,4,11,4,45,432,16,4,1,1,3,3,2,0,1,2,0,45
400272022014,538,321,148,68,1,0,0,429,22,18,23,11,35,429,22,18,5,4,13,1,0,0,2,2,2,35
400272022015,589,358,127,100,4,0,0,512,23,5,13,2,34,512,23,5,3,0,3,2,0,4,1,0,0,34
400272022031,1074,526,332,204,12,0,0,871,53,34,18,17,81,871,53,33,3,7,4,2,1,4,3,3,3,81
400272022032,606,345,152,104,5,0,0,504,29,23,6,5,39,504,29,23,2,1,4,0,2,0,0,0,1,39
400272022033,887,447,237,194,9,0,0,711,53,25,19,9,70,711,51,25,4,3,6,2,0,6,3,0,0,70
400272022051,885,412,290,171,12,0,0,703,62,23,27,11,59,703,62,23,7,1,15,0,1,3,4,0,1,59
400272022052,425,269,86,66,4,0,0,352,21,3,16,3,30,352,21,3,3,2,12,0,0,1,0,0,0,30
400272022053,1015,581,240,189,5,0,0,839,48,17,43,7,61,839,48,17,11,2,22,5,0,5,3,0,0,61
400272022054,765,391,220,149,5,0,0,580,62,17,41,11,54,580,61,17,7,8,22,6,1,4,1,0,1,54
400272022055,908,394,312,180,22,0,0,706,69,33,12,23,65,706,68,33,4,9,2,3,1,3,3,0,3,65
400272022071,255,187,38,29,1,0,0,210,12,1,16,1,15,210,12,1,2,1,10,2,0,1,0,1,0,15
400272022072,11,8,1,2,0,0,0,10,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1
400272022073,68,24,20,24,0,0,0,60,1,2,1,0,4,60,1,2,0,0,1,0,0,0,0,0,0,4
400272022081,765,344,257,155,9,0,0,597,69,15,18,10,56,597,69,15,4,2,5,2,4,3,3,2,1,56
400272022082,438,277,97,63,1,0,0,361,17,2,25,3,30,361,16,2,4,3,17,1,0,1,0,0,0,30
400272022083,192,74,71,44,3,0,0,156,11,1,4,1,19,156,11,1,2,0,1,1,0,0,1,0,0,19
400272023011,496,312,104,78,2,0,0,426,20,3,7,6,34,426,20,3,2,3,1,2,0,1,0,1,1,34
400272023012,479,266,128,80,5,0,0,383,33,3,25,1,34,383,32,3,5,0,17,1,0,1,0,0,0,34
400272023013,720,431,148,137,4,0,0,637,28,2,5,4,44,637,28,2,1,2,2,0,0,1,2,1,0,44
400272023014,1128,738,214,165,11,0,0,982,40,5,9,10,82,982,40,5,3,0,3,0,1,1,3,2,1,82
400272023015,495,330,96,67,2,0,0,445,15,3,6,4,22,445,15,3,1,1,1,2,0,2,2,0,1,22
400272023016,758,495,134,125,4,0,0,647,41,1,15,8,46,647,40,1,4,3,8,0,0,2,4,1,0,46
400272023021,829,562,148,111,8,0,0,750,22,0,3,2,52,750,22,0,3,0,0,0,0,0,0,0,0,52
