BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
221190318003,519,251,126,141,1,0,0,0,223,9,274,0,1,12,223,268,9,6,0,0,1,0,0,0,0,0,0,0,0,0,12
221190319001,300,145,96,58,1,0,0,0,133,6,146,2,1,12,133,143,6,3,0,2,0,0,0,0,0,0,0,0,0,0,12
221190319002,391,318,6,64,1,2,0,0,1,0,390,0,0,0,1,386,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
221190319003,416,325,18,73,0,0,0,0,17,1,396,1,1,0,17,392,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0
221190319004,371,270,27,74,0,0,0,0,42,1,322,0,1,5,42,319,1,3,1,0,0,0,0,0,0,0,0,0,0,0,5
221190320001,507,148,256,101,2,0,0,0,393,6,82,3,5,18,393,81,6,1,0,0,5,2,1,0,0,0,0,0,0,0,18
221190320002,719,408,154,154,3,0,0,0,203,5,487,7,2,15,203,483,5,4,2,1,0,2,4,0,0,0,0,0,0,0,15
221190320003,516,122,312,79,3,0,0,0,451,3,39,1,2,20,451,39,3,0,2,1,0,0,0,0,0,0,0,0,0,0,20
221190320004,402,106,211,84,1,0,0,0,319,12,44,0,4,23,319,44,12,0,0,0,1,0,0,0,0,0,0,0,0,0,23
221190321011,1714,663,657,389,5,0,0,0,1043,28,564,8,7,64,1043,562,27,2,4,3,0,0,1,0,0,0,1,0,1,0,64
221190321021,773,290,291,192,0,0,0,0,475,9,252,1,0,36,475,248,9,4,0,0,0,1,0,0,0,0,0,0,0,0,36
221190321022,725,244,321,157,2,1,0,0,489,18,178,3,5,32,489,177,17,1,4,0,1,1,0,0,2,0,1,0,0,0,32
221190321023,1094,260,563,270,1,0,0,0,918,12,119,4,6,35,918,118,12,1,3,2,0,0,0,0,2,0,0,2,0,0,35
220790101011,1401,275,773,343,10,0,0,0,1212,29,14,12,11,123,1212,14,29,0,6,0,2,7,1,0,3,3,0,0,1,0,123
220790101012,1561,363,803,380,12,3,0,0,1180,53,202,14,17,95,1180,199,53,3,9,5,6,3,0,2,5,0,0,0,1,0,95
220790101021,989,190,558,234,7,0,0,0,895,14,1,5,7,67,895,1,14,0,4,0,2,2,0,0,0,0,0,0,0,0,67
220790101022,1154,178,647,313,16,0,0,0,1002,19,6,13,12,102,1002,6,19,0,7,1,0,9,2,0,0,0,0,0,1,5,102
220790101023,719,178,345,192,4,0,0,0,653,11,2,0,6,47,653,2,11,0,5,0,0,0,0,1,0,0,0,0,0,0,47
220790101024,707,159,360,179,6,3,0,0,639,14,3,3,7,41,639,3,14,0,4,1,3,2,0,0,0,0,0,0,0,0,41
220790103001,1085,296,467,316,6,0,0,0,850,38,96,3,19,79,850,96,37,0,12,0,0,0,0,0,1,5,1,0,1,0,79
220790103002,646,142,305,194,3,2,0,0,516,31,47,1,6,45,516,46,31,1,5,0,1,0,1,0,0,0,0,0,0,0,45
220790103003,358,94,161,101,2,0,0,0,290,15,23,0,14,16,290,23,15,0,7,0,1,0,0,1,0,0,0,3,0,0,16
220790103004,581,101,295,184,1,0,0,0,469,11,38,2,10,51,469,37,11,1,5,0,1,2,0,0,0,3,0,0,0,0,51
220790104001,1209,253,653,295,7,1,0,0,1000,32,72,6,13,86,1000,71,32,1,8,1,0,0,0,4,2,0,0,0,0,0,86
