BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240338002102,991,800,40,134,3,4,1,2,0,7,0,95,81,755,20,13,27,95,753,79,6,10,5,5,1,0,0,1,0,0,0,1,2,1,0,2,0,0,1,0,0,27
240338002111,658,468,51,121,4,1,3,2,0,8,0,118,49,400,33,26,32,118,400,49,7,17,6,9,1,7,1,3,1,1,2,0,0,0,0,0,3,0,1,0,0,32
240338002112,985,769,67,135,5,0,0,0,0,9,0,125,63,699,36,19,43,125,699,63,6,9,19,6,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,43
240338002121,937,689,66,166,9,1,1,1,1,3,0,144,62,456,135,80,60,144,456,61,9,66,89,9,0,21,5,2,4,3,0,0,1,1,0,0,1,3,0,0,0,60
240338002122,1056,828,104,115,7,0,0,0,0,2,0,225,45,622,79,26,59,225,615,43,11,12,36,26,5,3,3,3,1,3,0,0,2,1,0,7,1,0,0,0,0,59
240338002123,1406,1035,97,255,3,4,0,0,0,12,0,181,95,767,155,148,60,181,762,92,38,119,65,16,4,30,6,1,2,17,0,0,3,0,0,5,0,3,2,0,0,60
240338002131,2019,1464,163,344,12,6,5,0,1,24,0,317,168,1202,169,73,90,317,1201,166,38,57,57,12,5,48,0,7,3,5,0,0,2,1,0,1,0,3,0,0,1,90
240338002132,1316,934,129,220,13,5,0,4,0,11,0,280,211,610,61,63,91,280,608,210,15,29,18,9,9,16,2,1,16,4,0,0,1,0,0,2,0,1,0,2,0,91
240338002161,1584,1165,98,294,14,2,4,0,0,7,0,250,147,884,119,54,130,250,879,146,28,35,48,12,1,28,3,3,12,2,0,0,1,0,0,5,0,0,0,0,0,130
240338002162,1249,748,220,240,28,4,2,0,0,7,0,527,149,370,52,50,101,527,368,147,14,32,13,11,8,5,0,8,4,3,0,2,2,0,0,2,0,0,1,1,0,101
240338002171,1607,1192,119,257,19,0,3,0,1,16,0,278,149,1022,43,38,77,278,1021,149,14,27,4,10,6,4,1,6,2,0,0,0,0,1,1,1,0,0,1,0,0,77
240338002172,1304,879,154,230,27,4,2,0,0,8,0,272,105,732,87,46,62,272,730,105,24,30,30,13,11,11,2,9,0,2,0,0,0,0,0,2,0,0,0,0,0,62
240338002181,462,351,35,64,4,3,0,0,0,5,0,75,47,297,16,12,15,75,297,47,4,5,7,1,1,4,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,15
240338002182,876,642,61,151,10,2,2,1,1,6,0,133,82,583,20,15,43,133,582,81,2,9,4,4,2,4,0,2,0,1,1,0,1,2,0,1,0,0,2,0,0,43
240338002183,1624,1165,128,261,36,6,3,3,2,20,0,339,181,930,52,48,74,339,930,181,22,31,15,5,3,5,1,4,6,1,1,0,0,1,0,0,0,0,0,3,0,74
240338004011,1046,610,216,194,10,1,2,0,1,12,0,482,74,357,29,28,76,482,357,74,10,15,7,10,0,0,0,2,1,5,7,0,0,0,0,0,0,0,0,0,0,76
240338004012,937,486,249,181,13,5,0,0,1,2,0,588,70,156,24,19,80,588,156,70,8,7,1,3,4,4,0,6,5,0,0,0,0,0,2,0,0,0,0,0,0,80
240338004021,620,339,162,106,3,3,0,0,1,6,0,386,61,102,12,17,42,386,100,61,3,12,8,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,42
240338004022,1311,735,281,261,21,4,0,0,0,9,0,802,107,220,29,32,121,802,218,107,9,15,11,1,4,6,0,2,1,4,2,0,0,1,2,2,1,0,0,1,0,121
240338004023,1015,578,225,187,17,3,0,0,1,4,0,581,85,228,21,18,82,581,227,82,2,5,11,3,1,2,0,2,6,0,2,0,3,0,2,1,0,0,0,2,0,82
240338004024,785,454,164,138,13,4,0,0,1,11,0,388,56,251,14,14,62,388,250,56,5,4,0,3,5,3,0,3,0,2,1,0,0,0,2,1,0,0,0,0,0,62
240338004031,2129,1371,349,370,16,6,4,0,0,13,0,721,139,1019,70,63,117,721,1019,139,21,45,25,6,1,9,1,3,2,4,2,1,0,3,3,0,0,3,2,0,0,117
240338004032,792,451,169,149,9,4,0,0,0,10,0,482,54,135,18,25,78,482,135,53,9,18,0,2,2,7,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,78
240338004081,1972,1579,112,239,26,5,0,0,1,10,0,193,176,1445,43,53,62,193,1445,173,16,37,8,4,1,6,1,5,0,0,0,0,3,8,1,0,0,0,2,0,1,62
240338004082,1574,1216,127,195,17,5,1,1,0,12,0,189,105,1104,65,46,65,189,1102,103,15,36,24,7,4,14,0,4,2,2,0,1,2,0,0,2,0,0,1,0,0,65
240338004083,1901,1466,153,242,27,1,0,0,2,10,0,305,118,1220,117,61,80,305,1219,118,32,54,58,7,0,12,0,4,0,4,0,0,0,0,2,1,0,2,0,0,0,80
240338004091,2084,1591,162,286,25,5,1,1,1,12,0,393,136,1346,71,49,89,393,1346,136,15,30,26,14,1,9,0,3,0,8,2,0,0,6,1,0,0,2,1,0,1,89
240338004092,1147,780,172,169,14,1,2,0,1,8,0,410,80,516,44,30,67,410,512,80,8,17,16,15,5,1,1,3,1,2,0,1,0,2,1,4,0,0,0,0,0,67
240338004093,1872,1296,245,290,23,7,1,0,0,10,0,614,92,978,48,33,107,614,975,92,13,15,17,3,8,10,0,1,3,0,0,1,0,2,2,3,0,2,0,0,0,107
240338004101,1189,893,88,181,10,2,1,0,0,14,0,221,62,790,39,31,46,221,787,62,16,25,9,7,2,2,0,5,4,0,0,0,0,0,0,3,0,0,0,0,0,46
240338004102,1514,984,241,239,32,2,3,0,0,13,0,571,156,625,43,34,85,571,624,156,11,19,20,1,5,6,1,3,2,3,0,0,0,0,0,1,0,0,1,2,0,85
240338004103,863,694,48,107,4,5,0,0,0,5,0,86,32,637,26,40,42,86,637,32,9,32,13,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,42
240338004104,679,426,107,127,13,1,0,0,0,5,0,226,61,303,14,26,49,226,303,60,6,17,6,1,0,1,1,0,3,1,0,0,1,2,2,0,0,0,0,0,0,49
240338004111,2001,1493,159,292,23,4,1,2,0,27,0,368,133,1216,112,51,121,368,1212,132,29,30,52,13,4,6,0,0,1,3,0,2,1,7,1,4,0,1,3,0,1,121
240338004112,1116,752,155,175,19,1,2,0,0,12,0,294,54,550,100,47,71,294,550,51,20,35,48,13,1,13,3,3,2,1,0,0,3,4,1,0,0,3,0,0,0,71
240338004121,1061,788,97,149,18,1,2,0,0,6,0,120,117,566,101,95,62,120,564,115,32,71,42,11,2,12,2,4,1,13,0,0,2,6,0,2,0,0,0,0,0,62
