BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_12,eth2_64,eth2_10,eth2_85,eth2_83,eth2_14,eth2_66,eth2_26,eth2_21,eth2_30,eth2_23,eth2_93,eth2_34,eth2_unk
150030041012,570,283,241,46,0,0,182,56,2,217,41,72,182,88,53,73,13,22,34,3,3,6,0,4,2,2,72
150030041021,352,181,133,38,0,0,90,28,2,167,18,47,90,95,26,53,14,1,10,2,2,4,0,1,1,0,47
150030041022,577,248,281,48,0,0,192,75,4,201,40,65,192,96,75,73,15,14,13,0,2,15,2,1,3,4,65
150030041023,407,206,168,33,0,0,142,48,2,126,23,66,142,67,45,37,13,7,11,3,3,5,3,2,2,0,66
150030042011,243,125,97,21,0,0,57,15,2,141,4,24,57,51,14,63,1,2,6,1,1,16,0,0,2,1,24
150030042012,627,340,234,53,0,0,195,41,2,314,21,54,195,117,40,148,5,6,27,1,0,15,7,4,2,2,54
150030042021,485,270,132,83,0,0,152,25,4,226,23,55,152,111,25,89,7,11,13,0,0,11,1,2,4,0,55
150030042022,639,318,273,48,0,0,267,62,4,215,27,64,267,134,55,47,9,8,15,7,4,8,2,3,4,5,64
150030043011,495,225,205,65,0,0,180,59,0,173,26,57,180,98,50,57,6,13,11,9,2,3,2,1,0,2,57
150030043012,962,449,351,162,0,0,385,90,4,324,44,115,385,170,79,98,17,14,22,11,6,11,5,15,4,1,115
150030043021,498,260,187,51,0,0,127,50,2,217,29,73,127,112,47,74,17,10,7,3,8,14,0,1,2,0,73
150030043022,455,223,203,29,0,0,127,56,3,151,32,86,127,59,52,67,16,10,11,4,1,12,4,0,3,1,86
150030043023,557,258,230,69,0,0,164,85,3,211,38,56,164,121,76,66,14,18,6,9,3,5,2,4,3,1,56
150030044011,580,236,214,130,0,0,139,54,1,296,18,72,139,180,49,86,7,8,15,5,0,15,1,0,1,2,72
150030044012,485,207,197,81,0,0,104,31,0,274,19,57,104,211,25,52,8,8,4,6,0,4,0,2,0,2,57
150030044013,521,199,197,125,0,0,120,31,1,301,18,50,120,182,28,83,11,5,11,3,2,15,2,2,1,0,50
150030044021,1113,331,594,188,0,0,275,152,1,196,203,286,275,109,138,55,38,155,17,14,3,3,6,3,1,1,286
150030044022,692,260,235,197,0,0,153,52,0,389,25,73,153,295,41,67,11,9,8,11,3,12,2,0,0,1,73
150030045001,858,274,304,280,0,0,263,29,0,475,24,67,263,293,28,117,6,10,28,1,1,18,5,9,0,0,67
150030045002,1187,449,406,332,0,0,287,55,0,707,38,100,287,487,48,182,16,9,14,7,9,5,5,1,0,1,100
150030045003,1156,214,369,573,0,0,368,50,4,610,45,79,368,443,50,135,21,13,17,0,3,4,4,4,4,5,79
150030045004,688,254,245,189,0,0,298,29,3,286,17,55,298,160,28,87,6,2,9,1,3,11,3,9,3,3,55
150030046001,727,120,172,435,0,0,191,27,0,435,26,48,191,261,24,138,9,12,10,3,2,13,1,7,0,3,48
150030046002,628,248,185,195,0,0,154,37,0,354,33,50,154,236,34,101,9,22,4,3,3,2,0,8,0,1,50
150030046003,692,280,237,175,0,0,165,52,0,364,52,59,165,221,49,116,22,21,5,3,3,11,1,4,0,2,59
150030046004,582,247,183,152,0,0,131,33,1,336,28,53,131,196,33,121,9,15,2,0,7,9,0,1,1,0,53
150030047011,891,330,296,265,0,0,272,63,3,459,41,53,272,256,58,153,9,15,28,5,13,6,8,0,3,2,53
150030047012,746,282,261,203,0,0,184,41,2,430,36,53,184,243,35,159,8,23,13,6,2,6,2,1,2,1,53
150030047021,475,185,162,128,0,0,109,42,0,258,25,41,109,155,38,84,12,10,2,4,4,2,1,8,0,1,41
150030047022,502,229,156,117,0,0,103,23,0,331,14,31,103,197,23,98,3,11,13,0,3,13,0,3,0,0,31
150030047023,594,236,209,149,0,0,115,50,1,341,24,63,115,162,49,155,15,7,9,1,4,7,2,3,1,0,63
150030048011,377,187,149,41,0,0,91,73,0,122,44,47,91,74,70,31,23,14,6,3,6,2,4,2,0,1,47
150030048012,450,206,185,59,0,0,95,79,0,194,43,39,95,115,75,52,13,28,2,4,7,15,1,1,0,0,39
150030048013,580,248,240,92,0,0,136,103,0,204,70,67,136,128,99,55,51,11,9,4,2,8,0,1,0,1,67
150030048021,845,385,310,150,0,0,196,140,0,341,71,97,196,224,134,85,54,11,16,6,2,10,1,3,0,0,97
150030048022,469,216,171,82,0,0,82,74,0,199,52,62,82,85,71,99,30,13,3,3,3,5,5,1,0,1,62
150030048023,485,211,185,89,0,0,89,111,0,139,66,80,89,67,109,34,42,20,3,2,20,13,0,2,0,0,80
150030049001,595,257,213,125,0,0,109,77,2,290,38,79,109,115,75,141,25,8,17,2,3,5,0,3,1,1,79
150030049002,545,274,239,32,0,0,77,74,0,263,54,77,77,116,74,108,30,17,9,0,1,27,4,1,0,0,77
150030049003,484,238,190,56,0,0,116,51,1,216,36,64,116,111,50,73,20,15,15,1,5,8,0,2,1,0,64
150030050001,598,247,265,86,0,0,130,56,0,349,17,46,130,214,54,102,4,8,22,2,1,7,4,2,0,1,46
150030050002,561,293,172,96,0,0,148,38,0,292,31,52,148,149,33,106,12,12,19,5,0,10,3,4,0,0,52
150030050003,418,169,172,77,0,0,64,61,1,218,26,48,64,150,61,51,19,7,7,0,3,7,0,0,1,0,48
150030050004,333,146,142,45,0,0,89,47,0,101,36,60,89,45,47,38,24,9,5,0,1,12,0,0,0,2,60
150030051001,932,479,297,156,0,0,352,50,3,433,35,59,352,173,47,186,16,8,45,3,2,18,2,4,3,6,59
150030051002,580,281,238,61,0,0,30,20,0,512,5,13,30,19,19,318,1,3,92,1,0,79,0,0,0,0,13
150030052001,437,71,344,22,0,0,121,44,4,202,29,37,121,30,42,86,8,11,17,2,0,67,3,0,4,3,37
150030052002,862,126,675,61,0,0,149,79,4,547,28,55,149,26,76,328,19,3,72,3,2,110,2,1,4,1,55
