BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_21,eth2_99,eth2_34,eth2_14,eth2_unk
280870010001,1185,406,431,348,0,0,0,716,11,378,2,7,71,716,378,11,0,4,0,0,0,1,1,71
280870010002,885,384,258,243,0,0,0,441,14,384,9,1,36,441,384,14,3,0,4,0,0,0,2,36
280870011001,511,187,22,302,0,0,0,57,2,441,2,2,7,57,439,2,1,1,0,0,2,0,0,7
280870011002,1077,342,71,661,0,3,0,236,14,782,3,7,35,236,782,14,2,1,0,0,0,0,1,35
280879800001,145,128,9,8,0,0,0,105,9,6,3,3,19,105,6,9,0,2,1,0,0,0,1,19
281310201001,1112,508,328,273,0,3,0,637,14,397,5,3,56,637,397,14,0,1,3,1,0,0,1,56
281310201002,620,221,326,73,0,0,0,510,9,62,0,9,30,510,62,8,0,0,0,0,0,1,0,30
281310201003,372,165,82,125,0,0,0,136,5,216,1,0,14,136,216,5,1,0,0,0,0,0,0,14
281310202031,1166,507,547,112,0,0,0,979,29,43,5,4,106,979,43,29,1,1,1,1,0,3,1,106
281310202032,1094,383,612,99,0,0,0,966,23,33,1,9,62,966,32,23,0,1,0,0,1,2,1,62
281310202041,717,286,323,108,0,0,0,513,19,145,2,0,38,513,144,19,0,0,1,0,1,0,0,38
281310202042,934,349,445,139,0,1,0,761,12,96,0,2,63,761,96,12,0,0,0,0,0,2,0,63
281310202043,688,222,380,86,0,0,0,579,16,42,1,1,49,579,42,16,0,0,0,0,0,1,1,49
281310202051,994,408,438,148,0,0,0,851,22,50,7,4,60,851,50,22,0,2,1,2,0,2,0,60
281310202052,1148,406,618,123,0,1,0,956,20,68,5,5,94,956,67,20,0,2,2,3,1,1,0,94
281310202061,842,350,401,90,0,1,0,686,13,64,2,3,74,686,64,12,0,0,1,1,0,2,0,74
