BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_34,eth2_23,eth2_21,eth2_14,eth2_12,eth2_61,eth2_66,eth2_35,eth2_85,eth2_32,eth2_55,eth2_38,eth2_59,eth2_33,eth2_83,eth2_15,eth2_81,eth2_29,eth2_unk
080350141273,1013,365,226,404,17,1,0,0,0,849,20,2,24,14,104,849,19,2,7,4,1,5,4,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,104
080350141281,2431,978,574,848,24,4,3,0,0,1884,168,2,69,35,273,1884,167,2,31,13,13,17,5,13,2,0,1,0,1,1,1,0,0,3,0,0,2,1,273
080350141282,1566,714,418,415,10,3,5,1,0,1211,101,5,52,38,159,1211,100,5,22,10,12,8,8,9,2,0,1,0,4,1,4,0,3,1,0,0,1,1,159
080350141291,1498,594,314,570,14,3,2,1,0,1145,73,1,58,42,179,1145,71,0,22,13,14,4,12,8,12,2,2,2,0,3,6,2,0,0,0,0,0,0,179
080350141292,1149,488,271,374,14,1,0,1,0,876,71,9,38,33,122,876,70,9,11,5,13,8,5,6,6,2,1,2,0,3,2,1,0,2,1,0,0,1,122
080350141301,1913,819,431,638,20,1,1,3,0,1415,150,4,90,45,209,1415,149,4,32,19,12,15,23,4,10,5,1,1,0,3,2,0,0,0,1,0,0,2,209
080350141302,1229,491,284,428,18,5,3,0,0,988,59,1,13,28,140,988,59,1,3,10,3,3,3,0,3,1,0,2,0,1,4,0,1,0,2,1,2,0,140
080350141303,1078,452,322,293,8,2,1,0,0,803,110,2,34,17,112,803,109,2,11,9,7,7,9,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,112
080350141304,1281,550,309,392,25,4,1,0,0,981,112,3,53,16,116,981,108,3,17,0,9,5,13,4,10,1,4,0,0,0,1,0,0,0,1,0,2,2,116
080350141311,833,359,231,226,12,5,0,0,0,614,56,3,36,23,101,614,55,3,12,8,5,5,10,4,2,1,1,2,0,0,0,1,1,5,0,0,0,0,101
080350141312,965,295,250,416,3,0,0,1,0,773,31,0,26,23,112,773,31,0,7,9,7,2,6,6,5,0,0,0,0,1,2,3,0,0,1,0,0,0,112
080350141313,847,371,201,258,13,2,1,1,0,667,53,3,20,11,93,667,52,2,5,3,3,6,1,3,2,0,1,0,0,1,2,0,0,0,1,1,1,0,93
080350141314,1210,406,277,522,4,1,0,0,0,960,34,0,37,21,158,960,33,0,12,9,7,13,2,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,158
080350141321,959,410,176,357,9,6,1,0,0,704,27,3,77,33,115,704,26,3,36,21,4,16,7,10,8,1,1,3,0,1,0,0,2,0,0,0,0,1,115
080350141322,2170,913,450,789,14,0,3,1,0,1656,97,1,122,56,238,1656,96,1,48,16,14,23,25,14,10,7,1,2,0,8,1,2,2,2,0,1,1,1,238
080350141323,1223,508,274,431,9,1,0,0,0,902,86,1,67,15,152,902,84,1,22,6,6,22,3,12,6,3,2,0,0,0,0,0,0,0,0,0,0,0,152
080350141331,1712,764,407,520,15,4,2,0,0,1390,80,1,47,19,175,1390,79,1,14,10,1,4,10,7,11,1,1,1,0,1,0,3,0,0,2,0,0,0,175
080350141332,1812,822,441,523,21,2,2,1,0,1371,107,5,72,38,219,1371,105,5,25,8,9,17,11,8,6,2,2,3,3,4,1,2,0,3,0,0,3,0,219
080350141333,1024,415,174,429,4,2,0,0,0,798,53,0,57,33,83,798,51,0,18,13,7,16,13,4,5,0,2,3,2,0,1,3,3,0,0,0,0,1,83
080350141341,1855,779,393,654,21,3,1,4,0,1379,84,6,122,72,192,1379,83,6,48,40,10,51,4,9,8,9,1,0,1,6,2,0,2,0,0,0,0,2,192
080350141342,984,416,253,306,7,2,0,0,0,722,73,4,51,30,104,722,73,3,20,6,4,15,3,12,1,1,0,4,2,3,5,2,0,2,0,0,0,0,104
080350141343,1028,438,235,342,10,2,1,0,0,769,77,1,49,24,108,769,76,1,20,11,10,9,4,12,4,0,1,1,0,0,0,1,0,0,0,0,1,0,108
080350141351,2096,870,339,865,16,2,1,3,0,1591,70,4,117,53,261,1591,66,4,31,15,14,40,23,15,5,4,4,7,4,0,0,2,3,0,0,1,2,2,261
080350141352,1992,817,294,870,10,1,0,0,0,1566,97,0,59,38,232,1566,95,0,19,9,14,15,8,8,8,3,2,2,2,0,1,0,1,3,0,1,0,2,232
080350141381,648,295,149,196,7,0,0,1,0,488,64,3,6,11,76,488,62,3,1,5,0,2,1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,76
080350141382,1111,474,300,314,17,2,2,2,0,834,76,0,34,34,133,834,75,0,10,7,13,5,1,8,9,2,1,7,1,0,1,3,0,0,0,0,0,0,133
080350141391,1398,548,346,493,9,0,1,1,0,1034,90,2,80,30,162,1034,86,2,25,6,12,17,21,7,5,5,4,1,0,2,1,0,0,1,0,1,0,1,162
080350141392,1736,741,385,578,24,3,3,2,0,1300,105,9,101,32,189,1300,99,9,45,7,15,14,26,9,3,0,6,2,0,0,4,0,1,0,1,2,0,2,189
080350141401,790,302,169,313,3,3,0,0,0,611,48,1,34,14,82,611,48,1,10,6,6,8,10,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,82
080350141402,1691,715,350,608,14,0,2,2,0,1293,89,2,71,43,193,1293,85,2,30,10,10,20,3,9,8,1,4,3,0,6,5,0,0,2,0,0,2,4,193
080350141403,1546,613,304,613,13,0,0,3,0,1110,79,8,109,69,171,1110,79,8,38,31,6,36,11,15,6,2,0,2,1,12,1,0,7,1,2,0,1,3,171
080350141411,1436,602,318,502,12,0,0,2,0,1149,77,0,22,25,163,1149,77,0,4,6,1,5,2,2,6,10,0,0,2,1,2,0,1,0,0,0,0,0,163
080350141412,2466,1021,437,994,11,2,1,0,0,1946,102,11,71,59,277,1946,102,11,14,18,15,33,8,10,6,2,0,7,2,3,3,5,0,2,1,0,0,0,277
080350141413,524,237,104,165,11,2,3,2,0,388,42,3,9,11,71,388,41,3,4,7,2,0,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,71
080350141421,1660,578,236,834,11,0,1,0,0,1357,38,2,32,16,215,1357,38,2,20,7,6,2,0,5,5,0,0,2,0,0,0,0,0,0,0,0,1,0,215
080350141431,1439,699,277,442,16,3,1,1,0,1058,62,5,113,43,158,1058,62,4,29,17,13,61,4,13,4,1,0,0,0,1,1,1,1,2,0,0,0,4,158
080350141432,676,276,119,272,7,2,0,0,0,515,19,0,40,19,83,515,19,0,17,8,4,16,3,3,1,3,0,0,1,1,1,0,0,1,0,0,0,0,83
080350141441,1133,502,230,390,11,0,0,0,0,783,61,16,150,22,101,783,57,16,47,8,4,65,9,7,19,0,4,3,4,1,0,1,0,0,0,0,1,0,101
080350141442,1051,479,218,342,8,4,0,0,0,645,36,0,188,42,140,645,36,0,64,21,11,92,13,16,1,2,0,0,1,1,1,0,4,0,0,1,0,1,140
080350141443,1770,760,370,623,15,2,0,0,0,1275,116,0,130,34,215,1275,115,0,58,9,11,31,6,17,17,2,1,0,3,5,2,0,0,1,0,1,1,0,215
080350141451,962,445,221,280,13,1,1,1,0,705,80,5,42,29,101,705,80,4,15,10,8,9,8,5,5,0,0,5,0,3,0,0,2,0,0,0,1,0,101
080350141452,1366,619,349,380,12,3,1,2,0,973,128,2,55,34,174,973,127,2,16,9,14,13,8,8,10,5,1,0,0,3,0,2,0,0,0,0,0,0,174
080350141461,1093,478,262,337,7,6,3,0,0,773,114,4,61,20,121,773,114,4,21,6,7,11,7,10,9,0,0,1,1,2,0,1,0,0,0,1,0,0,121
080350141462,1093,489,266,322,12,2,1,1,0,796,108,2,49,36,102,796,108,2,23,22,4,10,8,3,4,1,0,3,1,3,0,1,0,0,0,0,0,0,102
080350141463,997,439,221,316,12,8,0,1,0,678,128,3,62,26,100,678,128,3,21,9,5,25,7,4,4,5,0,1,3,1,1,1,0,0,0,1,0,0,100
080350142031,2115,864,468,765,12,1,1,4,0,1703,80,4,51,27,250,1703,80,4,27,6,11,8,0,7,9,2,0,3,0,1,0,2,0,0,2,0,0,0,250
080350142032,1362,574,249,521,13,3,1,1,0,1071,83,0,33,28,147,1071,81,0,10,6,9,4,8,6,3,0,2,0,3,0,5,0,1,1,0,0,2,1,147
080350142033,1639,720,353,535,23,6,2,0,0,1280,142,2,18,29,168,1280,141,1,6,5,6,3,2,2,3,7,1,3,2,2,0,1,0,1,2,1,0,0,168
080350142051,1086,416,199,454,13,1,2,1,0,912,26,0,18,10,120,912,26,0,3,3,0,2,7,3,0,3,0,0,2,0,0,2,0,0,0,0,0,0,120
080350142052,1751,785,414,526,20,2,2,2,0,1309,139,0,66,22,215,1309,137,0,23,12,5,8,20,9,6,2,2,0,0,0,0,1,0,0,0,0,0,2,215
080350142061,667,238,94,328,4,2,1,0,0,559,25,0,13,17,53,559,25,0,3,2,9,4,1,0,2,3,0,1,0,0,1,0,0,0,0,0,1,0,53
080350142071,1195,562,240,368,14,3,5,3,0,918,124,0,13,22,118,918,120,0,4,4,8,1,1,4,2,0,4,2,0,4,2,2,0,0,0,0,0,0,118
080350142081,1232,510,230,469,17,3,2,1,0,942,102,0,30,15,143,942,102,0,8,3,1,12,1,4,3,3,0,0,1,3,2,0,0,0,0,0,0,2,143
080350143001,418,164,78,161,9,4,2,0,0,358,18,0,2,2,38,358,18,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38
080350144041,1225,494,206,499,19,4,3,0,0,1012,36,1,14,19,143,1012,36,1,5,5,9,4,1,1,3,0,0,1,0,1,0,0,0,2,0,0,0,0,143
080350144042,1074,413,171,473,13,1,3,0,0,884,45,1,19,7,118,884,45,1,13,3,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,118
080350144051,2110,883,374,827,19,2,3,2,0,1668,115,2,33,35,257,1668,114,2,12,13,11,10,2,2,3,0,1,0,0,3,5,1,0,2,0,1,0,0,257
080350144052,807,369,162,259,12,4,1,0,0,633,70,1,19,3,81,633,68,0,2,1,1,4,0,1,8,1,2,0,0,0,0,0,0,0,0,2,0,0,81
080350144053,1371,570,285,490,23,0,3,0,0,1062,118,2,26,18,145,1062,118,2,5,3,2,12,4,3,1,1,0,1,0,1,5,0,2,2,1,0,0,0,145
080350144054,1236,514,230,467,15,5,4,1,0,1018,70,0,14,17,117,1018,68,0,1,4,4,2,1,8,1,2,2,0,0,2,0,0,0,1,0,0,0,0,117
080350144071,830,334,166,315,12,2,1,0,0,607,103,0,13,13,94,607,103,0,1,2,6,0,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,94
080350144072,1702,633,237,819,10,2,0,1,0,1408,64,2,28,24,176,1408,64,2,11,8,4,1,3,9,4,0,0,0,0,1,4,5,0,2,0,0,0,0,176
080350144081,2213,853,314,1014,27,1,2,2,0,1823,76,5,25,50,234,1823,74,5,6,7,14,6,2,4,6,12,2,3,2,3,5,2,0,1,0,0,0,0,234
080350144091,2753,1166,448,1089,37,8,4,1,0,2190,166,7,60,42,288,2190,164,5,18,15,12,14,11,3,13,1,2,3,2,2,0,0,1,1,1,0,2,1,288
080350144101,1496,610,305,557,18,5,0,1,0,1186,101,1,40,19,149,1186,99,1,7,7,2,17,2,7,6,3,2,0,1,0,3,0,1,0,0,0,0,1,149
080350144102,1494,603,259,611,13,4,4,0,0,1152,117,6,19,27,173,1152,115,6,3,10,6,8,1,4,2,2,2,6,0,1,0,0,0,0,1,0,0,0,173
080350144103,2062,901,410,716,28,3,2,2,0,1591,147,13,37,35,239,1591,147,8,9,9,9,8,4,8,2,3,0,2,3,1,4,2,0,0,0,1,1,0,239
080350144104,1134,461,207,443,14,4,4,1,0,860,93,3,23,38,117,860,93,3,4,9,8,11,3,1,3,3,0,9,1,2,0,0,0,4,0,0,0,1,117
080350144105,780,355,157,248,15,3,1,1,0,591,58,3,14,13,101,591,58,3,3,3,5,3,4,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,101
080350144106,940,418,186,311,18,2,4,1,0,708,85,2,22,20,103,708,81,2,8,5,8,5,1,4,4,0,4,0,3,1,0,1,0,0,1,0,0,0,103
080350144107,473,221,92,154,4,1,0,1,0,362,46,0,5,10,50,362,46,0,2,1,5,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,50
080350145031,1500,593,264,620,17,2,3,1,0,1237,85,2,20,25,131,1237,84,2,10,8,2,2,2,3,2,2,1,3,0,0,3,4,1,0,2,0,0,0,131
080350145032,1200,521,223,427,19,6,3,1,0,987,76,2,11,20,104,987,76,1,3,2,8,1,0,5,1,0,0,1,2,0,4,1,0,0,1,1,0,1,104
080350145033,1669,716,328,596,24,2,3,0,0,1289,125,2,33,24,196,1289,123,2,7,10,5,7,5,8,1,2,2,1,4,1,0,0,0,0,1,2,0,0,196
080350145041,801,335,168,276,17,4,0,1,0,604,79,4,10,8,96,604,79,4,3,4,3,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,96
080350145042,1817,823,318,631,35,9,0,1,0,1481,158,5,11,14,148,1481,158,5,5,5,3,1,2,3,0,0,0,0,0,0,1,0,1,0,2,0,1,1,148
080350145043,966,404,154,387,12,4,4,1,0,784,45,0,10,21,106,784,45,0,7,7,6,0,3,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,106
080350145051,1645,585,306,729,17,2,3,3,0,1293,91,0,25,23,213,1293,91,0,8,8,4,4,2,4,5,1,0,7,0,0,1,0,0,0,1,0,0,1,213
080350145052,1106,463,189,440,8,2,2,2,0,883,62,2,15,23,121,883,61,2,1,6,4,7,2,4,0,0,1,5,5,0,0,0,0,1,2,0,0,0,121
080350145053,1402,594,253,516,29,2,4,4,0,1073,114,1,14,18,182,1073,114,1,3,5,5,2,1,3,5,0,0,2,2,0,2,1,1,0,0,0,0,0,182
080350145061,811,252,94,445,20,0,0,0,0,651,48,0,9,13,90,651,48,0,4,2,5,1,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,90
080350145062,3725,1433,566,1673,45,5,3,0,0,2973,220,7,70,49,406,2973,214,7,16,12,12,14,8,12,20,7,6,3,2,2,0,4,3,0,1,0,0,2,406
080350145063,1037,455,145,419,16,1,1,0,0,806,91,1,14,13,112,806,91,1,2,3,3,2,2,5,3,2,0,2,0,0,1,0,0,0,2,0,0,0,112
080350146021,2169,747,281,1113,20,6,2,0,0,1845,80,0,23,23,198,1845,79,0,6,1,11,6,8,1,2,2,1,0,1,3,0,1,1,2,0,0,0,0,198
080350146031,1886,825,353,665,37,2,3,1,0,1453,160,1,28,24,220,1453,159,1,6,6,7,4,7,3,5,3,1,2,0,0,2,0,1,1,2,0,0,0,220
080350146032,1807,774,286,710,26,5,2,4,0,1448,148,1,40,33,137,1448,148,1,16,6,13,7,7,6,4,0,0,1,1,0,4,0,5,0,0,0,1,0,137
080350146033,1096,510,188,361,29,4,2,2,0,859,83,2,13,12,127,859,80,2,3,8,1,1,2,4,3,1,3,1,0,0,0,1,0,0,0,0,0,0,127
080350146041,1559,640,242,641,30,3,2,1,0,1221,129,1,22,17,169,1221,127,1,10,4,5,5,3,2,0,0,2,2,0,1,1,2,0,0,2,1,0,0,169
080350146042,1581,627,268,667,12,4,3,0,0,1295,81,5,20,21,159,1295,77,5,6,5,3,3,5,3,2,0,4,6,0,1,0,5,0,1,0,1,0,0,159
080930001011,501,225,112,145,13,1,4,1,0,411,34,0,2,3,51,411,34,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
080930001012,714,308,100,288,12,3,2,1,0,586,31,3,5,9,80,586,31,3,1,1,2,1,0,1,0,2,0,2,1,0,0,0,0,0,1,0,0,0,80
