BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250235114001,312,137,157,16,0,0,0,0,0,2,0,43,110,119,2,2,36,43,88,119,0,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
250235114002,465,195,235,23,0,0,0,1,0,11,0,156,110,139,6,4,50,156,91,139,2,3,19,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50
250235114003,404,157,217,15,5,0,0,1,0,9,0,128,92,134,3,6,41,128,82,134,1,1,10,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,41
250235114004,580,223,330,19,1,1,0,2,0,4,0,100,183,201,6,5,85,100,150,201,1,2,33,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85
250235115001,498,193,292,8,2,1,1,0,0,1,0,75,178,168,0,7,70,75,141,168,0,4,37,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70
250235115002,395,150,225,16,2,0,0,0,0,2,0,69,127,124,7,9,59,69,100,124,3,4,27,2,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,59
250235115003,805,348,407,40,4,2,0,1,0,3,0,181,221,279,11,15,98,181,183,278,5,7,38,0,6,2,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,98
250235115004,558,223,310,17,2,0,0,0,0,6,0,127,171,155,7,9,89,127,154,155,5,1,17,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89
250235116011,578,230,314,27,1,1,0,0,0,5,0,119,149,204,9,11,86,119,120,204,4,6,29,4,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,86
250235116012,360,160,176,17,3,1,0,1,0,2,0,79,76,158,2,1,44,79,68,158,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
250235116013,1072,451,546,61,3,1,0,2,1,7,0,288,252,391,15,9,117,288,205,390,3,3,47,2,4,4,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,117
250235116021,949,481,370,72,3,0,1,2,0,20,0,537,122,153,14,14,109,537,98,153,2,6,24,5,3,5,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,109
250235116022,687,293,336,45,5,1,0,0,0,7,0,273,169,162,10,3,70,273,149,162,3,1,20,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70
250235116023,635,252,323,49,2,0,0,0,0,9,0,308,112,137,13,5,60,308,97,137,7,1,15,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,60
250235117011,486,226,208,48,1,0,1,0,0,2,0,263,69,76,11,4,63,263,65,76,7,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63
250235117012,1121,536,482,85,3,1,0,3,1,10,0,625,163,162,36,23,112,625,139,161,12,13,24,1,6,17,3,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112
250235117013,563,257,254,42,5,0,1,0,0,4,0,239,90,165,9,9,51,239,78,165,5,2,12,3,2,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,51
