BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
132470603132,1140,791,166,183,0,0,322,43,694,40,9,32,322,612,43,82,10,11,2,16,2,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,32
132470603141,1092,979,72,41,0,0,82,23,952,14,6,15,82,825,23,127,14,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
132470603142,991,918,59,14,0,0,45,23,899,3,7,14,45,784,23,115,1,1,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
132470603151,650,342,180,128,0,0,299,34,288,2,9,18,299,259,34,29,0,1,1,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
132470603152,1392,1280,89,23,0,0,61,41,1260,8,9,13,61,1094,41,166,4,1,6,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
132470603161,657,544,89,24,0,0,84,21,528,4,9,11,84,473,21,55,3,1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,11
132470603162,1280,1069,151,60,0,0,172,34,1026,16,8,24,172,888,34,138,0,7,5,4,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,24
132470603163,495,263,100,132,0,0,268,20,191,1,4,11,268,176,20,15,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
132470603171,1183,875,221,87,0,0,244,91,822,5,7,14,244,748,91,74,1,1,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
132470603172,756,696,33,27,0,0,39,15,690,3,4,5,39,601,15,89,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
132470603173,657,568,71,18,0,0,76,17,550,1,2,11,76,476,17,74,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
132470603181,483,309,100,74,0,0,190,33,236,1,8,15,190,216,33,20,1,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15
132470603182,1132,669,256,207,0,0,460,69,536,10,16,41,460,500,68,36,4,0,7,0,5,8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,41
132470604031,1695,1218,208,269,0,0,476,37,1099,26,12,45,476,965,37,134,1,7,0,12,3,7,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,45
