BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_34,eth2_30,eth2_23,eth2_10,eth2_unk
500279657003,861,463,201,197,0,0,743,21,4,6,10,77,743,21,5,4,0,2,77
500279658001,663,346,161,156,0,0,575,12,0,3,5,68,575,11,1,2,1,0,68
500279658002,710,383,192,135,0,0,609,14,0,3,6,78,609,14,3,2,1,1,78
500279658003,1196,656,311,229,0,0,1019,21,3,6,18,129,1019,20,6,6,1,2,129
500279659011,719,346,211,162,0,0,619,5,0,2,5,88,619,3,2,3,0,1,88
500279659012,454,217,156,81,0,0,407,4,0,2,4,37,407,4,0,0,0,0,37
500279659021,530,277,137,116,0,0,448,12,0,2,12,56,448,8,3,5,0,1,56
500279659022,386,171,114,101,0,0,343,6,1,3,2,31,343,6,2,0,0,3,31
500279660001,728,384,168,176,0,0,636,14,3,3,9,63,636,14,1,6,1,1,63
500279660002,491,272,112,107,0,0,428,10,0,7,4,42,428,10,0,1,0,0,42
500279660003,457,360,44,53,0,0,407,7,1,7,5,30,407,6,1,2,0,3,30
500279660004,401,294,37,70,0,0,354,3,0,1,4,39,354,3,0,1,0,0,39
500279660005,1020,520,266,234,0,0,901,16,0,9,5,89,901,14,3,0,2,1,89
500279661001,268,130,54,84,0,0,244,2,0,0,1,21,244,2,1,0,0,0,21
500279661002,495,190,129,176,0,0,439,3,0,3,5,45,439,3,2,2,1,0,45
500279661003,877,422,172,283,0,0,779,14,0,3,10,71,779,14,6,0,0,3,71
500279662001,761,381,182,198,0,0,668,8,0,6,11,68,668,7,3,5,1,2,68
500279662002,448,215,95,138,0,0,404,5,0,2,5,32,404,4,3,1,2,0,32
500279663001,375,196,110,69,0,0,324,5,0,3,4,39,324,5,1,0,0,2,39
500279663002,540,229,153,158,0,0,473,7,0,3,12,45,473,5,8,0,1,2,45
500279663003,623,280,196,147,0,0,539,7,0,2,1,74,539,5,1,0,1,0,74
500279665011,763,392,154,217,0,0,649,17,0,3,14,80,649,17,10,0,1,1,80
500279665012,775,441,160,174,0,0,684,17,1,1,7,65,684,17,1,3,1,0,65
500279665013,658,309,161,188,0,0,583,7,1,0,12,55,583,6,6,3,0,0,55
500279665021,362,155,82,125,0,0,317,3,0,2,10,30,317,3,8,1,0,0,30
500279665022,507,257,113,137,0,0,426,11,0,4,4,62,426,11,2,0,0,1,62
500279666001,658,375,141,142,0,0,575,9,0,5,14,55,575,9,6,1,0,3,55
500279666002,595,448,67,80,0,0,513,10,5,1,6,60,513,10,3,1,0,0,60
500279666003,590,309,162,119,0,0,540,9,0,3,9,29,540,9,2,5,0,3,29
500279666004,771,369,173,229,0,0,668,9,0,4,13,77,668,9,6,4,1,3,77
500279666005,794,417,179,198,0,0,684,13,3,4,10,80,684,12,3,2,1,1,80
500279667001,336,146,88,102,0,0,298,2,0,2,3,31,298,1,2,0,1,0,31
500279667002,1669,845,410,414,0,0,1472,29,1,10,21,136,1472,24,11,4,3,3,136
