BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_30,eth2_34,eth2_81,eth2_10,eth2_21,eth2_14,eth2_55,eth2_12,eth2_85,eth2_35,eth2_61,eth2_66,eth2_unk
450910601021,1002,496,404,102,0,0,810,24,92,3,6,67,810,89,23,3,2,1,1,3,0,0,1,0,0,0,0,0,1,67
450910601022,284,174,70,40,0,0,176,20,69,0,2,17,176,67,20,2,0,1,0,1,0,0,0,0,0,0,0,0,0,17
450910601023,420,253,101,66,0,0,274,13,92,3,4,34,274,91,13,1,1,1,1,1,0,0,0,0,2,0,1,0,0,34
450910602001,553,346,137,70,0,0,294,33,190,3,4,29,294,185,33,5,2,2,0,2,0,1,0,0,0,0,0,0,0,29
450910602002,577,299,213,65,0,0,353,25,158,5,7,29,353,156,25,2,1,2,1,2,2,1,0,0,1,2,0,0,0,29
450910602003,652,465,107,80,0,0,283,17,327,0,6,19,283,321,17,6,0,1,2,3,0,0,0,0,0,0,0,0,0,19
450910602004,468,312,88,68,0,0,238,26,173,1,5,25,238,170,26,3,1,0,1,4,0,0,0,0,0,0,0,0,0,25
450910603001,664,478,131,55,0,0,264,11,368,1,4,16,264,364,11,4,0,0,2,2,0,1,0,0,0,0,0,0,0,16
450910603002,816,593,131,92,0,0,286,43,455,0,5,27,286,452,43,3,0,0,1,3,0,0,0,0,0,1,0,0,0,27
450910603003,1078,967,63,48,0,0,175,8,876,2,1,16,175,868,8,8,0,0,1,0,0,2,0,0,0,0,0,0,0,16
450910604011,865,842,18,5,0,0,52,9,800,0,3,1,52,789,9,11,0,0,0,2,0,0,0,1,0,0,0,0,0,1
450910604012,944,922,17,5,0,0,59,9,868,0,2,6,59,860,9,8,0,0,0,2,0,0,0,0,0,0,0,0,0,6
450910604021,533,515,11,7,0,0,27,5,495,1,0,5,27,488,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,5
450910604022,1200,953,184,63,0,0,343,48,747,13,4,45,343,741,48,6,8,1,0,3,1,2,0,0,1,0,0,0,0,45
450910605011,799,630,111,58,0,0,204,18,548,2,4,23,204,546,18,2,0,0,1,2,2,0,0,0,0,1,0,0,0,23
450910605012,645,585,41,19,0,0,73,5,548,1,3,15,73,544,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,15
450910605013,280,216,31,33,0,0,106,8,151,2,3,10,106,148,8,3,0,1,0,2,1,0,0,0,0,0,0,0,0,10
450910605021,1249,1110,96,43,0,0,193,35,1001,1,5,14,193,994,33,7,0,0,0,4,0,0,0,0,1,0,0,0,2,14
450910605022,535,527,4,4,0,0,27,2,505,0,0,1,27,501,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
