BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_unk
050839506002,1041,452,399,190,0,0,0,0,0,925,31,2,5,3,75,925,2,31,3,2,0,2,0,0,75
050399701001,254,66,86,102,0,0,0,0,0,221,4,12,2,0,15,221,12,4,0,0,1,0,0,0,15
050399701002,322,134,46,142,0,0,0,0,0,117,2,189,1,0,13,117,189,2,0,0,1,0,0,0,13
050399702001,337,110,106,121,0,0,0,0,0,287,5,26,1,2,16,287,26,5,0,0,0,0,0,1,16
050399702002,571,186,169,216,0,0,0,0,0,305,2,237,0,0,27,305,237,2,0,0,0,0,0,0,27
050399703001,457,136,73,248,0,0,0,0,0,340,7,81,2,1,26,340,81,6,0,1,2,0,0,0,26
050399703002,395,141,62,192,0,0,0,0,0,218,6,147,0,4,20,218,147,6,0,0,0,0,1,0,20
050399703003,533,166,97,270,0,0,0,0,0,388,8,108,0,0,29,388,108,8,0,0,0,0,0,0,29
050399703004,334,136,15,183,0,0,0,0,0,62,5,259,5,0,3,62,259,5,1,0,4,0,0,0,3
050399703005,485,200,50,235,0,0,0,0,0,139,9,322,2,2,11,139,322,9,0,1,1,0,0,1,11
050659601001,943,373,390,180,0,0,0,0,0,820,18,5,7,8,85,820,5,18,3,0,1,0,4,2,85
050659601002,515,264,150,101,0,0,0,0,0,436,23,2,1,3,50,436,2,22,0,0,0,0,0,1,50
050659601003,328,131,106,91,0,0,0,0,0,299,4,5,2,2,16,299,5,4,0,1,0,0,0,0,16
050659602001,976,321,412,238,0,5,0,0,0,864,23,6,3,5,75,864,6,23,1,2,1,0,0,0,75
050659602002,1148,351,453,335,0,9,0,0,0,1045,25,1,3,6,68,1045,1,25,2,1,1,0,0,0,68
050659602003,872,342,310,220,0,0,0,0,0,785,9,0,2,5,71,785,0,9,1,1,0,1,1,0,71
050659603001,823,267,351,205,0,0,0,0,0,758,16,1,2,2,44,758,1,16,1,0,0,1,0,0,44
050659603002,563,239,189,135,0,0,0,0,0,504,2,6,0,2,49,504,6,2,0,0,0,0,2,0,49
050659604001,996,373,381,236,0,6,0,0,0,893,15,8,3,10,67,893,8,15,2,3,0,1,0,0,67
050659604002,404,140,161,99,0,4,0,0,0,366,7,2,0,2,27,366,2,7,0,0,0,0,0,0,27
051239601001,232,109,37,86,0,0,0,0,0,149,2,70,0,0,11,149,70,2,0,0,0,0,0,0,11
051239601002,382,169,14,199,0,0,0,0,0,112,3,241,1,0,25,112,241,3,1,0,0,0,0,0,25
051239601003,379,117,65,197,0,0,0,0,0,177,3,182,1,2,14,177,181,3,1,1,0,0,1,0,14
051239601004,276,112,15,149,0,0,0,0,0,120,1,139,4,0,12,120,139,1,1,0,1,0,0,1,12
051239602011,531,176,130,225,0,0,0,0,0,405,8,98,0,1,19,405,98,8,0,1,0,0,0,0,19
051239602012,536,182,118,235,0,1,0,0,0,390,16,97,0,1,32,390,97,16,0,1,0,0,0,0,32
051239602021,441,120,169,152,0,0,0,0,0,372,2,41,2,2,22,372,41,2,0,0,2,0,2,0,22
051239602022,395,111,136,148,0,0,0,0,0,361,6,7,1,1,19,361,7,6,0,1,0,0,0,0,19
051239602023,373,131,74,168,0,0,0,0,0,270,3,84,0,0,16,270,84,3,0,0,0,0,0,0,16
051239602024,329,108,10,211,0,0,0,0,0,91,4,231,0,2,1,91,231,4,0,0,0,0,2,0,1
051239603001,401,138,95,168,0,0,0,0,0,287,4,85,2,1,22,287,85,4,0,0,0,0,1,2,22
051239603002,379,125,66,188,0,0,0,0,0,248,3,110,0,0,18,248,110,3,0,0,0,0,0,0,18
051239603003,510,153,97,260,0,0,0,0,0,315,6,161,0,1,27,315,161,6,0,0,0,0,0,0,27
051239604001,662,324,42,296,0,0,0,0,0,160,7,467,13,5,10,160,467,7,0,2,8,1,2,1,10
051239604002,309,123,3,183,0,0,0,0,0,40,0,262,2,0,5,40,262,0,0,0,2,0,0,0,5
051239604003,379,151,1,227,0,0,0,0,0,14,5,353,2,1,4,14,353,5,0,0,2,0,0,0,4
051239604004,421,218,2,201,0,0,0,0,0,44,8,362,2,0,5,44,361,8,0,0,0,0,0,1,5
051239605001,424,141,75,208,0,0,0,0,0,220,4,175,3,0,22,220,175,4,0,0,2,0,0,1,22
051239605002,443,173,50,220,0,0,0,0,0,236,4,175,0,1,27,236,175,4,0,1,0,0,0,0,27
051239605003,860,302,124,434,0,0,0,0,0,550,10,240,9,5,46,550,239,9,2,5,6,0,0,0,46
051239606001,932,428,88,416,0,0,0,0,0,305,7,584,4,3,29,305,584,7,0,3,3,0,0,1,29
051239606002,208,78,1,129,0,0,0,0,0,15,0,191,0,0,2,15,191,0,0,0,0,0,0,0,2
051239606003,323,145,2,176,0,0,0,0,0,40,5,273,1,0,4,40,273,5,1,0,0,0,0,0,4
051239606004,237,89,5,143,0,0,0,0,0,25,1,206,2,0,3,25,206,1,0,0,2,0,0,0,3
050574801011,562,165,277,120,0,0,0,0,0,479,19,32,5,3,24,479,32,19,3,0,2,0,3,0,24
050574801012,348,89,162,97,0,0,0,0,0,303,17,20,0,0,8,303,20,17,0,0,0,0,0,0,8
050574801021,582,168,241,173,0,0,0,0,0,429,17,103,2,6,25,429,103,16,1,1,1,0,1,0,25
050574801022,572,178,282,112,0,0,0,0,0,496,13,29,3,0,31,496,29,13,0,0,1,1,0,1,31
050574802001,398,124,137,137,0,0,0,0,0,193,6,180,0,2,17,193,180,6,0,0,0,0,0,0,17
050574802002,289,77,121,91,0,0,0,0,0,179,5,99,0,0,6,179,99,5,0,0,0,0,0,0,6
050574802003,385,91,178,116,0,0,0,0,0,277,2,90,0,1,15,277,90,2,0,0,0,0,1,0,15
050574803011,226,102,39,85,0,0,0,0,0,96,12,113,1,0,4,96,113,12,0,0,1,0,0,0,4
050574803012,282,124,8,149,0,1,0,0,0,17,3,255,5,0,2,17,255,3,0,0,5,0,0,0,2
050574803013,117,47,12,58,0,0,0,0,0,25,4,83,0,0,5,25,83,4,0,0,0,0,0,0,5
050574803021,177,83,29,65,0,0,0,0,0,89,14,67,4,0,3,89,67,14,0,0,1,0,0,0,3
050574803022,280,82,99,99,0,0,0,0,0,202,13,50,1,2,12,202,50,13,0,0,0,1,0,0,12
050574803023,500,157,188,155,0,0,0,0,0,347,20,109,4,1,19,347,109,20,0,1,0,0,0,4,19
050574804001,263,61,127,75,0,0,0,0,0,209,2,37,0,0,15,209,37,2,0,0,0,0,0,0,15
050574804002,587,129,326,132,0,0,0,0,0,545,4,6,3,1,28,545,6,4,1,0,2,0,0,0,28
