BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
210930009045,931,351,493,32,1,0,0,0,0,54,0,802,28,7,14,7,73,802,7,25,0,6,1,4,2,2,1,1,0,0,73
210930010031,1375,576,658,41,5,1,0,0,0,94,0,1209,37,0,16,7,106,1209,0,37,3,4,3,3,6,1,0,0,0,0,106
210930010032,1675,689,824,58,6,1,0,0,0,97,0,1473,41,10,22,9,120,1473,10,41,1,9,2,4,7,2,0,0,0,1,120
210930010033,877,325,475,23,3,1,0,0,0,50,0,804,8,5,12,3,45,804,5,8,0,6,0,1,3,1,0,1,0,0,45
210930010041,1155,474,582,33,7,0,2,0,0,57,0,1031,23,20,10,5,66,1031,20,23,4,6,1,2,1,0,0,0,1,0,66
210930010042,1750,734,843,67,15,0,1,1,0,89,0,1570,40,9,11,17,103,1570,8,37,5,3,2,0,5,2,0,1,0,1,103
210930010051,1937,845,882,91,12,1,2,0,0,104,0,1436,108,192,36,32,133,1436,191,107,21,11,7,4,13,0,1,0,2,0,133
210930010052,535,224,236,19,0,0,0,0,0,56,0,432,41,8,7,2,45,432,8,37,2,1,1,1,4,0,0,0,0,0,45
210930010061,1230,485,617,57,8,1,1,0,0,61,0,969,53,19,48,50,91,969,19,50,42,11,15,17,4,0,0,0,3,0,91
210930010062,1192,438,646,39,7,0,1,0,0,61,0,1053,43,10,17,7,62,1053,9,43,2,3,1,4,5,1,0,2,0,2,62
210930010063,569,230,284,17,1,0,0,0,0,37,0,512,13,10,5,1,28,512,9,13,0,0,0,3,1,0,1,0,0,0,28
210930011001,849,367,386,32,3,0,0,0,0,61,0,728,15,23,14,12,57,728,23,15,8,3,5,2,4,1,0,0,1,0,57
210930011002,1415,683,578,67,5,1,1,0,0,80,0,1113,66,74,31,38,93,1113,72,66,22,2,13,5,10,4,0,0,1,4,93
210930011003,644,343,195,38,7,0,1,0,0,60,0,451,38,97,9,12,37,451,95,38,4,4,2,0,2,2,0,1,0,0,37
210930012001,2125,943,936,112,14,1,3,1,0,115,0,1764,82,40,41,29,169,1764,39,81,12,9,17,4,9,3,2,1,1,0,169
210930012002,731,321,351,27,3,0,1,0,0,28,0,611,23,28,9,15,45,611,27,23,7,7,2,0,0,3,0,0,0,0,45
210930012003,1692,744,740,74,7,1,4,0,0,122,0,1303,67,123,55,20,124,1303,123,66,11,13,13,6,19,2,0,4,0,0,124
210930013001,1016,438,417,46,9,0,2,0,0,104,0,821,49,57,23,11,55,821,56,47,5,7,1,7,8,1,1,0,0,1,55
210930013002,883,439,345,32,6,0,1,0,0,60,0,722,38,54,17,8,44,722,54,36,2,3,2,3,4,2,0,2,0,0,44
210930013003,966,466,424,34,5,0,0,0,0,37,0,822,22,30,18,12,62,822,29,22,6,10,1,5,1,4,1,0,0,0,62
210930013004,839,305,442,47,3,1,0,0,0,41,0,713,24,14,31,9,48,713,13,24,7,10,7,7,5,2,0,1,0,0,48
210930014011,1372,645,580,44,11,0,0,0,0,92,0,1097,64,81,18,15,97,1097,80,64,10,9,7,0,1,3,0,0,0,0,97
210930014012,461,200,232,11,1,1,1,0,0,15,0,370,12,23,11,10,35,370,23,12,6,8,0,0,1,3,0,1,1,0,35
210930014013,1044,530,402,38,11,0,1,0,0,62,0,913,14,22,11,11,73,913,21,14,4,4,1,2,3,1,0,1,1,0,73
210930014021,548,260,207,24,2,0,0,0,0,55,0,446,19,44,6,3,30,446,43,19,0,1,0,2,0,1,0,0,2,0,30
210930014022,771,396,293,30,3,0,0,0,0,49,0,597,23,68,10,9,64,597,66,22,5,4,1,1,4,1,0,0,0,1,64
210930014023,1087,514,421,41,8,1,2,0,0,100,0,875,55,55,19,7,76,875,54,53,5,9,4,0,3,0,0,3,0,0,76
210930014024,443,227,166,17,1,1,1,0,0,30,0,326,15,45,5,13,39,326,45,15,5,0,1,3,1,1,0,0,0,0,39
210930014025,607,306,240,18,3,1,0,0,0,39,0,504,12,33,8,6,44,504,33,9,5,4,0,1,1,0,0,2,0,0,44
210930015001,1255,640,457,62,11,0,0,0,0,85,0,808,45,295,17,9,81,808,295,45,5,1,8,1,4,0,0,1,0,2,81
210930015002,589,319,182,38,7,0,0,0,0,43,0,368,19,151,14,9,28,368,151,19,3,2,10,0,0,1,0,2,1,1,28
210930016011,886,327,481,42,2,1,0,0,0,33,0,769,30,24,4,5,54,769,24,30,2,2,0,1,0,1,0,1,0,0,54
210930016012,850,352,427,23,2,3,1,0,1,41,0,732,26,19,10,3,60,732,19,26,0,1,2,4,2,1,0,0,0,0,60
210930016021,1033,445,486,23,9,0,1,0,0,69,0,928,11,5,13,5,71,928,5,11,0,4,0,3,2,3,0,0,0,2,71
210930016022,562,239,264,21,4,0,0,0,0,34,0,519,9,5,6,1,22,519,5,9,1,4,0,1,1,0,0,0,0,0,22
210930016023,491,203,250,10,2,0,0,0,0,26,0,450,11,1,5,3,21,450,1,11,2,1,0,2,2,0,0,0,0,0,21
