BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_34,eth2_10,eth2_30,eth2_unk
300930006002,407,42,1,364,0,0,343,12,0,1,9,42,343,12,0,3,0,0,42
300930006003,372,26,0,346,0,0,303,11,0,1,14,43,303,11,0,3,0,0,43
300930006004,478,30,0,448,0,0,392,8,0,4,9,65,392,8,1,4,3,0,65
300930006005,337,22,1,314,0,0,280,8,0,5,5,39,280,8,0,0,1,1,39
300930006006,662,45,1,616,0,0,535,18,0,5,10,94,535,18,0,3,1,0,94
300930007001,752,68,0,684,0,0,602,21,0,2,28,99,602,21,0,8,2,2,99
300930007002,688,57,1,630,0,0,534,13,0,10,16,115,534,13,0,11,2,0,115
300930007003,980,95,2,883,0,0,823,29,0,7,17,104,823,29,0,6,0,0,104
300930008001,761,57,5,699,0,0,635,9,1,1,9,106,635,9,0,1,1,0,106
300930008002,581,40,1,540,0,0,487,7,0,1,8,78,487,7,1,1,0,1,78
300930008003,642,36,1,605,0,0,550,12,0,3,11,66,550,12,3,1,1,0,66
300930008004,1259,114,0,1145,0,0,1047,13,0,10,37,152,1047,11,0,5,1,0,152
300930008005,951,138,16,797,0,0,795,13,0,6,10,127,795,13,1,1,0,1,127
300399617011,863,458,240,165,0,0,759,14,0,2,7,81,759,13,0,3,0,2,81
300399617021,560,256,172,132,0,0,464,7,0,3,5,81,464,6,0,1,1,0,81
300399617022,788,437,192,159,0,0,661,12,0,0,15,100,661,12,2,3,0,2,100
300559540001,866,568,184,114,0,0,723,9,0,1,1,132,723,9,0,0,0,0,132
300559540002,443,246,127,70,0,0,379,2,0,1,0,61,379,2,0,0,1,0,61
300370001001,599,319,180,100,0,0,502,10,0,5,3,79,502,10,0,3,1,0,79
300439622011,2129,1253,153,723,0,0,1806,23,0,18,38,244,1806,22,0,18,6,4,244
300439622012,1323,832,56,435,0,0,1138,12,1,3,15,154,1138,12,0,9,0,2,154
300439622021,1371,718,290,363,0,0,1152,23,0,14,18,164,1152,23,0,7,7,3,164
