BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_mnt,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_34,eth2_23,eth2_10,eth2_unk
540110108023,1208,388,550,238,9,10,1,11,0,1,0,1132,11,2,4,8,51,1132,2,11,1,4,3,0,51
540110109001,405,184,107,102,8,2,2,0,0,0,0,351,9,16,2,6,21,351,16,9,4,1,0,0,21
540110109002,517,235,120,142,5,7,2,5,0,1,0,442,11,21,4,2,37,442,21,11,2,0,0,1,37
540639501001,905,281,417,191,9,3,3,0,0,1,0,838,11,3,3,4,46,838,3,11,0,2,2,0,46
540639501002,545,177,227,132,3,2,3,0,0,1,0,500,2,1,1,1,40,500,1,2,0,1,1,0,40
540639501003,303,92,131,80,0,0,0,0,0,0,0,279,2,0,1,1,20,279,0,2,0,1,0,0,20
540639502001,376,131,139,93,9,2,1,0,0,1,0,345,5,1,2,1,22,345,1,5,0,1,0,1,22
540639502002,104,35,48,18,3,0,0,0,0,0,0,97,0,1,0,0,6,97,1,0,0,0,0,0,6
540639502003,1263,428,474,342,7,8,4,0,0,0,0,1168,21,6,3,7,58,1168,6,20,2,2,0,1,58
540639502004,333,144,127,58,3,1,0,0,0,0,0,313,5,2,0,0,13,313,2,5,0,0,0,0,13
540639502005,1250,415,529,284,15,5,1,0,0,1,0,1150,13,1,5,12,69,1150,1,13,2,4,0,0,69
540639503001,169,43,79,46,1,0,0,0,0,0,0,157,1,0,0,0,11,157,0,1,0,0,0,0,11
540639503002,954,265,470,198,11,6,4,0,0,0,0,875,9,2,4,10,54,875,2,9,3,3,1,1,54
540639503003,1056,260,531,238,19,5,3,0,0,0,0,991,8,0,1,3,53,991,0,8,3,0,0,1,53
540639503004,1341,369,628,327,9,6,2,0,0,0,0,1247,11,3,3,9,68,1247,3,11,3,4,0,1,68
540759601011,362,140,121,96,1,3,1,0,0,0,0,322,3,0,1,3,33,322,0,3,0,3,0,0,33
540759601012,423,133,154,133,3,0,0,0,0,0,0,371,6,1,0,1,44,371,1,6,0,0,0,0,44
540759601021,418,148,140,123,4,3,0,0,0,0,0,376,3,0,2,2,35,376,0,3,0,0,0,1,35
540759601022,398,163,131,95,5,0,1,0,0,3,0,363,5,0,1,0,29,363,0,5,0,0,0,0,29
