BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_34,eth2_21,eth2_14,eth2_12,eth2_32,eth2_85,eth2_61,eth2_35,eth2_66,eth2_33,eth2_55,eth2_38,eth2_unk
470590910013,774,296,402,76,0,0,710,14,1,2,6,41,710,1,0,14,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,41
470590910021,885,397,415,73,0,0,830,9,3,0,6,37,830,1,2,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37
470590910022,973,362,508,103,0,0,869,19,2,2,2,79,869,0,2,19,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,79
470590911001,1134,378,640,116,0,0,1047,14,1,2,4,66,1047,1,0,14,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,66
470590911002,1034,381,531,122,0,0,947,7,3,7,4,66,947,1,2,7,1,2,1,0,1,0,3,0,0,0,0,0,0,0,2,66
470590912001,943,471,372,100,0,0,867,12,2,3,4,55,867,2,0,12,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,55
470590912002,866,301,475,90,0,0,789,10,7,3,8,49,789,2,5,10,0,0,1,0,1,0,0,0,0,2,0,0,0,4,0,49
470590913001,685,350,265,70,0,0,625,12,0,3,2,43,625,0,0,12,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,43
470590913002,906,388,398,120,0,0,835,12,1,2,4,52,835,0,1,12,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,52
470590913003,695,344,286,65,0,0,619,15,7,4,0,50,619,3,4,15,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50
470590914001,751,292,371,88,0,0,698,5,0,1,1,46,698,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
470590914002,794,317,381,96,0,0,730,9,13,1,2,39,730,8,5,7,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,39
470590915001,986,349,526,111,0,0,927,8,0,2,0,49,927,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49
470590915002,865,414,352,99,0,0,806,9,1,2,1,46,806,0,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46
471550801011,1064,614,333,117,0,0,909,40,6,4,12,93,909,1,5,40,3,4,0,4,0,0,0,2,0,0,2,0,0,0,0,93
471550801012,778,452,275,51,0,0,705,20,1,1,4,47,705,0,1,20,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,47
471550801013,453,231,155,67,0,0,412,10,12,2,1,16,412,8,4,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16
471550801031,824,492,266,66,0,0,742,24,3,5,5,45,742,2,1,24,1,0,2,1,0,3,0,1,0,0,2,0,0,0,0,45
471550801032,978,477,403,98,0,0,881,16,2,1,7,71,881,1,1,16,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,71
471550801033,877,499,320,58,0,0,765,15,6,8,4,79,765,0,6,15,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,79
471550801041,1486,717,630,139,0,0,1347,29,0,4,10,96,1347,0,0,27,0,2,1,2,1,0,0,0,1,0,2,2,0,0,1,96
471550801042,824,416,325,83,0,0,745,12,1,2,3,61,745,1,0,12,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,61
471550802021,1190,556,505,129,0,0,1071,21,4,6,8,80,1071,3,1,21,2,1,4,2,0,1,0,0,0,0,2,0,0,1,1,80
471550802022,1887,925,793,169,0,0,1657,52,3,10,13,152,1657,1,2,47,2,1,6,4,2,1,0,0,0,0,0,5,2,1,1,152
471550802023,1246,588,529,129,0,0,1128,29,22,4,2,61,1128,14,8,29,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,61
471550802031,1162,533,500,129,0,0,1062,22,2,1,4,71,1062,1,1,22,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,71
471550802032,1339,592,623,124,0,0,1228,15,1,9,13,73,1228,1,0,15,5,1,3,5,1,3,0,0,1,1,1,0,0,0,0,73
471550802033,987,447,440,100,0,0,883,17,2,3,6,76,883,0,2,17,0,0,0,2,2,1,0,1,0,0,0,0,0,1,0,76
471550802041,1499,649,693,157,0,0,1341,21,2,14,12,109,1341,2,0,21,4,5,1,3,3,0,2,0,2,2,0,0,0,1,0,109
471550802042,935,487,370,78,0,0,837,22,1,5,5,65,837,1,0,22,0,1,2,3,1,0,0,0,0,0,0,0,0,0,2,65
471550803001,1193,549,512,132,0,0,1065,30,5,6,9,78,1065,3,2,30,1,3,1,0,2,0,0,0,0,3,0,0,0,1,0,78
471550803002,1470,812,518,140,0,0,1305,34,10,8,6,107,1305,5,5,34,1,5,1,2,2,0,0,0,0,0,2,0,0,0,1,107
471550803003,1014,536,388,90,0,0,917,27,4,5,8,53,917,1,3,27,2,1,3,2,0,1,0,1,1,0,0,0,0,1,0,53
471550804011,965,503,364,98,0,0,890,28,0,0,3,44,890,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
471550804012,1140,527,488,125,0,0,1036,24,1,3,8,68,1036,0,1,24,3,0,3,2,0,0,0,0,0,0,0,0,2,1,0,68
471550804021,1404,773,478,153,0,0,1244,42,11,2,13,92,1244,3,8,42,4,0,0,6,0,2,0,0,0,0,0,0,1,1,0,92
471550804022,887,478,349,60,0,0,795,16,1,2,7,66,795,1,0,16,2,0,1,4,0,1,0,1,0,0,0,0,0,0,0,66
471550805001,751,354,326,71,0,0,680,10,0,5,4,52,680,0,0,10,0,3,0,2,1,1,0,1,0,0,0,0,0,0,0,52
471550805002,863,488,298,77,0,0,739,37,3,8,18,58,739,2,1,35,3,4,0,7,3,1,0,0,0,3,3,2,0,0,0,58
471550805003,635,325,253,57,0,0,528,28,3,25,6,45,528,3,0,28,1,13,4,2,0,5,2,0,2,0,0,0,0,1,0,45
471550805004,1099,525,451,123,0,0,951,34,8,19,10,77,951,4,4,33,1,9,6,8,1,3,0,0,1,0,0,1,0,0,0,77
471550806011,1573,866,547,160,0,0,1373,58,7,13,16,106,1373,3,4,55,6,5,6,2,1,1,0,0,5,0,0,3,1,0,1,106
471550806012,614,374,173,67,0,0,519,23,4,16,4,48,519,4,0,23,0,4,4,1,5,3,0,0,0,0,0,0,0,1,0,48
471550806013,734,350,305,79,0,0,650,32,1,1,3,47,650,1,0,32,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,47
471550806031,913,530,306,77,0,0,831,17,7,2,4,52,831,1,6,16,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,52
471550806032,633,293,280,60,0,0,557,11,2,3,7,53,557,1,1,10,3,1,2,0,0,0,0,0,0,1,3,1,0,0,0,53
471550806033,806,425,301,80,0,0,727,19,2,4,2,52,727,1,1,19,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,52
471550806041,665,304,296,65,0,0,605,20,1,2,3,34,605,1,0,20,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,34
471550806042,610,269,277,64,0,0,556,5,1,1,4,43,556,1,0,5,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,43
471550806043,940,416,423,101,0,0,858,15,2,5,7,53,858,0,2,15,1,1,2,1,1,1,0,0,0,4,0,0,0,0,0,53
471550806044,1226,573,549,104,0,0,1120,16,2,4,8,76,1120,2,0,14,3,2,1,0,0,0,0,1,0,3,1,2,0,0,0,76
471550807011,1736,764,830,142,0,0,1560,33,1,16,18,108,1560,1,0,32,7,8,2,2,3,2,1,0,2,5,0,1,0,0,0,108
471550807012,951,389,433,129,0,0,848,21,1,3,5,73,848,1,0,19,3,2,1,0,0,0,0,0,0,0,0,2,0,1,0,73
471550807021,1174,545,470,159,0,0,1062,11,2,5,8,86,1062,1,1,10,3,0,2,3,0,2,0,1,0,1,0,1,0,0,0,86
471550807022,627,283,294,50,0,0,567,14,0,0,1,45,567,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45
471550807023,1164,656,405,103,0,0,1040,42,1,6,7,68,1040,0,1,42,1,1,3,3,1,1,0,1,0,0,0,0,2,0,0,68
471550808011,667,365,230,72,0,0,549,32,20,10,5,51,549,11,9,31,1,7,2,3,1,0,0,0,0,0,0,1,1,0,0,51
471550808012,411,246,127,38,0,0,346,36,1,0,3,25,346,1,0,35,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,25
471550808031,1473,621,679,173,0,0,1277,49,4,32,14,97,1277,2,2,49,4,25,1,1,2,1,2,0,0,4,0,0,1,0,3,97
471550808032,1456,627,696,133,0,0,1281,41,2,25,18,89,1281,1,1,41,9,11,7,8,4,1,1,0,0,0,0,0,0,0,0,89
471550808041,157,101,44,12,0,0,125,14,3,0,2,13,125,3,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,13
471550808042,1470,725,611,134,0,0,1258,58,6,24,9,115,1258,5,1,57,1,16,4,1,4,0,0,1,2,2,0,1,1,0,0,115
471550809011,984,487,401,96,0,0,856,33,0,17,1,77,856,0,0,32,0,15,2,0,0,0,0,0,0,0,0,1,0,0,0,77
471550809012,793,334,356,103,0,0,695,22,2,1,4,69,695,1,1,22,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,69
471550809013,570,236,269,65,0,0,518,16,1,0,2,33,518,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,33
471550809031,676,317,287,72,0,0,589,17,2,4,1,63,589,1,1,17,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,63
471550809032,904,385,427,92,0,0,813,13,1,2,7,68,813,1,0,13,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,68
471550809041,571,311,191,69,0,0,462,23,0,37,14,35,462,0,0,23,10,35,1,1,1,0,0,0,0,0,1,0,0,0,0,35
471550809042,837,493,284,60,0,0,739,21,1,4,7,65,739,0,1,21,5,1,0,1,1,2,0,0,0,0,0,0,0,1,0,65
