BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_cnt,party_grn,party_rin,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_30,eth2_12,eth2_14,eth2_21,eth2_23,eth2_34,eth2_83,eth2_93,eth2_35,eth2_81,eth2_61,eth2_unk
490351139081,603,238,209,120,19,7,5,0,2,3,0,426,115,1,10,4,47,426,114,1,0,3,0,5,1,0,0,1,2,0,1,47
490351139082,587,202,221,119,29,10,1,1,0,4,0,453,73,0,6,6,49,453,73,4,3,1,0,0,1,0,0,0,0,1,0,49
490351139083,606,189,221,151,29,6,1,1,0,8,0,375,170,2,10,8,41,375,169,2,0,3,4,1,0,2,4,2,0,0,0,41
490351139091,1506,686,518,232,50,6,6,1,2,5,0,1152,185,5,29,32,103,1152,183,7,12,2,4,6,4,5,3,5,5,0,2,103
490351140001,474,189,147,99,30,6,1,0,2,0,0,387,21,5,13,12,36,387,19,5,5,2,0,1,5,3,0,4,0,0,0,36
490351140002,440,141,133,143,12,7,1,1,1,1,0,338,19,1,9,15,58,338,18,3,5,2,2,2,0,7,1,1,0,0,0,58
490351140003,868,170,306,335,32,11,2,5,3,4,0,625,101,4,23,29,86,625,99,7,12,3,4,1,7,4,5,4,1,1,0,86
490351141001,902,204,289,360,25,17,2,1,0,4,0,718,55,2,16,14,97,718,55,6,5,4,0,1,4,1,0,2,2,0,0,97
490351141002,786,283,250,225,20,2,1,1,1,3,0,650,44,0,17,12,63,650,43,6,2,6,1,0,4,3,0,0,0,0,5,63
490351142001,1078,436,363,239,29,5,4,0,0,2,0,815,98,4,56,21,84,815,98,13,4,7,6,14,9,5,0,4,0,0,5,84
490351142002,1314,672,425,167,29,9,7,1,0,4,0,1073,60,0,57,18,106,1073,59,20,12,0,6,15,16,0,0,0,2,0,0,106
490351143011,135,32,53,42,6,1,0,1,0,0,0,76,31,0,6,4,18,76,31,2,0,0,0,1,2,2,2,0,0,0,0,18
490351143012,361,127,117,97,14,4,1,0,1,0,0,259,54,0,8,7,33,259,54,3,4,2,1,1,0,0,2,0,0,0,1,33
490351143013,931,338,328,220,29,12,3,0,0,1,0,648,149,1,42,17,74,648,148,13,3,2,2,10,7,3,3,1,0,0,1,74
490351143014,205,75,72,44,8,5,0,0,0,1,0,144,35,1,3,1,21,144,35,1,0,0,1,0,1,1,0,1,0,0,0,21
490351143021,1184,507,410,205,40,12,5,0,0,5,0,908,129,2,31,16,98,908,129,12,3,1,0,6,6,4,1,2,0,0,0,98
490351143031,1220,510,387,241,56,13,4,5,1,3,0,872,180,5,36,23,104,872,176,7,10,4,7,3,2,1,4,5,1,2,0,104
490351143032,1269,524,435,231,50,18,4,2,2,3,0,974,161,2,25,22,85,974,160,9,2,1,1,10,2,6,5,2,2,1,0,85
490351143033,1436,683,494,208,34,12,3,0,0,2,0,1083,151,0,48,25,129,1083,151,13,9,8,4,7,6,1,2,0,2,0,2,129
490351143041,1074,526,340,160,36,8,2,1,0,1,0,817,125,0,39,12,81,817,125,12,0,5,2,18,0,3,0,0,0,0,0,81
490351143042,468,199,150,97,20,1,0,0,0,1,0,363,43,2,16,6,38,363,43,2,1,1,1,9,3,0,1,2,1,0,2,38
490351143043,680,278,237,130,23,6,2,1,0,3,0,477,94,3,24,12,70,477,94,2,3,7,3,8,1,2,2,3,0,0,1,70
490351145001,759,219,274,217,28,6,4,4,1,6,0,427,200,2,49,17,64,427,200,11,9,2,4,20,7,0,3,2,0,0,0,64
490351145002,330,84,128,100,7,5,3,0,0,3,0,145,109,1,28,11,36,145,108,6,4,0,2,10,1,2,2,1,0,1,2,36
490351145003,1035,308,388,278,40,10,1,3,1,6,0,555,194,8,128,31,119,555,194,36,4,6,9,59,6,3,8,7,3,1,3,119
490351146011,719,370,241,80,17,6,0,1,1,3,0,612,44,1,13,6,43,612,44,4,3,0,8,1,0,1,0,1,0,0,1,43
490351146012,1400,896,336,114,37,11,2,1,0,3,0,1248,42,0,20,14,76,1248,42,7,4,4,2,4,2,1,0,0,3,0,0,76
490351146013,876,498,260,80,19,9,3,2,2,3,0,760,31,0,23,4,58,760,29,5,2,3,1,3,6,0,0,0,0,0,0,58
490351146021,1205,749,319,89,26,11,2,1,0,8,0,1075,40,2,15,5,68,1075,39,5,1,0,4,4,0,1,0,2,0,0,0,68
490351147001,1010,260,353,359,24,7,4,1,0,2,0,572,260,11,45,40,82,572,254,10,13,12,2,8,9,3,8,11,0,1,4,82
