BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_con,party_grn,party_lbl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_21,eth2_unk
100050518022,574,230,207,118,15,2,0,0,1,1,0,376,18,122,5,5,48,376,122,18,1,0,1,1,1,0,48
100050518023,878,487,229,150,7,2,1,0,0,2,0,389,37,404,7,7,34,389,404,37,4,3,0,3,2,0,34
100050519001,1437,456,646,307,20,4,1,0,0,3,0,1098,44,198,12,9,76,1098,198,42,1,1,1,2,4,5,76
100050519002,1068,363,448,228,19,7,3,0,0,0,0,890,24,63,9,4,78,890,63,23,1,0,1,1,4,3,78
100050519003,958,341,376,213,18,2,3,1,1,3,0,717,23,125,21,8,64,717,125,19,10,6,3,0,1,4,64
100059800001,3,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
100059900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010401001,1710,531,702,429,29,6,1,3,3,6,0,1426,72,70,7,17,118,1426,69,72,5,4,1,6,0,0,118
100010401002,1186,410,436,307,22,3,3,0,0,5,0,950,52,70,4,7,103,950,70,49,1,0,1,3,2,0,103
100010401003,1111,348,434,297,16,6,3,0,0,7,0,968,33,8,2,12,88,968,8,33,1,0,0,6,1,0,88
100010401004,1204,460,408,305,24,2,1,0,1,3,0,881,46,191,12,7,67,881,191,46,0,3,6,0,4,2,67
100010402011,2039,847,606,522,35,13,4,0,4,8,0,1510,103,221,18,23,164,1510,220,103,2,5,4,1,1,5,164
100010402012,586,305,136,121,13,6,2,1,0,2,0,397,27,118,3,9,32,397,117,27,0,2,1,1,1,0,32
100010402013,1105,640,196,254,5,9,1,0,0,0,0,541,64,387,10,11,92,541,387,64,5,7,2,3,0,1,92
100010402031,1022,392,322,287,14,3,1,0,0,3,0,807,26,61,16,14,98,807,61,26,2,6,4,2,2,4,98
100010402032,981,477,258,218,21,1,0,5,1,0,0,564,48,248,16,18,87,564,248,48,7,6,3,4,2,1,87
100010402033,1646,983,241,390,17,3,2,5,3,2,0,666,101,765,17,29,68,666,765,101,7,18,1,5,2,2,68
100010402041,1810,755,559,459,23,6,0,1,1,6,0,1346,73,194,16,37,144,1346,193,72,4,11,4,11,4,0,144
100010402042,1412,864,241,275,20,4,2,1,0,5,0,621,84,561,24,27,95,621,559,83,6,11,6,9,9,0,95
100010402043,1278,700,286,261,25,3,0,2,1,0,0,675,61,364,28,44,106,675,363,59,15,19,7,0,0,4,106
100010402051,1002,620,188,181,9,2,1,0,0,1,0,631,45,195,9,17,105,631,195,45,1,12,5,1,0,2,105
100010402052,1195,560,274,330,16,3,0,6,1,5,0,857,94,144,6,16,78,857,143,93,1,14,4,0,1,0,78
100010402053,1003,556,187,238,12,3,2,1,1,3,0,527,65,313,13,15,70,527,312,65,4,10,5,2,2,2,70
100010402061,5888,3042,1467,1274,63,17,7,1,5,12,0,3508,306,1407,98,99,470,3508,1399,304,38,45,32,18,13,6,470
100010405011,1842,1179,264,367,18,2,1,0,4,7,0,514,139,1047,34,23,85,514,1046,139,9,9,11,1,4,5,85
100010405012,664,324,171,147,6,0,2,3,3,8,0,346,79,184,9,4,42,346,184,79,3,2,5,1,0,0,42
100010405013,887,345,314,204,13,7,0,0,0,4,0,662,48,103,12,13,49,662,102,45,6,2,2,3,0,1,49
100010405021,961,472,263,210,10,4,0,0,1,1,0,657,61,133,13,14,83,657,131,61,8,8,1,2,3,0,83
100010405022,915,458,262,180,8,3,2,0,0,2,0,517,82,235,9,9,63,517,234,80,5,4,2,1,2,0,63
100010407001,1628,704,479,417,22,1,1,1,1,2,0,1056,85,241,71,47,128,1056,239,85,38,18,15,16,5,5,128
100010407002,745,484,120,122,12,2,2,0,1,2,0,240,41,430,4,4,26,240,430,41,2,2,0,1,1,0,26
100010407003,1392,780,305,286,12,2,0,1,6,0,0,661,65,522,37,23,84,661,517,65,10,8,14,6,6,5,84
100010409001,762,343,195,208,8,2,0,2,1,3,0,562,36,81,8,10,65,562,81,36,2,4,2,5,2,0,65
100010409002,701,360,159,168,10,0,1,0,0,3,0,464,52,87,30,10,58,464,84,52,19,4,4,1,5,1,58
100010410001,1849,1048,346,420,15,7,1,2,4,6,0,775,136,801,18,23,96,775,799,136,3,8,7,3,2,4,96
100010410002,1305,831,185,262,13,5,1,2,2,4,0,516,102,547,33,28,79,516,545,101,9,21,12,0,4,6,79
100010410003,1131,549,286,269,11,4,2,1,3,6,0,573,138,304,12,17,87,573,304,137,5,7,3,2,2,1,87
100010411011,329,128,99,97,2,0,0,0,1,2,0,206,45,45,4,3,26,206,43,45,1,2,2,1,0,0,26
100010411012,154,62,41,46,2,0,0,0,0,3,0,99,21,19,5,0,10,99,18,20,1,0,2,0,0,1,10
100010411013,154,58,41,52,1,0,0,0,2,0,0,97,23,11,5,4,14,97,10,23,1,2,2,1,1,0,14
100010412001,1314,607,381,311,8,0,0,1,1,5,0,661,111,329,93,29,91,661,328,110,58,14,22,0,8,3,91
100010412002,980,449,263,240,16,5,1,1,2,3,0,603,66,166,27,32,86,603,166,65,19,22,3,0,2,0,86
100010412003,677,403,111,143,9,4,2,0,1,4,0,219,59,358,8,7,26,219,358,59,4,3,1,1,0,0,26
100010413001,716,436,109,152,11,2,0,1,1,4,0,241,46,378,10,11,30,241,377,46,5,4,1,5,1,3,30
100010413002,1364,664,310,354,21,5,3,3,0,4,0,830,84,312,17,26,95,830,311,83,5,14,2,5,6,3,95
100010414001,1768,1023,341,368,12,7,3,2,7,5,0,809,136,671,22,14,116,809,670,135,8,9,7,2,3,2,116
100010414002,796,573,64,147,5,0,1,0,2,4,0,132,33,597,5,7,22,132,597,33,3,3,0,0,1,1,22
100010415001,1777,861,469,414,16,4,3,2,1,7,0,1045,105,471,9,35,112,1045,469,104,5,12,2,5,0,0,112
100010415002,942,515,181,232,5,0,2,0,2,5,0,417,75,364,13,19,54,417,364,75,1,7,5,0,3,1,54
100010416001,1614,571,628,387,10,3,4,4,1,6,0,1205,89,142,15,29,134,1205,142,89,8,12,3,5,1,1,134
100010417011,1414,580,416,382,28,3,1,1,1,2,0,978,65,197,29,21,124,978,195,65,12,10,5,7,2,7,124
100010417012,676,304,194,171,3,2,0,1,0,1,0,404,36,162,9,10,55,404,162,36,1,1,3,2,3,0,55
100010417013,1248,705,236,277,19,6,1,1,2,1,0,517,98,511,39,18,65,517,510,98,17,8,6,5,9,7,65
100010417014,1305,449,488,333,21,6,6,0,1,1,0,1020,43,120,11,16,95,1020,120,42,5,4,4,4,0,1,95
100010417021,1816,757,592,431,25,2,2,3,3,1,0,1170,94,306,70,41,135,1170,304,94,21,20,20,6,5,17,135
100010417022,1595,758,463,333,27,2,2,0,2,8,0,886,80,485,38,18,88,886,484,80,22,8,3,2,2,7,88
100010418021,1713,636,672,367,25,5,0,2,2,4,0,1161,114,179,80,24,155,1161,179,111,54,12,13,6,4,1,155
