BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
370510033072,1151,714,291,140,3,2,1,0,0,173,92,822,35,12,17,173,717,92,105,4,4,9,2,7,3,10,2,0,0,0,0,0,0,2,2,1,0,0,0,1,17
370510033073,605,361,158,79,5,2,0,0,0,123,57,399,9,3,14,123,349,57,50,1,0,3,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14
370510033074,263,149,85,24,5,0,0,0,0,60,29,161,2,4,7,60,134,29,27,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
370510033101,525,316,149,55,4,1,0,0,0,103,40,362,5,5,10,103,310,39,52,1,0,1,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10
370510033102,283,112,101,66,4,0,0,0,0,125,24,116,6,3,9,125,98,24,18,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
370510033103,806,388,257,151,6,2,2,0,0,270,113,364,22,16,21,270,303,113,61,7,0,7,0,2,1,10,3,0,0,0,0,0,0,4,0,0,0,0,1,0,21
370510033104,895,508,297,84,3,3,0,0,0,134,116,613,12,10,10,134,511,116,102,0,5,2,9,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
370510033111,399,260,95,39,5,0,0,0,0,64,33,285,3,8,6,64,245,33,40,0,2,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
370510033112,699,353,233,104,7,1,1,0,0,193,78,395,11,5,17,193,348,78,47,4,1,5,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17
370510033121,699,373,198,119,7,0,2,0,0,174,102,392,7,9,15,174,345,102,47,4,0,3,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,15
370510033122,1328,679,401,238,9,0,1,0,0,328,139,777,21,26,37,328,671,138,106,6,0,12,5,0,1,8,0,1,1,0,1,0,0,7,0,0,0,1,0,0,37
370510033123,1135,573,360,192,8,1,1,0,0,333,101,630,16,19,36,333,559,100,71,7,2,7,2,0,2,2,3,0,0,0,1,0,0,3,0,1,0,2,0,0,36
