BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
270917904002,496,185,184,127,0,0,412,10,0,1,5,68,412,10,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68
270917905011,644,310,79,255,0,0,525,13,0,10,5,91,525,13,0,1,5,0,2,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,91
270917905012,490,222,87,181,0,0,400,10,1,2,1,76,400,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,76
270917905021,713,243,154,316,0,0,571,23,0,7,10,102,571,23,0,1,2,0,0,1,0,3,1,2,0,1,0,0,5,0,1,0,0,0,0,0,0,102
270917905022,648,345,69,234,0,0,528,12,0,9,5,94,528,12,0,0,2,1,0,2,0,4,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,94
270917905023,781,277,191,313,0,0,641,5,0,12,3,120,641,5,0,0,4,1,0,4,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,120
270917905024,575,149,204,222,0,0,467,29,1,4,3,71,467,29,1,1,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,71
270917906001,481,109,190,182,0,0,390,17,0,5,4,65,390,17,0,0,2,2,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,65
270917906002,451,142,204,105,0,0,363,13,0,7,1,67,363,13,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
270917906003,497,93,198,206,0,0,405,24,0,4,1,63,405,24,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
270917906004,490,114,155,221,0,0,386,39,1,3,2,59,386,39,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
271739701001,462,151,153,158,0,0,374,17,0,2,3,66,374,17,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
271739701002,306,56,112,138,0,0,251,9,0,2,3,41,251,9,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
