BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330150650081,760,327,210,223,0,0,663,16,2,10,11,58,663,14,6,1,5,1,2,2,2,2,2,0,58
330150650082,361,152,93,116,0,0,310,8,0,1,4,38,310,8,1,0,0,0,0,0,2,0,1,0,38
330150650083,542,247,122,173,0,0,439,15,0,4,16,68,439,14,13,1,2,2,1,0,0,0,1,0,68
330150650091,1883,679,627,577,0,0,1688,32,0,15,18,130,1688,32,9,4,3,7,0,0,2,0,4,1,130
330150650092,666,259,216,191,0,0,584,13,0,4,8,57,584,13,2,1,1,1,0,0,4,0,2,0,57
330150650093,614,252,203,159,0,0,541,9,1,5,8,50,541,9,1,3,0,4,0,1,2,0,1,0,50
330150650101,729,263,245,221,0,0,609,32,1,5,11,71,609,29,2,1,2,1,3,1,0,0,0,1,71
330150650102,1682,639,504,539,0,0,1447,25,0,14,24,172,1447,23,4,7,2,9,2,0,7,2,0,2,172
330150650103,1327,475,428,424,0,0,1119,21,0,23,27,137,1119,19,6,10,2,10,2,0,3,1,7,1,137
330150660001,1008,301,348,359,0,0,867,12,2,11,21,95,867,12,10,3,2,1,0,2,3,0,5,0,95
330150660002,1463,530,475,458,0,0,1281,27,0,12,28,115,1281,27,18,4,0,3,0,0,3,7,0,1,115
330150660003,1515,539,494,482,0,0,1295,29,0,25,35,131,1295,26,6,13,5,17,3,0,4,1,6,0,131
330150670001,1291,471,411,409,0,0,1097,20,3,24,15,132,1097,20,6,14,5,2,0,3,0,0,2,0,132
330150670002,1821,605,611,605,0,0,1580,31,1,27,34,148,1580,29,8,13,5,5,2,1,7,0,6,2,148
330150670003,1303,416,498,389,0,0,1108,40,0,16,23,116,1108,38,10,3,8,12,2,0,0,1,4,0,116
330150670004,2000,660,686,654,0,0,1697,33,0,33,25,212,1697,33,9,18,6,8,0,0,4,1,4,2,212
330150675021,1032,432,447,153,0,0,847,24,1,21,16,123,847,21,3,8,5,6,3,1,2,2,0,4,123
330150675022,935,336,445,154,0,0,799,25,0,13,14,84,799,24,2,6,4,2,1,0,3,1,1,0,84
330150675023,939,349,399,191,0,0,811,25,1,14,14,74,811,24,6,4,2,6,1,1,1,0,1,5,74
330150675031,655,245,272,138,0,0,559,14,1,11,3,67,559,13,0,1,4,3,1,1,0,5,0,0,67
330150675032,1731,697,702,332,0,0,1435,43,8,47,15,183,1435,43,5,9,12,5,0,8,1,2,1,5,183
330150675041,1265,456,479,330,0,0,1070,38,3,31,7,116,1070,35,2,7,3,1,3,3,0,2,3,3,116
330150675042,1044,356,425,263,0,0,885,23,2,19,14,101,885,19,6,6,1,4,4,2,0,2,3,4,101
330150675051,1370,562,405,403,0,0,1209,10,1,9,11,130,1209,9,5,2,6,2,1,1,2,1,0,0,130
330150691001,1057,365,432,260,0,0,857,17,0,18,20,145,857,17,10,7,5,2,0,0,5,4,0,2,145
330150691002,1245,352,746,147,0,0,1023,15,9,12,24,162,1023,12,12,8,0,7,3,9,0,2,1,0,162
330150691003,721,210,386,125,0,0,608,16,0,8,20,69,608,16,6,2,2,4,0,0,3,0,0,4,69
330150691004,758,211,427,120,0,0,631,13,1,7,9,97,631,12,4,4,1,0,1,1,2,0,1,1,97
330150692001,834,244,434,156,0,0,714,9,2,9,15,85,714,9,2,4,2,10,0,2,0,0,2,1,85
330150692002,722,225,397,100,0,0,597,17,1,12,10,85,597,16,3,6,0,3,1,1,0,5,0,1,85
330150692003,919,345,425,149,0,0,767,24,0,13,16,99,767,23,4,5,2,5,1,0,3,1,3,2,99
330150693001,895,316,412,167,0,0,764,25,2,13,12,79,764,21,4,4,2,3,4,2,1,1,2,3,79
330150693002,1031,344,536,151,0,0,881,23,2,21,6,98,881,20,0,4,7,1,3,2,0,3,2,1,98
330150697001,609,153,351,105,0,0,514,16,2,5,9,63,514,12,6,4,0,0,4,2,1,0,0,1,63
330150697002,1396,435,662,299,0,0,1145,27,6,21,14,183,1145,27,2,8,6,5,0,6,0,0,3,3,183
330150697003,967,342,380,245,0,0,829,20,4,8,15,91,829,20,7,1,3,0,0,4,1,2,1,1,91
330150710011,1372,466,476,430,0,0,1179,27,1,7,20,138,1179,27,5,0,2,5,0,1,5,2,2,1,138
330150710012,1724,534,670,520,0,0,1465,26,2,24,33,174,1465,26,20,9,4,5,0,2,3,4,3,4,174
330150710021,669,195,249,225,0,0,571,11,1,6,16,64,571,11,10,4,0,0,0,1,2,1,0,1,64
330150710022,1510,464,524,522,0,0,1280,30,0,11,22,167,1280,29,8,6,3,6,1,0,3,0,1,0,167
330151001001,2242,787,566,889,0,0,1844,80,4,37,86,191,1844,72,45,16,11,7,8,4,14,1,2,2,191
330151001002,1684,622,420,642,0,0,1383,50,3,17,49,182,1383,45,29,5,8,2,5,3,3,2,1,1,182
330151001003,1316,490,330,496,0,0,1040,66,5,25,60,120,1040,60,23,8,8,9,6,5,22,2,2,5,120
