BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230270460025,834,199,362,242,31,0,0,0,736,6,0,4,5,83,736,5,0,1,2,0,2,0,0,83
230270470001,1197,409,358,367,63,0,0,0,1071,11,0,4,8,103,1071,11,2,1,1,0,1,1,1,103
230270470002,744,208,194,299,43,0,0,0,674,11,0,0,6,53,674,11,1,0,1,0,0,0,0,53
230270470003,1056,292,410,308,46,0,0,0,954,9,1,4,10,78,954,8,1,2,5,1,0,0,1,78
230270470004,615,177,176,227,35,0,0,0,573,4,0,0,2,36,573,3,0,0,0,0,0,0,0,36
230010101001,880,339,311,173,57,0,0,0,742,23,9,5,29,72,742,22,23,0,2,9,1,2,0,72
230010102001,116,29,43,37,7,0,0,0,104,1,0,0,4,7,104,0,3,0,0,0,0,0,0,7
230010102002,1365,452,420,437,54,1,1,0,1239,22,0,11,12,81,1239,20,2,6,7,0,3,2,0,81
230010102003,1124,420,359,277,67,0,1,0,888,26,23,11,99,77,888,24,90,1,1,23,1,2,2,77
230010102004,514,157,192,132,33,0,0,0,442,5,3,4,11,49,442,5,6,1,2,3,0,2,1,49
230010103001,895,332,321,186,56,0,0,0,775,22,1,2,14,81,775,22,11,0,0,1,1,0,0,81
230010103002,276,96,100,64,16,0,0,0,227,11,1,8,8,21,227,11,4,3,3,1,2,3,0,21
230010103003,313,104,116,76,17,0,0,0,267,7,8,3,5,23,267,7,4,0,0,8,2,0,0,23
230010104001,442,149,157,106,30,0,0,0,398,9,0,3,5,27,398,9,0,1,3,0,1,0,1,27
230010104002,479,180,149,132,18,0,0,0,447,6,1,1,2,22,447,5,0,1,2,1,0,0,0,22
230010104003,591,196,190,174,31,0,0,0,523,7,2,12,5,42,523,6,4,6,1,2,3,2,0,42
230010105001,457,158,161,113,25,0,0,0,399,14,0,1,10,33,399,14,5,0,0,0,0,0,0,33
230010105002,726,263,286,140,37,0,0,0,639,19,2,4,11,51,639,17,6,0,4,2,2,1,1,51
230010106001,1075,306,408,311,50,0,0,0,974,10,1,4,17,69,974,10,5,1,8,0,1,0,0,69
230010106002,1197,397,404,339,57,0,0,0,1085,18,7,1,12,74,1085,16,5,0,3,7,0,0,0,74
230010107001,1205,358,424,361,62,0,0,0,1111,12,1,9,12,60,1111,12,6,2,3,1,2,2,3,60
230010107002,892,269,282,307,34,0,0,0,812,7,1,7,10,55,812,5,4,2,1,1,3,2,0,55
230010108001,1257,495,404,289,69,0,0,0,1091,24,1,11,15,115,1091,20,4,0,9,1,4,3,4,115
230010108002,940,328,325,247,40,0,0,0,823,16,1,10,17,73,823,14,5,5,5,1,0,1,1,73
230010108003,913,313,319,258,23,0,0,0,838,16,0,10,4,45,838,14,1,8,2,0,0,1,0,45
230010201001,497,235,184,56,22,0,0,0,257,17,83,2,104,34,257,16,95,1,2,83,0,1,0,34
230010201002,236,116,62,44,14,0,0,0,199,8,1,5,7,16,199,8,5,0,0,1,5,0,0,16
230010201003,116,48,41,15,12,0,0,0,89,6,2,1,4,14,89,6,3,1,0,2,0,0,0,14
230010202001,315,113,126,55,21,0,0,0,260,8,2,5,12,28,260,8,9,2,1,2,0,3,0,28
230010202002,478,160,192,93,33,0,0,0,411,10,6,5,9,37,411,10,7,0,2,6,0,2,2,37
