BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_14,eth2_21,eth2_34,eth2_32,eth2_29,eth2_12,eth2_85,eth2_35,eth2_66,eth2_61,eth2_33,eth2_99,eth2_55,eth2_19,eth2_26,eth2_38,eth2_15,eth2_59,eth2_13,eth2_83,eth2_unk
511076105032,1351,721,375,255,0,0,794,156,55,63,143,140,794,54,154,78,30,13,7,10,18,16,6,1,4,1,2,8,3,1,1,1,0,0,0,2,0,0,140
511076105033,2329,1408,583,338,0,0,1274,171,55,309,304,216,1274,54,166,189,164,38,33,61,29,26,28,6,11,2,5,5,4,1,7,1,1,0,2,0,1,0,216
511076105041,1157,658,295,204,0,0,776,119,38,37,54,133,776,37,115,16,12,10,4,6,6,1,3,4,16,0,4,6,0,1,5,0,0,0,0,0,1,0,133
511076105042,1224,716,407,101,0,0,979,57,11,35,24,118,979,11,57,4,10,13,7,3,8,7,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,118
511076105043,1031,621,200,210,0,0,658,148,44,38,45,98,658,44,146,26,14,11,3,8,1,2,8,1,2,0,2,3,0,0,0,0,0,2,0,0,1,0,98
511076105044,1182,702,263,217,0,0,705,233,38,30,68,108,705,38,231,43,13,7,2,4,5,1,3,0,2,2,2,2,2,0,0,0,0,0,2,1,2,4,108
511076105051,157,96,10,51,0,0,70,58,7,5,13,4,70,7,58,9,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
511076105052,343,181,88,74,0,0,261,51,4,2,3,22,261,4,51,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22
511076105053,855,515,113,227,0,0,391,264,52,36,69,43,391,51,259,50,19,7,3,2,0,5,9,0,0,0,5,2,1,1,0,1,2,0,0,0,0,0,43
511076105054,638,331,98,209,0,0,354,100,36,32,48,68,354,36,100,33,14,7,3,2,4,3,6,0,0,0,0,1,1,0,0,3,0,0,1,0,1,0,68
511076105061,1406,832,232,342,0,0,561,250,118,158,174,145,561,118,250,117,102,23,13,11,6,8,12,1,8,2,0,9,7,0,1,1,3,0,3,0,1,1,145
511076105062,1238,774,307,157,0,0,565,110,54,215,180,114,565,54,108,116,91,42,18,49,9,8,15,7,9,2,2,3,2,0,3,4,2,0,0,8,1,3,114
511076105063,755,393,202,160,0,0,491,73,12,41,46,92,491,11,71,25,17,8,4,4,7,3,3,2,1,5,2,0,1,1,0,3,2,0,0,0,1,0,92
511076105071,1194,580,445,169,0,0,827,56,24,51,83,153,827,24,56,36,4,27,14,4,15,13,0,0,2,4,0,3,6,0,3,1,0,0,1,0,0,0,153
511076105072,1306,658,529,119,0,0,972,34,15,59,81,145,972,14,34,52,21,15,8,5,2,13,1,8,2,6,0,1,0,1,1,1,0,0,0,2,0,0,145
511076105073,1364,755,440,169,0,0,831,122,29,119,131,132,831,29,121,73,53,31,7,16,8,14,6,3,2,4,1,11,4,0,2,3,1,0,0,6,3,0,132
511076105074,1023,587,307,129,0,0,615,64,30,90,119,105,615,29,62,75,43,21,5,15,5,13,18,1,3,0,2,1,3,1,0,1,0,0,1,0,1,0,105
511076106011,1368,761,368,239,0,0,988,142,68,29,27,114,988,68,142,13,7,6,2,13,1,1,1,1,3,4,0,0,3,0,0,0,0,0,0,0,0,0,114
511076106012,1117,561,301,255,0,0,851,73,33,34,34,92,851,33,65,16,9,11,7,2,2,4,1,2,3,1,8,3,1,0,0,1,1,1,1,2,0,0,92
511076106013,1360,678,550,132,0,0,1099,61,7,12,29,152,1099,7,61,8,1,1,3,1,9,3,0,3,0,0,0,1,0,0,2,0,3,0,0,3,0,2,152
