GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
22017024109,2137,891,689,547,9,1,0,0,1179,59,784,10,20,85
22017024110,1513,1011,165,330,5,2,0,0,281,20,1175,11,7,19
22017024111,2527,1300,639,583,4,1,0,0,1001,53,1352,19,18,84
22017024201,2399,1597,308,494,0,0,0,0,432,26,1874,3,19,45
22017024204,3368,1023,1411,910,24,0,0,0,2217,93,817,13,25,203
22017024205,1632,474,792,351,13,2,0,0,1146,31,324,14,22,95
22017024206,1651,450,765,430,6,0,0,0,1202,37,313,11,14,74
22017024207,1319,383,629,294,13,0,0,0,969,21,242,5,11,71
22017024303,3183,1868,594,707,10,4,0,0,902,65,2099,8,25,84
22017024304,3418,1293,1372,743,9,1,0,0,2055,74,1094,17,26,152
22017024305,1681,889,422,362,8,0,0,0,663,31,921,12,13,41
22017024306,2985,2251,231,498,3,2,0,0,334,24,2554,17,8,48
22017024400,2920,1520,751,637,12,0,0,0,1140,68,1600,21,15,76
22017024503,2755,1257,791,694,12,1,0,0,1284,50,1297,8,21,95
22017024504,3610,713,1896,974,23,4,0,0,2922,111,324,16,47,190
22017024601,2508,1749,181,575,3,0,0,0,218,11,2235,1,7,36
22017024602,2616,2083,50,479,3,1,0,0,22,2,2583,2,5,2
22017024700,1344,609,380,350,5,0,0,0,646,18,601,21,17,41
22017024800,629,225,272,127,5,0,0,0,404,11,179,1,5,29
22017024900,1762,428,889,438,4,3,0,0,1412,28,192,14,14,102
22017025000,1899,841,519,533,5,1,0,0,968,30,789,5,12,95
22017025100,1205,367,497,332,8,1,0,0,856,15,285,4,9,36
22017025200,541,394,21,125,0,1,0,0,39,2,492,0,4,4
22017025300,753,414,96,236,5,2,0,0,244,13,462,4,7,23
22017025405,2992,708,1549,719,16,0,0,0,2299,50,436,14,28,165
22017025406,2842,735,1309,784,13,1,0,0,2077,74,440,19,51,181
22017980000,1,0,0,1,0,0,0,0,1,0,0,0,0,0
22003950100,3200,866,1483,838,12,1,0,0,2772,73,46,22,42,245
22003950201,1815,805,621,382,3,4,0,0,1268,37,361,10,25,114
22003950202,53,13,20,20,0,0,0,0,43,2,5,0,1,2
22003950300,1681,918,406,354,2,1,0,0,897,21,662,8,34,59
22003950400,2717,1259,874,574,9,1,0,0,1714,94,660,12,38,199
22003950501,2208,735,906,562,5,0,0,0,1565,80,322,15,50,176
22003950502,1581,679,482,414,3,3,0,0,865,68,386,15,127,120
22097960100,1425,751,407,264,3,0,0,0,797,17,510,6,9,86
22097960200,3227,1482,1113,622,8,2,0,0,1814,74,1047,6,34,252
22097960300,2806,1342,827,636,1,0,0,0,1470,40,942,3,25,326
22097960400,1674,589,631,449,4,1,0,0,1295,65,65,2,14,233
22097960500,3497,1305,1360,820,9,3,0,0,2532,61,340,17,31,516
22097960601,3494,2406,451,629,6,2,0,0,773,27,2558,3,9,124
22097960602,1320,631,342,346,1,0,0,0,649,20,500,11,11,129
22097960701,1593,852,401,337,3,0,0,0,693,24,766,7,8,95
22097960702,2051,1021,540,480,8,2,0,0,1029,66,801,5,10,140
22097960800,2689,1007,1077,596,7,2,0,0,1767,91,594,10,19,208
22097960901,1110,583,276,250,1,0,0,0,528,19,511,1,6,45
22097960902,1410,946,133,329,2,0,0,0,266,13,1090,6,4,31
22097961000,1072,411,344,311,5,1,0,0,779,44,170,2,6,71
22097961100,1836,716,605,511,2,2,0,0,1188,106,376,17,18,131
22097961200,3761,1856,1060,838,6,1,0,0,1670,89,1718,11,37,236
22097961301,1380,993,84,301,2,0,0,0,151,17,1191,0,1,20
22097961302,1859,1366,114,375,3,1,0,0,129,10,1687,11,4,18
