GEOID20,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
49049002213,1516,757,481,193,42,24,4,5,0,1053,276,2,35,32,118
49049002300,1174,480,446,167,48,16,4,6,0,858,170,3,19,21,103
49049002400,640,278,220,102,24,8,2,2,0,497,58,0,13,9,63
49049002500,1444,608,508,225,61,28,2,5,0,1112,151,1,33,14,133
49049002702,1906,955,620,201,75,40,1,8,0,1442,173,1,56,35,199
49049002703,1204,642,379,124,35,10,5,6,0,1005,99,0,17,10,73
49049002901,3258,1771,971,348,108,39,4,5,0,2542,403,1,52,35,225
49049002902,1214,610,400,130,40,16,4,6,0,963,132,1,10,20,88
49049003001,1960,1069,625,161,52,28,2,7,0,1642,107,0,34,24,153
49049003002,1076,646,311,69,26,11,1,4,0,925,61,0,25,14,51
49049003103,1426,901,374,87,39,15,1,3,0,1249,63,2,26,9,77
49049003104,2379,1583,561,140,68,13,3,3,0,2124,61,0,32,8,154
49049003105,1659,881,532,143,68,17,3,6,0,1422,94,3,13,6,121
49049003106,1000,524,344,73,38,13,0,1,0,855,73,1,7,11,53
49049003201,960,497,314,95,23,18,1,2,0,810,85,0,5,6,54
49049003203,2351,1542,599,123,44,22,1,7,0,2066,94,4,16,26,145
49049003204,1131,609,364,103,26,12,2,4,0,970,50,0,9,11,91
49049003205,1823,1052,563,126,49,19,1,3,0,1572,107,0,16,12,116
49049003301,1514,828,476,138,39,20,1,2,0,1181,195,1,8,22,107
49049003302,1211,692,373,86,28,17,0,5,0,1035,72,0,6,11,87
49049003401,1562,877,472,121,52,23,0,8,0,1338,117,0,14,12,81
49049003403,1973,1124,597,159,68,12,2,7,0,1619,182,2,18,10,142
49049003404,1154,761,278,73,28,5,1,2,0,1003,54,0,14,10,73
49049003405,1913,1079,588,144,64,20,3,5,0,1656,98,3,15,16,125
49049010107,2361,1487,653,117,58,20,1,2,0,2082,70,0,18,19,172
49049010110,1911,1237,494,87,51,28,1,3,0,1663,70,1,29,18,130
49049010114,2481,1356,707,244,98,46,3,4,0,2043,173,3,28,18,216
49049010115,1159,650,329,103,45,20,1,6,0,959,70,0,16,15,99
49049010116,2905,1849,696,176,109,46,2,7,0,2444,166,1,41,43,210
49049010117,1537,982,407,91,33,16,1,2,0,1301,74,0,22,26,114
49049010118,3085,1853,782,251,129,40,3,6,0,2628,144,2,40,42,229
49049010119,2002,1127,578,170,65,36,3,5,0,1700,112,2,28,23,137
49049010120,3867,2165,1127,318,153,60,6,5,0,3115,300,2,53,44,353
49049010121,3276,1972,881,237,113,42,1,4,0,2785,182,0,34,36,239
49049010122,2778,1607,795,186,117,44,0,5,0,2324,161,1,28,48,216
49049010123,2754,1580,827,197,98,33,2,4,0,2294,141,3,35,38,243
49049010124,1718,917,511,189,52,31,2,7,0,1362,125,5,29,25,172
49049010125,1337,753,392,115,45,18,0,6,0,1115,82,5,16,20,99
49049010126,1282,779,361,93,29,16,0,2,0,1067,78,3,24,16,94
49049010127,2488,1466,705,195,76,35,1,4,0,2088,153,1,43,22,181
49049010128,1393,676,458,156,55,37,2,4,0,1090,106,3,42,12,140
49049010129,2091,1242,586,155,67,28,1,3,0,1765,126,1,41,22,136
49049010130,1487,916,406,103,36,17,1,1,0,1283,72,2,17,21,92
49049010131,2049,1236,566,142,61,30,1,5,0,1691,125,1,36,14,182
49049010132,1721,976,499,135,55,36,2,6,0,1461,118,0,16,16,110
49049010208,2365,1681,504,82,55,30,3,2,0,2133,37,0,37,24,134
49049010209,3210,2296,651,150,78,20,0,9,0,2885,62,0,36,35,192
49049010210,3376,2349,734,174,72,33,1,5,0,2970,89,0,61,32,224
49049010211,2243,1536,496,115,67,19,1,5,0,1975,35,0,39,31,163
49049010212,3502,1950,985,331,144,64,6,10,0,2849,192,4,99,44,314
49049010213,1850,1323,398,53,49,14,1,5,0,1643,36,1,29,13,128
49049010216,1890,1378,385,60,43,17,0,5,0,1671,41,0,24,24,130
49049010217,3136,1868,823,287,99,38,1,6,0,2715,107,3,62,51,198
49049010219,3234,2309,655,126,98,29,3,5,0,2890,74,3,47,20,200
49049010220,3019,2013,706,172,81,29,0,3,0,2661,82,1,44,30,201
49049010221,699,365,224,59,32,12,1,2,0,582,53,0,11,6,47
49049010222,3165,2090,770,173,70,37,1,10,0,2706,128,6,57,31,237
49049010223,1260,864,279,76,23,9,0,3,0,1130,21,0,22,13,74
49049010224,1900,1342,406,74,50,18,2,3,0,1746,29,1,29,24,71
49049010225,2190,1524,481,102,54,21,0,2,0,1950,53,0,23,17,147
49049010226,2160,1371,582,118,47,23,1,6,0,1866,85,0,23,18,168
49049010303,2953,2024,685,136,70,26,2,0,0,2676,68,0,21,16,172
49049010305,2182,1539,493,61,53,15,1,8,0,1943,49,0,35,19,136
49049010306,695,340,222,87,22,14,1,4,0,537,105,0,8,1,44
49049010307,2369,1554,584,143,53,20,1,3,0,2047,108,1,41,25,147
49049010308,2162,1346,557,138,75,16,4,10,0,1807,114,0,35,24,182
49049010404,2274,1446,596,129,59,25,1,8,0,1911,136,1,35,14,177
49049010405,1709,1048,460,121,49,19,2,4,0,1485,93,0,11,24,96
49049010406,1600,1052,403,77,41,13,2,4,0,1430,50,0,25,10,85
49049010407,1400,922,344,76,36,7,1,6,0,1262,36,0,15,4,83
49049010408,2512,1672,626,98,78,20,3,8,0,2286,63,4,9,17,133
49049010409,1578,1044,393,72,37,15,2,2,0,1361,80,0,15,4,118
49049010410,2021,1317,503,124,49,16,1,4,0,1693,137,0,24,12,155
49049010411,3883,2740,840,137,104,37,1,8,0,3468,80,0,38,25,272
49049010503,1341,873,347,75,25,10,0,7,0,1199,42,0,14,6,80
49049010504,1647,1128,376,75,43,6,1,10,0,1450,65,3,19,19,91
49049010505,2153,1250,653,136,67,23,2,6,0,1812,183,2,11,11,134
49049010506,710,383,227,59,27,4,2,2,0,598,71,0,4,3,34
49049010600,2271,1494,583,90,62,20,1,6,0,2002,95,0,15,14,145
49049010700,3148,1909,838,234,105,37,1,10,0,2717,151,0,64,14,202
49049010900,399,233,106,37,12,4,2,2,0,357,3,0,14,4,21
49049980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49049980200,550,263,212,45,23,4,1,1,0,452,27,1,18,2,50
49049980300,923,367,319,160,52,10,1,5,0,587,228,1,18,10,79
49049980400,103,29,35,24,9,1,2,2,0,77,11,0,3,0,12
49049980500,428,184,150,58,27,7,1,0,0,300,69,0,10,4,45
49049980600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49051940501,1956,798,576,442,96,27,5,5,0,1603,71,1,18,25,238
49051960100,2176,962,739,344,77,28,2,14,0,1778,213,1,16,28,140
49051960201,2240,1218,642,245,86,25,3,12,0,1852,139,0,21,23,205
49051960202,3046,1682,822,380,102,31,4,8,0,2608,166,1,26,25,220
49051960203,2323,1512,531,177,51,30,2,14,0,2054,64,0,31,23,151
49051960204,1510,862,413,165,43,11,2,7,0,1284,107,1,12,10,96
49051960401,2065,1163,563,243,64,20,1,5,0,1812,50,0,19,16,168
49051960402,2498,1394,689,296,87,12,1,7,0,2204,49,1,22,24,198
49051960500,632,395,155,48,15,5,2,5,0,574,6,0,18,5,29
49051980100,12,5,3,4,0,0,0,0,0,10,1,0,0,0,1
49023010100,3762,2522,937,182,77,21,0,12,0,3366,73,2,61,43,217
49023010200,2399,1596,599,127,40,15,1,11,0,2179,38,0,30,20,132
49019000200,2358,779,909,550,75,24,5,8,0,1952,102,2,36,33,233
49019000301,1588,669,540,307,50,12,3,3,0,1408,38,1,9,9,123
49019000302,1308,493,499,245,51,10,3,4,0,1097,56,1,9,11,134
49055979100,1579,1100,312,121,28,6,2,1,0,1435,17,0,9,4,114
49015976200,1926,1266,528,84,38,6,0,1,0,1721,37,1,15,4,148
49015976300,1622,1101,405,72,33,4,0,5,0,1513,21,0,13,7,68
49015976500,1618,1090,419,68,25,6,2,6,0,1438,54,1,12,10,103
49007000100,1644,910,461,202,52,8,1,3,0,1387,99,0,20,7,131
49007000200,2268,1085,721,354,73,18,1,5,0,1831,173,1,19,29,215
49007000300,2047,900,688,340,67,26,1,7,0,1633,242,0,12,15,145
49007000500,2145,902,737,419,56,15,2,5,0,1732,165,2,16,23,207
49007000600,2409,1054,762,454,85,25,2,15,0,1981,236,0,17,32,143
49005000101,2457,1716,517,137,53,13,3,8,0,2225,60,0,20,6,146
49005000102,828,609,170,27,17,1,1,0,0,732,30,0,12,4,50
49005000201,2005,1253,541,130,47,18,1,5,0,1778,78,0,7,12,130
49005000202,4563,2967,1107,293,104,48,7,15,0,4012,193,5,42,26,285
49005000301,1221,822,302,61,17,8,0,4,0,1093,30,0,5,4,89
49005000302,2133,1265,548,231,65,13,1,4,0,1708,232,2,16,13,162
49005000401,2500,1365,676,312,77,38,3,11,0,2144,115,1,37,27,176
49005000402,2438,1575,558,234,41,15,0,3,0,2124,42,0,30,37,205
