GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
55111001003,1372,492,467,413,0,0,1122,34,1,4,15,196
55111001004,2283,909,764,610,0,0,1854,54,1,12,19,343
55111001005,1450,527,459,464,0,0,1178,43,0,7,17,205
55111001100,2734,1280,914,540,0,0,2236,30,0,18,12,438
55027960100,4318,2332,566,1420,0,0,3377,82,1,37,41,780
55027960200,2277,1410,383,484,0,0,1820,33,2,11,34,377
55027960300,3683,1508,644,1531,0,0,2948,85,2,20,22,606
55027960400,3189,1693,844,652,0,0,2551,80,0,34,23,501
55027960500,1895,821,420,654,0,0,1520,38,1,12,14,310
55027960600,2825,1398,747,680,0,0,2286,69,0,15,33,422
55027960700,3243,1226,982,1035,0,0,2603,107,0,41,40,452
55027960800,2499,982,760,757,0,0,1969,120,2,22,23,363
55027960900,2647,857,768,1022,0,0,2085,139,2,13,33,375
55027961000,2678,746,801,1131,0,0,2044,135,6,27,39,427
55027961100,2694,1290,634,770,0,0,2171,49,2,4,23,445
55027961200,2277,1040,537,700,0,0,1839,69,1,6,18,344
55027961300,3915,1930,666,1319,0,0,3023,83,2,21,78,708
55027961400,3063,1816,459,788,0,0,2463,43,3,11,34,509
55027961500,4110,2620,560,930,0,0,3309,50,2,16,56,677
55027961600,3237,1812,479,946,0,0,2612,64,4,19,46,492
55027961700,2416,1410,379,627,0,0,1915,39,2,9,27,424
55027961800,3226,1603,746,877,0,0,2556,53,3,14,33,567
55027961900,4090,2043,891,1156,0,0,3220,165,3,25,45,632
55027962000,1675,608,367,700,0,0,1316,65,3,8,18,265
55041950100,1119,495,352,272,0,0,899,12,0,7,39,162
55041950200,1847,691,613,543,0,0,1477,37,2,6,20,305
55041950300,1899,734,677,488,0,0,1523,29,4,9,26,308
55041950400,2131,843,684,604,0,0,1805,31,1,3,11,280
55059000101,1788,423,441,924,0,0,1371,95,23,16,34,249
55059000102,2965,850,1085,1030,0,0,2229,176,69,36,68,387
55059000300,4369,494,1260,2615,0,0,3204,350,71,34,80,630
55059000400,2708,832,1127,749,0,0,2087,208,16,12,54,331
55059000501,2081,714,836,531,0,0,1550,151,61,10,38,271
55059000502,2130,620,949,561,0,0,1590,157,22,20,64,277
55059000601,5585,1952,1549,2084,0,0,4246,245,112,59,114,809
55059000603,3643,1162,1140,1341,0,0,2717,235,59,35,80,517
55059000604,3066,1145,1030,891,0,0,2252,184,27,46,110,447
55059000700,2806,638,1726,442,0,0,1663,427,353,14,44,305
55059000800,1380,200,907,273,0,0,799,278,142,11,17,133
55059000900,2023,263,1540,220,0,0,1219,427,127,14,40,196
55059001000,1694,331,863,500,0,0,1237,110,78,22,38,209
55059001100,1403,77,1239,87,0,0,783,257,212,9,18,124
55059001200,2355,567,1150,638,0,0,1613,350,87,8,41,256
55059001300,2310,594,1235,481,0,0,1687,243,59,20,53,248
55059001401,2006,788,734,484,0,0,1542,115,8,11,48,282
55059001402,3220,1205,1172,843,0,0,2418,273,32,18,65,414
55059001500,2496,723,1036,737,0,0,1818,268,27,13,44,326
55059001600,1692,202,1395,95,0,0,964,282,263,12,21,150
55059001700,1729,457,734,538,0,0,1221,204,64,7,30,203
55059001800,1286,348,671,267,0,0,890,145,66,14,16,155
55059001900,1900,753,665,482,0,0,1525,91,10,10,29,235
55059002000,4986,2244,1312,1430,0,0,3911,268,30,49,106,622
55059002100,2950,809,1425,716,0,0,2171,326,65,22,42,324
55059002200,2598,994,895,709,0,0,2002,169,14,29,43,341
55059002300,4419,1616,1690,1113,0,0,3335,309,33,33,76,633
55059002400,3897,1731,1353,813,0,0,3085,246,7,21,55,483
55059002500,3101,1399,932,770,0,0,2375,167,17,14,86,442
55059002603,3432,1402,1035,995,0,0,2316,353,67,121,176,399
55059002604,2663,1198,786,679,0,0,1872,255,44,77,106,309
55059002605,4233,1713,1181,1339,0,0,3287,187,21,73,83,582
55059002606,4146,1998,1137,1011,0,0,3120,236,28,60,120,582
55059002700,5282,2518,1089,1675,0,0,4232,150,4,51,116,729
55059002801,2625,1341,732,552,0,0,2136,53,0,16,43,377
55059002802,2559,1365,652,542,0,0,2003,45,2,15,49,445
55059002903,2452,1173,633,646,0,0,1923,62,1,28,30,408
55059002904,4465,1920,1062,1483,0,0,3547,172,6,26,77,637
55059002905,3286,1431,834,1021,0,0,2711,100,2,14,33,426
55059002906,4201,2115,817,1269,0,0,3385,115,3,46,72,580
55059003001,3584,1602,841,1141,0,0,2898,104,4,18,49,511
55059003002,4141,1847,916,1378,0,0,3385,103,5,23,68,557
55059990000,0,0,0,0,0,0,0,0,0,0,0,0
55095960100,2729,1378,316,1035,0,0,2328,30,0,15,23,333
55095960200,2851,1457,331,1063,0,0,2476,25,0,8,30,312
55095960301,1466,897,145,424,0,0,1247,18,0,9,12,180
55095960302,1644,831,185,628,0,0,1417,14,0,8,23,182
55095960303,906,455,140,311,0,0,776,17,0,1,6,106
55095960500,2171,1160,331,680,0,0,1797,43,0,10,20,301
55095960600,1658,820,215,623,0,0,1412,18,1,8,17,202
55095960701,3012,1318,340,1354,0,0,2504,44,0,15,18,431
55095960702,1441,706,192,543,0,0,1188,19,2,7,10,215
55095960800,5119,2853,581,1685,0,0,4272,54,1,30,45,717
55095960901,2279,1436,290,553,0,0,1934,22,0,13,26,284
55095960902,1740,1069,236,435,0,0,1487,10,0,6,21,216
55095961000,3476,1673,580,1223,0,0,2882,58,4,18,33,481
55095961100,2684,1460,305,919,0,0,2285,28,2,14,9,346
55069960100,2088,1001,486,601,0,0,1683,25,2,17,11,350
55069960200,1652,619,370,663,0,0,1323,22,1,4,12,290
55069960300,1432,714,287,431,0,0,1163,6,0,7,20,236
55069960400,1395,747,252,396,0,0,1187,10,0,6,3,189
55069960500,1474,762,343,369,0,0,1219,24,0,12,10,209
55069960600,3191,1746,598,847,0,0,2599,14,1,21,36,520
55069960700,2920,1520,614,786,0,0,2434,34,0,17,29,406
55069960800,2540,982,504,1054,0,0,2066,38,4,13,21,398
55069960900,2030,777,357,896,0,0,1677,22,0,4,14,313
55069961000,2619,996,546,1077,0,0,2165,37,0,15,23,379
55015020100,3173,1898,449,826,0,0,2549,52,0,22,44,506
55015020200,2631,1601,368,662,0,0,2201,29,1,26,14,360
55015020303,2538,1170,581,787,0,0,1928,114,1,150,19,326
55015020304,2398,1000,569,829,0,0,1849,129,6,78,13,323
55015020306,5298,3325,927,1046,0,0,4322,90,6,48,61,771
55015020308,3219,1825,598,796,0,0,2506,83,1,84,43,502
55015020400,2637,1692,388,557,0,0,2220,17,3,11,16,370
55015020500,3346,1871,529,946,0,0,2708,66,2,10,28,532
55015020600,3542,1875,575,1092,0,0,2918,45,3,12,27,537
55015020700,3098,1864,659,575,0,0,2496,63,4,40,40,455
55015020800,4609,2396,1042,1171,0,0,3676,104,1,112,67,649
55009000100,1716,302,376,1038,0,0,1188,117,24,70,18,299
55009000200,4706,1419,964,2323,0,0,3629,159,24,92,64,738
55009000302,3436,1119,614,1703,0,0,2532,143,26,92,38,605
