GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
53063000400,2356,1612,553,191,0,0,1896,112,14,40,53,241
53063000500,2362,1080,760,522,0,0,1956,89,8,37,23,249
53063000600,2024,969,604,451,0,0,1672,98,17,25,24,188
53063000700,3466,1790,1090,586,0,0,2871,128,11,30,50,376
53063000800,4005,1780,1604,621,0,0,3304,168,5,71,61,396
53063000900,4298,1994,1472,832,0,0,3554,180,16,50,67,431
53063001000,4214,2121,1300,793,0,0,3576,144,9,45,67,373
53063001100,2782,1374,815,593,0,0,2303,125,21,40,38,255
53063001200,1558,837,466,255,0,0,1287,62,6,22,25,156
53063001300,2332,1351,600,381,0,0,1924,107,11,24,23,243
53063001400,3930,2644,951,335,0,0,3141,226,16,84,84,379
53063001500,3656,1972,1042,642,0,0,2911,203,15,55,90,382
53063001600,2022,1304,552,166,0,0,1533,91,16,65,129,188
53063001800,1719,1115,460,144,0,0,1362,88,24,15,67,163
53063001900,2493,1546,633,314,0,0,2062,108,11,43,40,229
53063002000,2645,1758,553,334,0,0,2116,146,30,38,42,273
53063002100,1605,971,425,209,0,0,1323,85,7,22,31,137
53063002300,3709,2664,812,233,0,0,3051,154,24,44,70,366
53063002400,1691,1267,231,193,0,0,1333,106,14,30,30,178
53063002501,1449,996,222,231,0,0,1160,82,29,25,30,123
53063002502,1209,746,219,244,0,0,939,79,17,29,34,111
53063002503,410,272,25,113,0,0,274,38,5,25,16,52
53063002600,3042,2034,769,239,0,0,2277,169,54,79,105,358
53063002900,2177,1117,575,485,0,0,1679,132,11,48,76,231
53063003000,1389,982,313,94,0,0,1001,77,52,51,71,137
53063003100,3342,2329,583,430,0,0,2640,127,43,75,100,357
53063003200,1764,1216,286,262,0,0,1387,83,11,28,45,210
53063003500,2077,1205,270,602,0,0,1682,90,22,20,31,232
53063003601,1415,781,285,349,0,0,1159,70,4,26,26,130
53063003602,1889,1387,246,256,0,0,1481,109,10,32,42,215
53063003800,1398,739,298,361,0,0,1141,53,10,28,21,145
53063003900,1732,879,596,257,0,0,1442,50,3,34,29,174
53063004001,1806,1110,272,424,0,0,1428,64,14,39,50,211
53063004002,1483,1074,204,205,0,0,1177,67,10,29,22,178
53063004100,1745,1090,401,254,0,0,1478,41,3,27,31,165
53063004200,3909,2565,824,520,0,0,3273,92,3,51,51,439
53063004300,2772,1540,858,374,0,0,2277,88,6,49,45,307
53063004400,3275,1852,868,555,0,0,2712,131,8,43,50,331
53063004500,2958,1749,788,421,0,0,2505,90,4,41,53,265
53063004601,2706,1578,644,484,0,0,2165,97,14,64,62,304
53063004602,2310,1042,738,530,0,0,1773,95,3,61,112,266
53063004701,2076,969,631,476,0,0,1596,119,15,55,75,216
53063004702,2581,1379,730,472,0,0,2016,90,11,76,111,277
53063004800,3547,1706,1064,777,0,0,2788,147,25,80,116,391
53063004900,4458,2194,1606,658,0,0,3698,156,18,90,73,423
