GEOID20,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
30057000200,1865,1092,428,345,0,0,1601,33,0,10,25,196
30057000300,1593,884,388,321,0,0,1414,17,0,5,21,136
30073977000,2249,1254,533,462,0,0,1928,32,0,17,13,259
30073977200,1250,532,493,225,0,0,868,15,0,4,92,271
30093000101,1005,51,1,953,0,0,832,44,3,5,14,107
30093000102,1293,71,1,1221,0,0,1055,50,1,8,14,165
30093000200,2617,122,5,2490,0,0,2138,84,2,17,45,331
30093000300,1716,94,3,1619,0,0,1454,48,0,6,30,178
30093000400,2225,131,1,2093,0,0,1844,65,0,12,29,275
30093000500,2894,211,8,2675,0,0,2371,56,2,16,85,364
30093000600,2656,198,3,2455,0,0,2179,70,0,19,54,334
30093000700,2420,220,3,2197,0,0,1959,63,0,19,61,318
30093000800,4194,385,23,3786,0,0,3514,54,1,21,75,529
30039961701,863,458,240,165,0,0,759,14,0,2,7,81
30039961702,1348,693,364,291,0,0,1125,19,0,3,20,181
30055954000,1309,814,311,184,0,0,1102,11,0,2,1,193
30037000100,599,319,180,100,0,0,502,10,0,5,3,79
30043962201,3452,2085,209,1158,0,0,2944,35,1,21,53,398
30043962202,2851,1477,600,774,0,0,2402,55,1,20,31,342
30043962300,2419,1418,496,505,0,0,2099,32,0,10,32,246
30015010200,1403,783,331,289,0,0,1207,22,0,5,4,165
30015010300,1876,951,509,416,0,0,1437,29,0,10,63,337
30099000100,1186,717,234,235,0,0,1000,18,0,4,8,156
30099000200,1164,684,219,261,0,0,1028,13,0,8,3,112
30099000300,1510,779,423,308,0,0,1263,16,1,1,11,218
30061964500,1594,801,501,292,0,0,1351,31,1,13,17,181
30061964600,1441,725,491,225,0,0,1250,23,0,7,10,151
30023000300,1479,253,901,325,0,0,1214,29,0,8,27,201
30023000400,2183,507,1057,619,0,0,1776,43,2,16,59,287
30023000500,1701,450,815,436,0,0,1438,29,0,6,36,192
30019020300,1012,584,241,187,0,0,804,15,0,10,12,171
30031000101,4627,2107,1237,1283,0,0,3928,83,0,34,61,521
30031000104,2678,696,1389,593,0,0,2176,71,0,16,21,394
30031000105,2746,865,1216,665,0,0,2281,78,3,24,31,329
30031000201,3484,1241,1464,779,0,0,2939,86,2,27,32,398
30031000202,3731,1471,1454,806,0,0,3122,74,2,33,46,454
30031000300,2269,884,965,420,0,0,1860,52,1,16,33,307
30031000400,3768,1781,1225,762,0,0,3158,71,1,40,35,463
30031000502,6154,2511,1372,2271,0,0,5166,101,6,62,77,742
30031000504,2051,1021,231,799,0,0,1700,27,0,22,22,280
30031000505,5534,1289,2589,1656,0,0,4487,136,2,66,92,751
30031000506,4286,1270,1841,1175,0,0,3456,120,3,64,55,588
30031000507,2526,593,1204,729,0,0,2060,63,3,36,31,333
30031000600,1784,275,1010,499,0,0,1421,67,0,19,25,252
30031000701,2463,432,1167,864,0,0,2006,65,7,37,37,311
30031000703,1355,260,711,384,0,0,1103,44,3,14,19,172
30031000704,2881,715,1326,840,0,0,2346,85,0,19,51,380
30031000800,1799,524,516,759,0,0,1488,37,1,23,24,226
30031000900,3136,185,2022,929,0,0,2503,114,2,42,50,425
30031001001,2733,1176,249,1308,0,0,2311,49,1,26,41,305
30031001002,4756,1255,1643,1858,0,0,3942,109,0,48,59,598
30031001101,874,33,539,302,0,0,661,28,0,12,17,156
30031001102,2595,559,1004,1032,0,0,2113,76,0,33,29,344
30031001200,4168,1677,1424,1067,0,0,3496,86,10,24,55,497
30031001500,1087,425,462,200,0,0,883,55,2,8,14,125
30031001600,1615,420,811,384,0,0,1337,49,5,16,26,182
30031001700,3383,1610,590,1183,0,0,2823,58,2,26,55,419
30033000100,804,488,228,88,0,0,669,3,0,1,1,130
30059000100,1202,683,314,205,0,0,1011,8,0,7,9,167
30029000101,670,313,226,131,0,0,557,23,1,3,8,78
30029000102,1525,619,644,262,0,0,1263,26,2,4,21,209
30029000201,3180,1676,924,580,0,0,2649,46,0,12,39,434
30029000202,2094,1153,527,414,0,0,1794,32,0,16,24,228
30029000203,3104,1423,1060,621,0,0,2639,60,1,16,26,362
30029000301,2286,850,801,635,0,0,1900,51,1,17,24,293
30029000302,1448,696,312,440,0,0,1202,14,1,14,12,205
30029000402,2498,1095,646,757,0,0,2078,59,1,15,19,326
30029000403,1813,930,413,470,0,0,1550,30,1,19,22,191
30029000404,2433,1146,621,666,0,0,2039,37,0,23,30,304
30029000601,3722,2379,388,955,0,0,3087,64,0,33,47,491
30029000602,2960,1782,552,626,0,0,2505,53,2,21,24,355
30029000700,3522,1707,1200,615,0,0,2895,92,2,27,46,460
30029000801,3018,1637,655,726,0,0,2582,59,0,13,36,328
30029000802,3934,2182,761,991,0,0,3342,87,2,29,30,444
30029000901,1146,426,497,223,0,0,949,30,0,3,7,157
30029000902,1418,765,291,362,0,0,1188,32,0,11,24,163
30029000903,2036,940,678,418,0,0,1693,37,1,21,18,266
30029001000,1217,357,627,233,0,0,1031,33,0,6,7,140
30029001101,1505,493,699,313,0,0,1261,48,2,8,12,174
30029001102,1970,718,738,514,0,0,1654,54,0,20,20,222
30029001201,1723,774,584,365,0,0,1433,47,0,13,19,211
30029001202,2743,1330,865,548,0,0,2259,71,1,14,39,359
30029001303,1467,786,364,317,0,0,1263,27,0,7,10,160
30029001304,1669,909,363,397,0,0,1413,28,0,7,19,202
30029001305,1164,721,176,267,0,0,1023,34,0,5,6,96
30029001306,2888,1760,478,650,0,0,2469,42,0,9,32,336
30029001401,2008,1181,455,372,0,0,1676,26,0,9,38,259
30029001402,2395,1216,613,566,0,0,2040,36,1,7,27,284
30029001701,3278,1943,693,642,0,0,2804,44,1,15,33,381
30029001702,1335,776,336,223,0,0,1105,36,0,15,11,168
30029001703,1511,861,374,276,0,0,1255,32,0,3,17,204
30013000100,1283,477,539,267,0,0,1062,50,1,11,18,141
30013000200,2117,795,832,490,0,0,1788,46,3,13,21,246
30013000300,1654,537,753,364,0,0,1343,53,4,16,28,210
30013000400,800,207,413,180,0,0,663,29,0,7,12,89
30013000700,771,143,479,149,0,0,618,34,1,8,15,95
30013000800,760,182,431,147,0,0,616,23,3,8,4,106
30013000900,1516,405,746,365,0,0,1253,53,0,15,15,180
30013001000,2013,803,583,627,0,0,1661,64,2,14,18,254
30013001100,2256,852,812,592,0,0,1853,72,5,12,37,277
30013001201,191,17,119,55,0,0,147,20,1,4,5,14
30013001202,215,14,115,86,0,0,138,25,4,1,6,41
30013001600,2015,591,1039,385,0,0,1702,67,0,10,23,213
30013001700,1218,518,446,254,0,0,1021,29,0,4,13,151
30013001800,2158,958,762,438,0,0,1822,31,9,14,34,248
30013001900,3995,1749,1224,1022,0,0,3321,123,4,27,45,475
30013002100,2927,1073,1079,775,0,0,2418,62,8,27,43,369
30013002201,1868,866,619,383,0,0,1584,40,0,13,28,203
30013002202,1676,595,756,325,0,0,1393,38,6,13,26,200
30013002301,3411,1936,370,1105,0,0,2849,70,1,32,27,432
30013002302,1718,1068,156,494,0,0,1471,31,0,11,20,185
30013010100,2064,922,752,390,0,0,1728,63,3,12,22,236
30013010400,1218,628,368,222,0,0,1033,22,0,8,11,144
30013010600,2335,1180,767,388,0,0,1898,42,4,12,39,340
30013010700,2473,1049,1004,420,0,0,2100,21,0,11,21,320
30013010800,1216,270,657,289,0,0,984,42,0,12,18,160
30017961300,1439,764,386,289,0,0,1201,12,2,19,16,189
30017961500,870,373,345,152,0,0,741,24,1,5,8,91
30017961600,1395,655,409,331,0,0,1158,23,1,6,18,189
30017961800,1009,510,256,243,0,0,859,13,0,8,13,116
30017961900,1281,734,245,302,0,0,1049,16,0,15,17,184
30017962000,1100,415,465,220,0,0,934,23,1,12,10,120
30047000100,1180,527,372,281,0,0,1020,17,2,11,9,121
30047000200,1175,482,367,326,0,0,989,28,0,5,18,135
30047940304,1514,462,660,392,0,0,1261,47,0,5,15,186
30047940305,2310,853,818,639,0,0,1893,67,2,11,23,314
30047940306,1848,699,645,504,0,0,1494,53,0,13,24,264
30047940307,2170,802,792,576,0,0,1825,56,8,26,14,241
30047940400,1783,580,790,413,0,0,1428,51,3,11,30,260
30047940500,3068,1003,1304,761,0,0,2398,135,4,18,56,457
30047940600,2479,757,1131,591,0,0,2074,41,2,11,48,303
30047940700,1310,334,611,365,0,0,1070,40,1,4,23,172
30075000100,877,494,234,149,0,0,744,7,15,3,6,102
30095966400,2681,1595,569,517,0,0,2256,35,2,18,28,342
30095966500,1445,808,303,334,0,0,1188,32,1,11,8,205
30095966600,2114,1332,382,400,0,0,1810,28,2,11,15,248
30065000100,1981,1229,453,299,0,0,1622,49,2,19,24,265
30065000200,1131,565,360,206,0,0,947,20,0,4,16,144
30077000100,1105,662,265,178,0,0,1007,8,0,1,4,85
30077000200,2494,1307,706,481,0,0,2206,34,0,11,21,222
30005000100,1015,213,495,307,0,0,796,27,0,10,41,141
30005000200,1516,491,684,341,0,0,1191,27,0,7,23,268
30005940100,434,37,282,115,0,0,292,20,7,7,14,94
30005940200,667,86,409,172,0,0,513,15,0,6,36,97
30081000100,3185,1703,617,865,0,0,2729,60,0,14,26,356
30081000201,2674,1393,711,570,0,0,2240,64,4,14,20,332
30081000203,1754,1050,305,399,0,0,1497,35,0,11,11,200
30081000204,4084,2339,840,905,0,0,3499,85,4,25,18,453
30081000300,2194,1242,529,423,0,0,1878,50,0,13,30,223
30081000401,1771,1004,337,430,0,0,1524,51,0,8,22,166
30081000402,4278,2585,835,858,0,0,3688,83,0,24,43,440
30081000501,1024,596,205,223,0,0,876,13,0,6,14,115
30081000502,3276,1467,931,878,0,0,2783,77,4,27,26,359
30081000601,1499,873,213,413,0,0,1273,34,0,4,15,173
30081000602,3098,1538,857,703,0,0,2627,80,1,24,28,338
30081000700,1493,852,387,254,0,0,1279,24,0,7,11,172
30081000800,903,483,259,161,0,0,757,15,8,2,9,112
30101000100,640,322,203,115,0,0,525,15,0,3,5,92
30101000200,1812,979,522,311,0,0,1543,33,0,12,19,205
30101980000,0,0,0,0,0,0,0,0,0,0,0,0
30067000100,1358,605,439,314,0,0,1129,36,0,8,30,155
30067000200,3785,1545,1277,963,0,0,3232,62,2,26,44,419
30067000300,2158,556,1149,453,0,0,1827,41,1,13,26,250
30067000400,4069,1241,1790,1038,0,0,3388,107,0,26,37,511
30067000500,1261,402,511,348,0,0,1045,28,0,11,9,168
30067980600,1,0,0,1,0,0,0,1,0,0,0,0
30069000100,328,178,106,44,0,0,275,3,0,1,3,46
30001000100,898,478,238,182,0,0,765,14,0,3,11,105
30001000200,2687,1473,560,654,0,0,2283,64,3,17,15,305
30001000300,2627,1040,866,721,0,0,2208,56,2,11,19,331
30083070100,977,521,287,169,0,0,791,29,4,3,4,146
30083070200,653,363,162,128,0,0,530,14,0,3,7,99
30083070301,2008,1103,507,398,0,0,1676,63,0,13,15,241
30083070302,919,478,273,168,0,0,788,18,1,5,10,97
30083070400,1826,1120,414,292,0,0,1452,64,1,13,21,275
