GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
08005083000,2501,968,863,630,19,4,6,0,1464,299,163,205,103,267
08005083100,4526,1928,1792,733,40,7,13,0,2258,737,576,358,172,425
08005083201,3841,1652,1193,934,45,3,9,0,2415,394,232,249,178,373
08005083202,1946,854,597,459,27,1,5,0,1238,271,102,89,55,191
08005083300,3235,1385,1175,603,42,10,8,0,1950,420,289,138,131,307
08005083400,4461,1996,1470,919,46,12,5,0,2792,566,283,181,179,460
08005083500,3113,1315,1168,574,25,6,11,0,1659,448,394,168,126,318
08005083600,2273,1033,786,386,40,6,6,0,1477,269,103,105,73,246
08005083700,2958,1233,942,737,31,2,5,0,1922,195,101,171,182,387
08005083800,1963,839,731,368,16,3,3,0,1151,200,225,96,78,213
08005083900,2076,900,727,411,19,7,5,0,1348,195,103,101,124,205
08005084000,1610,707,549,325,14,4,2,0,1051,263,41,49,45,161
08005084100,2933,1276,963,635,26,4,10,0,1866,366,209,93,119,280
08005084200,2334,1057,774,449,30,4,6,0,1422,447,113,66,67,219
08005084300,2308,1056,726,472,29,7,6,0,1510,312,112,68,54,252
08005084400,1967,882,669,375,28,3,2,0,1193,367,129,54,41,183
08005084500,1573,689,542,303,21,4,7,0,951,234,119,41,47,181
08005084600,3442,1524,1122,718,47,7,13,0,2246,475,126,88,124,383
08005084700,3211,1429,1050,682,25,12,5,0,2119,392,149,92,109,350
08005084800,2305,1016,706,552,21,2,3,0,1583,228,78,84,105,227
08005084900,2489,1047,702,704,26,0,4,0,1682,141,77,176,129,284
08005085000,1670,738,467,442,13,3,4,0,891,159,90,219,118,193
08005085100,4578,2091,1233,1217,20,5,3,0,2637,291,112,651,339,548
08005085200,2303,968,540,754,24,6,4,0,1654,121,11,157,102,258
08005085300,1848,741,582,508,14,1,1,0,1173,108,66,186,93,222
08005085400,3580,1437,1089,1001,38,5,3,0,2437,325,161,160,135,362
08005085500,3872,1685,1066,1070,40,6,2,0,2762,305,78,213,130,384
08005085600,2318,998,620,669,19,3,3,0,1562,162,47,155,123,269
08005085700,2865,1321,942,532,39,11,7,0,1770,501,115,102,96,281
08005085800,1211,522,396,271,11,4,3,0,848,142,56,28,37,100
08005085900,5530,2423,1782,1247,47,6,12,0,3165,679,292,456,258,680
08005086001,2491,1123,725,598,27,5,2,0,1606,307,102,136,121,219
08005086002,2261,1023,669,530,22,6,6,0,1407,247,129,137,96,245
08005086100,3269,1466,879,865,36,10,9,0,2174,386,87,159,135,328
08005086200,4219,1928,1150,1089,34,6,2,0,2786,428,119,279,188,419
08005086300,2554,1120,721,655,42,5,5,0,1699,259,64,134,95,303
08005086400,1737,667,325,720,18,3,1,0,1367,59,15,78,42,176
08005086500,4167,1814,1126,1159,45,6,11,0,2800,359,104,257,192,455
08005086600,4857,1925,1150,1723,45,4,3,0,3632,261,60,188,130,586
08005086700,4499,1948,1088,1416,42,3,0,0,3110,348,130,226,153,532
08005086801,2148,910,951,234,27,8,10,0,985,236,378,78,200,271
08005086802,1568,579,778,176,20,3,4,0,619,135,321,87,206,200
08005086900,1584,627,748,159,18,8,8,0,738,213,256,50,170,157
08005087000,2284,920,1051,267,20,10,9,0,1028,287,420,104,187,258
08005087100,1435,562,630,213,11,10,5,0,742,189,222,51,80,151
08005087200,2579,1045,1122,353,43,5,8,0,1528,222,212,90,187,340
08005087301,1926,874,832,173,24,5,10,0,962,332,281,36,122,193
08005087302,1441,587,565,268,10,4,4,0,866,159,89,38,83,206
08005980000,61,17,13,31,0,0,0,0,52,2,0,0,0,7
08039961100,1481,506,134,810,15,2,4,0,1236,77,0,5,11,152
08039961204,6208,2363,761,2980,75,9,4,0,5022,373,13,68,80,652
08039961205,1535,583,152,772,19,0,3,0,1255,89,0,14,18,159
08039961206,2838,1100,325,1370,31,3,2,0,2387,141,2,26,27,255
08039961207,3904,1525,396,1928,40,5,1,0,3224,193,2,27,45,413
08039961208,2900,1096,305,1456,27,1,1,0,2417,127,2,20,38,296
08039961209,1984,676,162,1120,16,3,1,0,1696,81,1,19,18,169
08121924100,1343,315,80,929,9,0,1,0,1162,31,0,9,16,125
08121924200,1853,483,157,1180,15,2,5,0,1545,103,0,7,8,190
08049000100,2047,794,271,950,18,5,2,0,1619,174,0,11,24,219
08049000203,1700,800,445,429,21,3,0,0,1405,54,0,18,19,204
08049000204,1020,500,301,201,16,2,0,0,806,43,0,9,14,148
