GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
19113000205,3769,1442,1162,1138,26,1,0,0,3102,44,3,58,45,517
19113000208,3171,1068,996,1075,28,4,0,0,2576,56,16,62,59,402
19113000209,3400,1173,1110,1089,24,4,0,0,2713,85,4,122,66,410
19113000210,2681,1045,769,849,17,1,0,0,2272,46,3,20,28,312
19113000211,3898,1203,1368,1293,29,5,0,0,3086,62,11,203,82,454
19113000212,1965,485,819,637,21,3,0,0,1453,59,51,77,50,275
19113000213,1213,322,464,400,20,7,0,0,947,48,24,30,18,146
19113000300,3855,1085,1432,1298,32,8,0,0,3125,77,57,66,70,460
19113000400,3930,1135,1455,1298,36,6,0,0,3262,73,4,50,57,484
19113000500,4129,1141,1450,1481,46,11,0,0,3449,77,25,37,55,486
19113000600,2221,597,884,715,19,6,0,0,1845,54,14,31,23,254
19113000700,1416,334,611,451,11,9,0,0,1174,35,23,16,24,144
19113000800,3223,647,1412,1113,38,13,0,0,2503,172,67,35,51,395
19113000901,3928,1083,1604,1196,32,13,0,0,3170,138,57,48,85,430
19113000902,5183,1861,1862,1418,37,5,0,0,4273,72,12,102,106,618
19113001001,3298,877,1330,1049,38,4,0,0,2683,70,35,49,43,418
19113001002,2223,466,960,771,19,7,0,0,1793,75,27,24,38,266
19113001004,2138,422,963,726,18,9,0,0,1658,58,104,24,36,258
19113001005,1164,259,545,347,9,4,0,0,859,35,71,33,18,148
19113001101,2908,736,1244,897,25,6,0,0,2442,47,21,18,28,352
19113001102,2390,569,996,794,26,5,0,0,1916,68,36,24,43,303
19113001200,1104,188,487,397,23,9,0,0,906,27,28,7,16,120
19113001300,2184,404,995,757,19,9,0,0,1751,60,56,23,20,274
19113001400,2216,452,987,742,29,6,0,0,1823,63,18,16,28,268
19113001500,2140,616,974,533,14,3,0,0,1755,22,43,26,31,263
19113001600,4385,1094,2115,1125,40,11,0,0,3656,95,25,46,62,501
19113001700,3877,708,2124,980,51,14,0,0,2832,111,438,29,57,410
19113001800,1964,373,969,594,20,8,0,0,1538,61,98,19,35,213
19113001900,1010,172,483,336,15,4,0,0,714,65,84,10,25,112
19113002200,1301,211,609,461,15,5,0,0,1013,51,43,13,29,152
19113002300,2623,507,1238,838,32,8,0,0,2150,70,32,24,26,321
19113002400,2615,535,1157,900,18,5,0,0,2114,67,37,37,40,320
19113002500,1847,328,873,608,29,9,0,0,1531,60,34,10,23,189
19113002600,1460,246,684,508,17,5,0,0,1137,36,45,13,26,203
19113002700,1181,162,667,330,12,10,0,0,776,29,210,15,18,133
19113002800,2901,682,1334,839,38,8,0,0,2326,77,61,15,65,357
19113002900,3068,617,1388,1021,31,11,0,0,2358,74,120,38,62,416
19113003003,2822,751,1003,1029,29,10,0,0,2291,81,17,32,51,350
19113003004,1901,377,755,739,24,6,0,0,1495,62,45,20,53,226
19113003005,3789,874,1558,1317,28,12,0,0,3005,122,57,107,55,443
19113003006,3542,921,1332,1253,29,7,0,0,2898,99,25,38,50,432
19113010100,2005,629,601,759,15,1,0,0,1765,11,1,9,27,192
19113010200,3308,1010,963,1310,19,6,0,0,2817,15,2,12,35,427
19113010300,2700,970,744,970,12,4,0,0,2327,33,0,17,27,296
19113010400,2128,745,549,814,19,1,0,0,1827,20,1,14,20,246
19113010500,2741,921,851,941,25,3,0,0,2309,45,4,14,33,336
19113010600,5091,1622,1689,1738,36,6,0,0,4253,93,3,64,70,608
19113010700,4860,1439,1688,1691,35,7,0,0,4025,94,8,22,81,630
19113010801,957,293,331,333,0,0,0,0,801,18,0,8,6,124
19113010802,4476,906,2050,1482,31,7,0,0,3710,119,13,55,72,507
19107080100,1466,660,319,480,6,1,0,0,1245,19,1,2,12,187
19107080200,1587,572,461,545,9,0,0,0,1428,15,1,2,3,138
