GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40017300702,2026,1356,412,242,16,0,0,1727,83,7,16,17,176
40017300802,2212,1406,488,309,9,0,0,1933,73,4,14,21,167
40017300803,2496,1740,413,326,17,0,0,2174,81,18,27,25,171
40017300804,2209,1241,561,394,13,0,0,1811,133,31,35,28,171
40017300805,3850,2449,749,603,49,0,0,3267,148,36,42,29,328
40017300806,2488,1453,591,425,19,0,0,1980,174,65,61,24,184
40017300901,3324,1948,803,550,23,0,0,2735,195,33,58,38,265
40017300902,2404,1318,606,456,24,0,0,1990,151,22,38,29,174
40017300904,2143,1148,522,447,26,0,0,1715,195,13,35,26,159
40017300905,3372,2082,711,551,28,0,0,2806,136,35,108,30,257
40017301001,540,314,107,113,6,0,0,421,51,3,16,7,42
40017301003,4374,2448,1019,844,63,0,0,3611,267,26,96,45,329
40017301006,1682,947,425,290,20,0,0,1320,93,8,123,17,121
40017301010,1629,939,362,308,20,0,0,1284,142,14,50,21,118
40017301011,2163,1246,475,419,23,0,0,1764,146,9,33,25,186
40017301012,1508,918,325,248,17,0,0,1110,81,14,157,26,120
40017301013,3724,2089,835,754,46,0,0,2879,216,41,256,40,292
40017301014,2662,1458,654,529,21,0,0,2061,182,26,171,28,194
40017301015,267,131,64,69,3,0,0,208,13,2,16,7,21
40017301100,3823,2388,837,569,29,0,0,3301,148,10,67,36,261
40017301201,2044,1103,529,382,30,0,0,1754,88,12,20,20,150
40017301202,1541,925,362,240,14,0,0,1372,65,3,13,12,76
40017301301,1674,1107,320,225,22,0,0,1407,99,12,22,16,118
40017301302,3351,2261,596,473,21,0,0,2853,127,20,57,33,261
40017301406,2918,1797,607,484,30,0,0,2490,173,6,22,20,207
40017301407,3696,2421,706,544,25,0,0,3232,149,11,28,16,260
40017301408,1249,884,222,134,9,0,0,1127,34,0,2,7,79
40017301409,1400,782,342,252,24,0,0,1182,85,5,8,14,106
40017301410,3113,1980,598,496,39,0,0,2640,144,21,37,25,246
40049681100,1824,1049,525,239,11,0,0,1591,35,9,12,22,155
40049681200,1965,1119,611,230,5,0,0,1739,105,10,12,8,91
40049681300,1476,692,560,212,12,0,0,1223,99,53,8,12,81
40049681400,2340,1231,767,321,21,0,0,2005,161,33,24,8,109
40049681500,1386,634,543,199,10,0,0,1137,50,91,8,6,94
40049681600,1052,637,285,124,6,0,0,961,16,1,5,3,66
40049681700,940,680,180,78,2,0,0,844,18,5,5,9,59
40049681800,1721,1075,418,223,5,0,0,1561,58,1,11,6,84
40049681900,1857,1054,580,211,12,0,0,1675,38,17,8,7,112
40107080600,1017,507,392,111,7,0,0,886,13,38,1,3,76
40107080700,1167,610,449,106,2,0,0,986,23,75,9,3,71
40107080900,2270,958,973,325,14,0,0,1980,44,29,13,21,183
40107081000,789,363,318,105,3,0,0,688,12,21,5,7,56
40019892100,1599,776,586,232,5,0,0,1274,43,193,7,7,75
40019892200,793,501,212,77,3,0,0,725,30,4,2,1,31
40019892301,729,413,187,128,1,0,0,652,19,4,4,2,48
40019892302,603,295,176,128,4,0,0,540,25,4,1,2,31
40019892400,1803,987,580,226,10,0,0,1666,33,9,3,4,88
40019892501,2833,1571,802,448,12,0,0,2477,91,33,28,17,187
40019892502,3030,1819,754,438,19,0,0,2729,78,24,29,16,154
40019892601,1585,656,608,314,7,0,0,1285,103,65,12,12,108
40019892602,2222,1124,718,370,10,0,0,1839,97,106,37,27,116
40019892700,2732,1480,797,430,25,0,0,2445,94,13,20,14,146
40019892801,1031,294,486,246,5,0,0,637,83,249,3,6,53
