GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
09009361401,1688,430,1158,76,2,6,1,0,906,145,143,185,65,244
09009361402,608,231,337,35,0,2,0,0,313,45,36,106,22,86
09009361500,2879,1050,1620,185,1,1,0,0,956,578,1038,50,75,182
09009990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09001010101,3070,1175,786,1048,5,0,0,0,2236,122,5,130,122,455
09001010102,3040,1149,775,1057,4,1,0,0,2055,127,4,172,153,529
09001010201,2362,907,587,829,0,0,0,0,1682,119,3,113,64,381
09001010202,4047,1598,1165,1196,4,5,0,0,2796,305,6,259,149,532
09001010300,3030,1143,847,973,5,1,0,0,2251,127,17,150,102,383
09001010400,3630,1481,1087,990,4,0,0,0,2515,348,3,122,125,517
09001010500,3357,1445,1106,738,7,0,0,0,1875,687,104,119,107,465
09001010600,1339,571,428,305,3,0,0,0,895,125,10,66,39,204
09001010700,2457,925,834,649,2,0,0,0,1634,293,26,108,91,305
09001010800,2090,812,638,594,5,2,0,0,1568,127,3,102,63,227
09001010900,3385,1304,1000,1021,4,3,0,0,2310,238,19,259,108,451
09001011000,3561,1309,1246,945,3,1,0,0,2655,151,6,170,109,470
09001011100,3229,1245,934,1003,2,1,0,0,2381,176,9,162,83,418
09001011200,1248,497,307,416,1,0,0,0,906,58,3,55,29,197
09001011300,1590,653,577,331,4,1,0,0,995,309,5,50,53,178
09001020101,1160,473,497,156,5,0,0,0,628,168,94,45,78,147
09001020102,2747,1049,1189,445,7,1,0,0,1398,391,339,108,129,382
09001020200,2814,967,1066,717,2,3,0,0,1936,174,8,113,133,450
09001020301,2898,1053,1083,706,1,5,0,0,1950,179,14,143,133,479
09001020302,2488,864,990,593,6,4,0,0,1654,134,21,122,119,438
09001020400,2743,986,977,711,4,0,0,0,1832,210,20,120,126,435
09001020500,3450,1224,1264,894,3,0,0,0,2349,233,41,159,166,502
09001020600,3398,1290,1303,741,0,4,0,0,2097,393,74,223,178,433
09001020700,3125,1111,1060,869,5,1,0,0,2296,179,15,110,99,426
09001020800,2110,807,779,472,3,1,0,0,1351,149,27,130,99,354
09001020900,3082,1183,1273,551,5,3,0,0,1859,503,119,94,136,371
09001021000,2224,843,846,468,3,3,0,0,1370,276,76,85,97,320
09001021100,3532,1356,1524,582,4,1,0,0,1994,651,135,150,168,434
09001021200,3014,1023,1242,679,4,1,0,0,1800,265,83,171,159,536
09001021300,2650,1066,1141,394,2,1,0,0,1296,522,309,125,117,281
09001021401,991,409,489,79,2,1,0,0,259,393,209,24,34,72
09001021402,1786,688,827,241,1,0,0,0,700,368,448,40,53,177
09001021501,1365,504,770,81,1,1,0,0,296,348,558,28,65,70
09001021502,1033,419,565,35,1,1,0,0,201,269,465,21,41,36
09001021601,1604,653,697,211,3,1,0,0,854,248,135,76,89,202
