GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
47157007300,1178,514,302,362,0,0,702,21,348,11,20,76
47157007400,1642,945,243,454,0,0,1195,47,226,13,31,130
47157007500,1044,492,7,545,0,0,67,4,963,2,4,4
47157007810,1302,719,14,569,0,0,51,5,1235,2,2,7
47157007821,2891,1344,36,1511,0,0,96,25,2747,8,2,13
47157007822,849,420,14,415,0,0,54,12,772,2,2,7
47157007900,3153,1703,44,1406,0,0,145,29,2942,6,3,28
47157008000,2620,1420,169,1031,0,0,655,50,1858,15,9,33
47157008110,996,591,10,395,0,0,71,6,910,1,2,6
47157008120,2905,1488,36,1381,0,0,117,26,2742,8,2,10
47157008200,1651,1076,30,545,0,0,143,56,1418,10,4,20
47157008500,3550,959,1782,809,0,0,2989,39,84,79,60,299
47157008600,4037,1416,1552,1069,0,0,3243,86,288,75,68,277
47157008700,2100,1053,512,535,0,0,1447,134,272,72,64,111
47157008800,1755,1048,342,365,0,0,997,321,306,26,12,93
47157008900,1182,790,168,224,0,0,469,182,479,16,6,30
47157009100,675,397,143,135,0,0,395,124,75,20,21,40
47157009201,2568,890,952,726,0,0,2032,40,157,71,40,228
47157009202,2473,988,802,683,0,0,1861,76,129,104,44,259
47157009300,2839,1227,762,850,0,0,2127,76,368,28,31,209
47157009400,2098,848,623,627,0,0,1720,48,148,15,27,140
47157009501,1950,846,551,553,0,0,1606,36,168,15,15,110
47157009502,2643,914,1047,682,0,0,2227,37,150,23,22,184
47157009600,4021,1333,1636,1052,0,0,3077,68,115,96,88,577
47157009700,1410,780,189,441,0,0,454,79,806,15,9,47
47157009800,1188,625,329,234,0,0,801,91,147,32,45,72
47157009901,1081,745,93,243,0,0,315,38,684,5,7,32
47157009902,1063,689,49,325,0,0,160,12,868,1,3,19
47157010001,2228,1275,36,917,0,0,109,20,2081,5,3,10
47157010002,1958,1170,64,724,0,0,188,19,1727,6,5,13
47157010120,2437,1541,97,799,0,0,249,24,2125,8,5,26
47157010121,1633,1080,58,495,0,0,139,13,1456,3,4,18
47157010122,1451,946,38,467,0,0,129,9,1295,7,1,10
47157010210,2898,1711,123,1064,0,0,229,27,2604,5,11,22
47157010220,3771,2022,141,1608,0,0,311,27,3362,17,5,49
