GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
39073965400,2651,1172,635,842,2,0,0,0,2386,26,1,8,7,223
39073965500,2029,889,538,602,0,0,0,0,1816,18,0,11,17,167
39143960800,2440,883,540,1016,1,0,0,0,1899,179,4,18,8,332
39143960900,2318,791,383,1137,4,3,0,0,1895,110,0,20,14,279
39143961000,2763,1050,693,1014,4,2,0,0,2226,147,1,19,24,346
39143961100,2572,1039,620,908,2,3,0,0,2044,162,2,4,35,325
39143961200,2731,873,555,1298,4,1,0,0,2274,79,0,7,19,352
39143961300,3176,1067,780,1321,3,5,0,0,2597,203,20,18,21,317
39143961400,1680,731,474,469,5,1,0,0,1257,166,69,10,4,174
39143961500,2319,1146,617,552,2,2,0,0,1731,303,42,7,13,223
39143961600,1841,779,565,493,0,4,0,0,1372,206,55,11,13,184
39143961700,2205,945,638,617,4,1,0,0,1595,303,79,15,12,201
39143961800,2613,1083,749,775,4,2,0,0,2053,214,80,20,17,229
39143961900,2170,815,452,902,1,0,0,0,1801,136,0,6,16,211
39143962000,3891,1622,837,1428,4,0,0,0,3277,190,1,30,26,367
39143962100,3351,1307,704,1340,0,0,0,0,2883,88,1,24,20,335
39143962200,2741,1230,656,855,0,0,0,0,2327,108,0,13,9,284
39137030100,2965,1144,455,1363,1,2,0,0,2204,452,2,13,15,279
39137030200,3613,1158,536,1916,2,1,0,0,3036,51,0,10,20,496
39137030301,2324,758,405,1159,2,0,0,0,1889,119,0,19,8,289
39137030302,3093,827,496,1763,5,2,0,0,2533,106,0,14,35,405
39137030400,2313,679,273,1357,1,3,0,0,1917,55,0,12,14,315
39137030500,2487,811,332,1343,0,1,0,0,2119,52,0,13,22,281
39137030600,2776,726,325,1722,1,2,0,0,2254,30,0,5,40,447
39137030700,3443,1140,486,1812,2,3,0,0,2727,45,3,6,21,641
39085200100,1380,492,529,354,3,2,0,0,1015,30,92,21,51,171
39085200200,1626,682,521,420,2,0,0,0,1248,25,9,19,62,263
39085200300,2103,791,721,585,5,1,0,0,1521,53,9,25,106,389
39085200400,2251,876,797,573,3,2,0,0,1693,51,20,29,107,351
39085200500,2149,830,729,582,5,2,0,0,1641,47,16,22,108,315
39085200600,2333,928,731,664,5,5,0,0,1777,55,14,20,93,374
39085200700,2423,1041,744,635,2,1,0,0,1844,61,33,22,99,364
39085200800,2539,940,909,685,1,4,0,0,1850,55,101,38,92,403
39085200900,1265,564,423,277,1,0,0,0,890,28,27,12,48,260
39085201000,3570,1076,1469,1018,6,1,0,0,2016,80,640,68,246,520
39085201101,907,420,407,80,0,0,0,0,595,27,123,14,25,123
39085201102,2427,681,726,1015,5,0,0,0,1848,36,3,18,132,390
39085201200,2457,937,851,659,6,4,0,0,1797,64,34,60,124,378
39085201300,2739,860,940,927,8,4,0,0,2131,39,27,55,102,385
39085201400,2858,944,951,953,7,3,0,0,2259,68,12,33,76,410
39085201500,1779,693,525,556,4,1,0,0,1322,32,4,22,75,324
39085201600,2935,991,911,1029,3,1,0,0,2166,68,29,49,121,502
39085201700,3670,1616,1209,830,8,7,0,0,2775,94,74,54,171,502
39085201800,2462,905,765,788,3,1,0,0,1874,54,1,32,108,393
39085201900,2014,706,657,648,3,0,0,0,1520,33,18,10,84,349
39085202000,3740,1447,1161,1118,8,6,0,0,2819,101,9,52,184,575
39085202100,1385,670,418,290,7,0,0,0,1090,33,15,9,38,200
39085202400,2089,806,622,658,1,1,0,0,1653,54,2,11,74,295
39085202500,2683,1142,789,747,1,4,0,0,2121,62,17,23,73,387
39085202600,2375,1016,690,664,4,1,0,0,1981,34,3,10,59,288
39085202700,4933,1598,1475,1853,3,3,0,0,3780,87,7,65,243,751
39085202800,4305,1512,1382,1403,5,3,0,0,3295,89,9,58,171,683
39085202901,3462,1264,987,1209,2,0,0,0,2618,77,6,43,165,553
39085202902,1141,380,376,385,0,0,0,0,889,24,4,7,58,159
39085203000,4674,1628,1433,1608,4,1,0,0,3524,98,11,52,258,731
39085203200,2367,926,739,694,5,3,0,0,1862,46,18,35,82,324
39085203400,3078,1088,904,1077,1,7,0,0,2408,61,15,32,109,453
39085203500,5161,1574,1544,2032,3,8,0,0,3937,107,13,94,225,785
39085203700,2462,777,612,1065,0,8,0,0,1891,55,5,33,142,336
39085204000,2073,846,661,555,4,7,0,0,1674,51,16,14,36,282
39085204200,1787,911,621,247,4,3,0,0,1036,365,213,12,27,134
39085204303,1449,695,399,352,1,2,0,0,1087,56,31,30,46,199
39085204304,3304,1555,1168,574,1,6,0,0,2311,321,227,39,78,328
39085204400,2129,1009,591,524,3,2,0,0,1605,203,37,21,61,202
39085204500,1627,868,528,229,1,1,0,0,1045,282,130,3,18,149
39085204700,3107,1160,908,1036,3,0,0,0,2453,87,22,38,83,424
39085204800,3613,1484,972,1153,3,1,0,0,2872,94,12,22,90,523
39085204900,4059,1504,1125,1425,2,2,0,0,3280,128,10,20,135,486
39085205001,4348,1385,1217,1740,5,1,0,0,3334,60,16,55,195,688
39085205002,4342,1553,1069,1709,6,5,0,0,3424,103,4,46,163,602
39085205100,5529,1763,1226,2528,7,5,0,0,4235,81,17,77,252,867
39085205200,2364,770,503,1085,5,1,0,0,1888,31,0,13,90,342
39085205300,1796,652,463,679,0,2,0,0,1509,27,4,15,32,209
39085205400,1113,368,309,433,1,2,0,0,910,17,7,9,18,152
39085205701,3081,1215,847,1015,1,3,0,0,2547,69,1,20,70,374
39085205702,1606,699,456,444,0,5,0,0,1356,27,1,10,40,172
39085205800,869,283,239,340,3,4,0,0,742,15,0,12,28,72
39085206100,2221,814,623,783,1,0,0,0,1805,40,4,8,46,318
39085206200,1028,417,293,316,0,2,0,0,809,32,16,3,15,153
39085206300,3126,1269,742,1107,2,5,0,0,2500,89,5,20,80,432
39085206400,3725,1096,965,1656,0,8,0,0,2738,71,4,39,237,636
39085206500,2739,890,819,1029,1,0,0,0,2096,48,5,53,97,440
39085206600,3038,1192,996,841,7,2,0,0,2383,65,15,27,129,419
39085206700,3716,1546,1036,1114,13,7,0,0,3083,76,7,21,88,441
39085990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39001770100,2989,1273,428,1287,0,1,0,0,2754,21,0,20,18,176
39001770200,2775,1107,350,1316,2,0,0,0,2543,15,0,17,6,194
39001770301,2084,807,296,980,0,1,0,0,1885,10,2,5,21,161
39001770302,1895,747,286,860,1,0,0,0,1743,22,1,10,6,113
39001770400,2691,1071,507,1112,1,0,0,0,2471,23,3,12,14,168
39001770500,1862,743,363,755,0,1,0,0,1714,11,1,9,11,116
39001770600,1878,835,389,654,0,0,0,0,1735,17,1,8,13,104
39151700100,792,328,384,79,0,1,0,0,492,16,199,1,9,75
39151700200,2938,1259,1337,339,2,1,0,0,1912,95,669,8,41,213
39151700300,1313,509,686,115,3,0,0,0,722,37,439,6,15,94
39151700400,2765,1092,1229,439,4,1,0,0,1938,83,470,18,28,228
39151700500,1511,560,857,94,0,0,0,0,695,53,665,9,20,69
39151700600,1800,718,743,335,2,2,0,0,1278,41,251,12,37,181
39151700701,1768,634,690,440,4,0,0,0,1429,45,46,11,32,205
39151700702,2083,782,752,548,0,1,0,0,1694,51,84,12,37,205
39151700800,2140,995,854,290,0,1,0,0,1582,63,257,10,26,202
39151701000,1671,875,600,195,1,0,0,0,1258,48,179,6,27,153
39151701100,1870,796,690,378,3,3,0,0,1506,48,75,6,36,199
39151701200,2011,847,751,407,3,2,0,0,1617,44,122,13,25,190
39151701300,1816,942,640,230,2,2,0,0,1383,50,188,8,26,161
39151701500,1302,690,486,124,0,2,0,0,928,33,205,4,13,119
39151701700,1381,693,569,119,0,0,0,0,886,45,319,8,19,104
39151701800,1277,400,844,33,0,0,0,0,444,41,705,6,6,75
39151702100,1926,391,1468,67,0,0,0,0,458,43,1313,6,25,81
39151702300,1616,432,1120,63,1,0,0,0,466,36,1009,13,17,75
39151702500,1484,824,451,201,2,6,0,0,1189,37,81,5,19,153
39151710200,2068,1052,622,388,2,4,0,0,1557,51,236,10,18,196
39151710300,2013,1077,493,440,0,3,0,0,1709,33,39,12,21,199
39151710400,538,310,170,55,2,1,0,0,384,8,81,4,9,52
39151710500,2088,1060,740,286,0,1,0,0,1492,63,343,14,17,159
39151710600,3096,1185,912,989,2,8,0,0,2599,79,10,18,35,355
39151710700,1762,594,515,650,2,1,0,0,1426,31,7,14,16,268
39151710800,3270,1273,810,1182,1,4,0,0,2754,43,107,12,50,304
39151710900,3040,993,591,1449,5,2,0,0,2601,46,7,13,52,321
39151711001,2754,1034,584,1132,1,2,0,0,2397,32,1,16,46,262
39151711002,2773,1095,496,1176,4,2,0,0,2383,53,1,9,56,271
39151711111,3376,1234,876,1262,1,3,0,0,2838,69,3,15,82,369
39151711112,3526,1373,857,1291,1,4,0,0,2954,55,4,25,76,412
39151711121,4484,1653,1109,1712,7,3,0,0,3708,101,8,39,93,535
39151711122,4035,1394,1051,1583,1,6,0,0,3284,80,9,64,88,510
39151711202,2925,1102,657,1161,3,2,0,0,2547,24,1,15,28,310
39151711211,4646,1616,1316,1709,2,3,0,0,3918,56,7,26,75,564
39151711212,1759,575,499,684,1,0,0,0,1483,17,2,16,41,200
39151711312,5182,1696,1297,2184,3,2,0,0,4223,70,19,123,139,608
39151711321,2939,901,848,1189,0,1,0,0,2399,65,16,39,63,357
39151711322,2268,865,689,712,1,1,0,0,1831,52,46,32,67,240
39151711323,3220,1209,751,1257,2,1,0,0,2627,58,1,87,73,374
39151711324,3386,1118,899,1363,5,1,0,0,2765,62,6,62,102,389
39151711402,4790,1666,1209,1906,3,5,0,0,3858,100,27,115,168,522
39151711411,3132,983,857,1286,3,3,0,0,2588,62,3,56,58,365
39151711412,3168,1199,920,1043,4,2,0,0,2680,52,15,19,44,358
39151711501,2790,763,902,1121,2,2,0,0,2281,46,25,37,57,344
39151711502,2570,683,951,933,1,2,0,0,2123,51,52,16,52,276
39151711600,3846,1394,1369,1074,2,7,0,0,3236,75,52,16,65,402
39151711700,3583,1399,1283,889,7,5,0,0,2959,80,95,12,62,375
39151711800,3455,1197,1124,1130,3,1,0,0,2782,88,58,24,66,437
39151711900,3434,1230,1044,1150,2,8,0,0,2879,88,14,29,67,357
39151712000,3140,997,919,1213,4,7,0,0,2652,60,10,33,64,321
39151712102,6130,2013,1929,2180,2,6,0,0,5051,125,47,43,142,722
39151712112,1454,372,428,653,0,1,0,0,1204,12,6,21,42,169
39151712113,1138,387,320,428,1,2,0,0,927,16,5,8,16,166
39151712114,3508,1107,1040,1355,4,2,0,0,2872,67,16,37,72,444
39151712201,4214,1209,1428,1574,1,2,0,0,3403,106,55,34,92,524
39151712202,4324,1180,1640,1502,0,2,0,0,3439,103,58,43,98,583
39151712300,4038,1475,1355,1197,3,8,0,0,3236,77,125,34,80,486
39151712400,3938,1281,1313,1335,5,4,0,0,3086,67,337,25,45,378
39151712500,1284,491,329,464,0,0,0,0,1088,12,1,6,14,163
39151712601,1592,722,373,495,2,0,0,0,1371,25,1,11,22,162
39151712602,3347,1168,928,1247,3,1,0,0,2902,60,0,6,49,330
39151712700,3533,1158,824,1539,10,2,0,0,3032,38,2,5,64,392
39151712800,3095,981,681,1423,5,5,0,0,2639,45,0,12,46,353
39151712900,2598,1033,595,967,2,1,0,0,2248,20,2,11,39,278
39151713000,2486,893,540,1048,3,2,0,0,2163,28,28,6,48,213
39151713100,3510,1322,1133,1044,7,4,0,0,2807,56,238,14,44,351
39151713201,4702,1790,1472,1435,4,1,0,0,3948,57,123,18,57,499
39151713202,1379,515,383,479,1,1,0,0,1184,14,11,3,13,154
39151713300,2850,1111,892,841,4,2,0,0,2437,56,61,6,21,269
