FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23023970100,2473,760,718,821,173,0,1,0,2212,20,3,9,18,211
23023970200,4993,1439,1911,1482,160,0,1,0,4470,72,4,20,40,387
23023970301,4029,1495,1314,1099,118,0,3,0,3585,77,10,19,31,307
23023970302,3670,1399,1242,918,111,0,0,0,3216,68,3,40,39,304
23023970400,3880,1434,1061,1217,168,0,0,0,3457,46,4,20,28,325
23023970500,4274,1970,1232,895,175,0,2,0,3774,87,6,26,45,336
23023970600,2652,1124,826,578,122,0,2,0,2335,43,13,18,21,222
23023970700,3475,1204,1068,1054,149,0,0,0,3132,39,4,16,40,244
23023990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23013970200,4446,2443,1036,840,124,2,1,0,3833,71,10,36,56,440
23013970301,2290,837,650,700,102,0,1,0,2062,26,1,12,14,175
23013970302,2975,849,896,1089,139,0,2,0,2668,46,2,12,22,225
23013970401,2743,688,927,986,142,0,0,0,2480,23,1,17,13,209
23013970402,2137,820,593,619,105,0,0,0,1914,41,1,7,8,166
23013970500,2863,1349,757,689,68,0,0,0,2510,41,1,18,32,261
23013970600,1865,801,565,433,65,1,0,0,1638,39,5,13,15,155
23013970700,3252,1373,986,793,100,0,0,0,2839,56,4,29,15,309
23013970800,2573,912,808,770,79,0,4,0,2289,27,0,8,17,232
23013970900,2115,914,626,521,54,0,0,0,1838,32,1,9,19,216
23013971000,2139,582,679,760,117,1,0,0,1954,23,3,6,17,136
23013971100,1508,702,502,249,54,1,0,0,1383,29,0,3,11,82
23013990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23003950100,1892,628,557,601,106,0,0,0,1755,20,2,9,8,98
23003950200,1606,801,462,271,72,0,0,0,1507,26,1,4,7,61
23003950300,2924,1553,702,542,127,0,0,0,2750,34,0,19,21,100
23003950400,1407,672,359,291,85,0,0,0,1332,8,0,3,2,62
23003950600,3010,1353,885,714,58,0,0,0,2806,39,15,13,20,117
23003950700,2151,981,629,448,93,0,0,0,2038,25,0,1,10,77
23003950900,1348,358,533,427,30,0,0,0,1262,10,0,1,2,73
23003951000,2353,554,751,960,87,1,0,0,2155,35,1,6,17,139
23003951100,2041,478,615,828,120,0,0,0,1938,16,0,3,9,75
23003951200,1651,484,534,561,72,0,0,0,1507,28,5,5,13,93
23003951300,2223,618,708,803,94,0,0,0,2047,21,3,5,13,134
23003951400,1542,439,551,482,69,0,1,0,1392,16,1,20,16,97
23003951600,1742,522,738,399,83,0,0,0,1337,97,129,14,7,158
23003951700,3188,931,971,1152,134,0,0,0,2937,47,4,4,33,163
23003951800,2457,714,870,762,111,0,0,0,2224,44,3,17,18,151
23003951900,2116,574,626,827,89,0,0,0,1922,22,1,19,9,143
23003952000,1827,499,664,550,113,0,1,0,1644,48,2,4,17,112
