FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35035000602,903,200,492,202,6,1,0,1,0,720,91,6,11,5,70
35035000603,1488,327,844,276,19,5,0,7,0,1076,292,0,9,9,102
35035000604,335,72,147,105,9,0,0,2,0,219,54,15,7,5,35
35035000701,2473,633,1286,498,22,7,3,10,0,1516,754,0,8,36,159
35035000702,968,269,501,175,12,2,1,5,0,594,287,1,7,16,63
35035000901,2735,541,1625,498,34,2,0,12,0,2224,227,0,10,25,249
35035000903,1672,739,230,652,18,6,0,22,0,198,1427,0,5,6,36
35035000904,2203,718,733,684,24,5,0,24,0,864,1230,1,6,10,92
35035940000,1158,589,149,394,4,6,1,11,0,401,360,2,4,141,250
35007950500,2571,1328,782,424,13,4,1,11,0,1142,1256,1,11,22,139
35007950600,1797,885,582,305,14,1,0,4,0,992,688,1,9,21,86
35007950700,3324,1332,1274,657,27,13,5,8,0,2071,953,5,18,21,256
35031940301,603,440,29,123,1,3,0,3,0,85,58,0,8,197,255
35031940302,942,637,86,209,3,3,0,1,0,167,65,2,10,260,438
35031940500,3095,2121,244,666,12,20,1,18,0,467,255,11,45,974,1343
35031943500,3075,2065,361,597,13,12,3,18,0,1690,199,11,62,465,648
35031943601,1446,939,149,336,5,1,2,11,0,884,74,9,32,152,295
35031943602,622,391,70,152,0,0,1,6,0,390,33,0,11,57,131
35031943701,2677,1802,334,496,11,6,4,20,0,1540,105,15,20,338,659
35031943702,186,132,25,28,0,0,0,0,0,121,9,3,0,17,36
35031943801,232,121,19,88,1,0,2,1,0,122,7,0,3,49,51
35031943802,1371,853,195,305,5,3,0,10,0,784,41,6,9,236,295
35031943803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35031943903,419,268,54,90,1,0,1,2,0,231,70,0,11,27,80
35031943904,274,155,63,50,1,2,1,2,0,160,52,1,7,13,41
35031943905,67,33,9,24,0,0,0,1,0,43,0,0,4,7,13
35031943906,1026,622,157,226,4,3,1,6,0,553,121,13,14,86,239
35031943907,140,82,22,32,2,0,1,1,0,58,16,1,11,20,34
35031944000,151,82,17,49,0,0,0,3,0,83,13,0,4,15,36
35031945201,1382,739,225,392,8,4,0,9,0,610,439,3,43,74,213
35031945202,1757,965,315,439,11,5,0,17,0,912,394,7,31,116,297
35031945300,1648,976,238,396,8,3,2,17,0,638,703,15,24,69,199
35031945400,7775,4732,1195,1708,27,18,5,63,0,4467,919,32,164,581,1612
35031945501,1627,856,395,348,8,5,1,8,0,907,315,12,44,116,233
35031945502,1002,556,283,151,4,1,0,4,0,539,269,1,28,60,105
35031945503,1221,676,273,257,6,1,1,6,0,670,274,2,35,85,155
35031945601,1278,697,321,244,6,2,1,3,0,734,256,8,22,87,171
35031945602,1601,936,255,372,11,6,0,16,0,828,329,9,34,122,279
35031945701,204,123,41,36,2,1,0,1,0,132,14,1,4,10,43
35031945702,278,182,37,51,2,0,0,4,0,194,15,1,3,15,50
35031946001,999,591,164,231,1,2,0,9,0,580,102,4,27,52,234
35031946002,2536,1555,380,538,18,8,0,29,0,1405,285,11,42,205,588
35031946003,340,196,70,69,2,0,0,2,0,180,46,1,2,34,77
