FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
45019002008,3551,1978,1057,516,0,0,2316,94,791,20,33,297
45019002009,3236,2065,852,319,0,0,1677,76,1226,13,38,206
45019002103,4269,2140,1776,353,0,0,2592,152,1141,15,37,332
45019002104,1797,601,1055,141,0,0,1498,15,16,21,29,218
45019002105,2063,778,1116,169,0,0,1674,37,32,10,36,274
45019002106,2652,1122,1212,318,0,0,1965,57,299,23,34,274
45019002107,7540,3749,2731,1060,0,0,5099,295,1348,47,88,663
45019002108,1924,787,974,163,0,0,1377,67,332,7,13,128
45019002200,3011,1750,1054,207,0,0,1621,51,1105,9,19,206
45019002300,1704,849,756,99,0,0,1062,14,519,1,14,94
45019002401,1165,704,391,70,0,0,528,12,575,1,6,43
45019002402,1909,1401,410,98,0,0,587,31,1215,3,9,64
45019002503,1978,1147,726,105,0,0,915,46,918,3,10,86
45019002504,3792,2034,1477,281,0,0,2081,91,1385,6,21,208
45019002604,2476,1177,1009,290,0,0,1704,70,423,16,41,222
45019002605,2854,1795,776,283,0,0,1482,81,1076,19,23,173
45019002606,1658,677,869,112,0,0,1315,21,100,22,17,183
45019002611,2144,1002,760,382,0,0,1524,58,334,24,28,176
45019002612,4218,2644,1034,540,0,0,2176,137,1454,44,83,324
45019002613,3487,1748,1216,523,0,0,2267,120,708,27,48,317
45019002614,2261,1294,675,292,0,0,1324,71,673,23,22,148
45019002701,1715,1245,239,231,0,0,654,43,911,12,15,80
45019002702,3364,2782,321,261,0,0,978,64,2132,12,21,157
45019002801,3378,1554,1397,427,0,0,2478,69,441,38,39,313
45019002802,2190,786,1204,200,0,0,1835,41,67,22,18,207
45019002900,2299,1498,500,301,0,0,1393,44,664,14,19,165
45019003000,2945,1340,1337,268,0,0,2447,41,74,18,41,324
45019003104,1806,1440,235,131,0,0,553,163,975,14,20,81
45019003105,1341,1161,140,40,0,0,355,110,816,6,8,46
45019003106,5245,3378,1286,581,0,0,2329,232,2358,45,48,233
45019003107,3581,2651,575,355,0,0,1152,167,2053,25,35,149
45019003108,2139,1774,213,152,0,0,437,94,1520,27,14,47
45019003109,2030,1365,454,211,0,0,791,94,1024,7,14,100
45019003110,3504,2542,662,300,0,0,1192,177,1971,22,21,121
45019003111,2746,2288,270,188,0,0,574,88,1982,19,14,69
45019003113,2105,1497,395,213,0,0,744,126,1104,20,22,89
45019003115,3405,2037,916,452,0,0,1697,126,1321,24,46,191
45019003116,2173,1537,331,305,0,0,744,120,1083,49,32,145
45019003117,2491,1423,793,275,0,0,1227,120,931,44,16,153
45019003200,244,141,40,63,0,0,131,25,55,3,3,27
45019003300,2016,1845,131,40,0,0,335,37,1592,2,5,45
45019003400,2067,1740,257,70,0,0,712,83,1174,12,6,80
45019003500,2517,1386,857,274,0,0,1880,76,288,17,28,228
45019003600,1903,1237,432,234,0,0,1230,79,417,14,20,143
45019003700,1949,1689,150,110,0,0,432,30,1396,11,17,63
45019003800,2352,2096,175,81,0,0,436,37,1809,5,6,59
