FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25005610204,3985,2498,933,481,20,3,5,40,0,2901,216,109,124,144,491
25005611101,3639,2364,735,486,13,3,3,33,0,2910,190,21,50,62,406
25005611102,2677,1734,554,353,10,5,0,16,0,2221,114,21,38,50,233
25005611201,2172,1469,386,283,6,0,2,23,0,1768,106,9,24,43,222
25005611202,4533,3045,881,531,16,4,2,50,0,3739,185,14,59,84,452
25005612100,3586,2341,722,456,23,3,4,34,0,2790,267,29,67,64,369
25005612201,3024,2001,612,361,14,5,2,27,0,2324,251,34,34,51,330
25005612202,4597,2970,953,615,19,1,2,34,0,3515,366,59,64,85,508
25005613100,4169,2669,1030,402,25,4,4,29,0,3019,542,37,43,34,494
25005613300,5086,3247,1232,529,29,0,2,41,0,3664,730,46,28,65,553
25005613400,2435,1539,604,259,11,2,1,16,0,1618,447,23,16,15,316
25005613600,1862,1100,586,142,14,1,2,13,0,1148,350,55,8,17,284
25005613700,2478,1404,817,209,16,3,4,22,0,1405,599,69,23,44,338
25005613800,2665,1491,912,209,21,2,2,24,0,1511,578,116,22,39,399
25005613901,1556,923,478,123,10,1,1,17,0,874,323,72,9,27,251
25005613902,3258,1983,925,301,17,4,1,24,0,1948,711,89,31,30,449
25005614000,2146,1277,672,157,9,2,1,21,0,1191,507,109,24,24,291
25005614101,4105,2388,1251,406,24,2,3,27,0,2467,796,150,65,72,555
25005614102,4601,2980,1081,462,29,2,3,38,0,3144,703,71,35,75,573
25005615100,5629,3674,1059,796,29,6,5,49,0,3911,849,8,31,45,785
25005616100,4920,3214,894,725,27,3,6,46,0,3528,679,12,36,61,604
25005617101,3412,2245,688,425,19,1,3,24,0,2326,558,0,18,39,471
25005617102,3036,2068,519,386,25,3,1,30,0,2139,480,6,16,27,368
