FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
12086000908,1924,702,556,648,2,0,0,0,0,33,1672,203,3,6,7
12086001003,3985,2996,258,696,1,2,0,0,0,49,894,2997,4,20,21
12086001004,3932,3014,194,704,3,1,0,0,0,79,714,3096,2,26,15
12086001005,1358,1065,78,207,1,0,0,0,0,21,249,1068,4,8,8
12086001006,2775,1977,182,586,0,1,0,1,0,107,717,1883,10,29,29
12086001007,2325,1830,112,372,0,0,1,0,0,21,394,1894,4,6,6
12086001008,1859,1408,100,346,2,0,0,0,0,35,444,1357,3,9,11
12086001101,3010,1953,276,744,1,3,1,1,0,298,906,1671,31,33,71
12086001102,3128,1991,278,820,7,3,0,1,0,385,927,1677,28,38,73
12086001103,2514,1658,207,619,6,3,0,0,0,246,840,1333,12,43,40
12086001104,3148,1768,475,868,7,0,0,1,0,1087,1213,539,45,85,179
12086001204,3494,1595,657,1170,4,7,2,2,0,888,1675,449,51,121,310
12086001205,2189,1085,385,681,5,2,0,1,0,815,928,196,57,60,133
12086001206,3415,1579,728,1046,5,1,1,0,0,1421,1244,250,61,78,361
12086001207,989,467,172,337,1,0,0,1,0,292,466,151,10,14,56
12086001208,1287,762,96,402,1,3,0,0,0,126,430,644,20,19,48
12086001209,1868,1221,154,461,2,1,0,1,0,128,577,1083,14,29,37
12086001301,2702,1450,361,847,10,1,1,0,0,533,1173,807,24,53,112
12086001302,3714,2168,363,1124,11,2,0,3,0,1095,1514,710,52,84,259
12086001401,2564,1925,127,493,0,2,0,0,0,51,443,2034,3,25,8
12086001402,2244,1523,178,523,0,2,0,0,0,115,555,1515,10,13,36
12086001501,1873,1502,54,309,0,1,1,1,0,14,195,1642,1,14,7
12086001502,2568,2006,110,440,2,1,0,0,0,22,423,2104,3,11,5
12086001603,1559,370,697,465,1,0,0,1,0,40,1500,4,4,3,8
12086001605,1561,468,586,487,0,1,0,0,0,19,1499,24,3,10,6
12086001606,1768,559,593,598,0,1,0,0,0,22,1710,19,1,6,10
12086001607,1325,322,519,469,3,0,0,0,0,41,1254,11,0,7,12
12086001608,1773,442,757,546,6,0,0,0,0,36,1715,10,2,6,4
12086001701,2431,1684,226,503,1,0,1,0,0,30,887,1493,1,11,9
12086001702,2057,1483,158,401,1,1,0,0,0,32,646,1358,1,12,8
12086001704,1151,456,327,359,0,0,0,0,0,22,1071,46,2,4,6
12086001705,811,309,202,288,2,0,0,0,0,13,772,23,2,0,1
12086001801,2333,1823,118,381,2,0,0,1,0,24,406,1889,3,9,2
12086001802,2394,1827,125,434,1,0,0,0,0,22,589,1762,2,14,5
12086001803,2296,1642,197,444,0,2,0,0,0,27,738,1497,1,18,15
12086001901,2656,2043,145,448,1,1,1,0,0,44,492,2087,2,17,14
12086001903,1798,1406,74,303,1,3,0,0,0,21,268,1491,3,11,4
12086001904,2832,2212,123,471,1,3,1,1,0,48,444,2305,3,23,9
12086002001,1915,1483,106,313,1,0,0,0,0,58,253,1575,3,12,14
12086002003,1837,1347,110,358,0,1,0,0,0,59,414,1339,2,9,14
12086002004,1301,855,116,318,1,1,0,0,0,62,365,846,5,5,18
12086002100,1890,915,322,631,6,1,0,0,0,611,811,208,44,77,139
12086002201,1943,1147,171,591,3,3,0,1,0,372,671,719,36,30,115
12086002202,3189,2269,182,712,4,4,0,3,0,207,959,1921,5,42,55
12086002300,3393,2608,158,603,4,4,0,0,0,41,770,2540,5,21,16
12086002402,2108,978,410,696,1,1,0,1,0,46,1831,204,6,7,14
12086002403,1708,721,404,562,0,1,0,0,0,26,1562,108,2,2,8
12086002404,2426,1118,572,717,2,0,0,1,0,52,2061,292,2,6,13
12086002501,2429,1286,353,766,2,1,0,1,0,40,1823,547,2,7,10
12086002502,1559,948,187,405,2,0,0,0,0,32,935,572,3,10,7
12086002600,3135,1553,474,1067,5,1,0,2,0,525,1896,455,33,62,164
12086002702,2009,981,243,742,6,2,0,0,0,399,1088,303,37,60,122
12086002705,2062,911,361,743,9,0,0,1,0,592,1042,145,46,69,168
12086002707,1344,548,221,540,3,0,0,0,0,396,615,86,42,63,142
12086002708,1485,691,180,593,1,2,1,0,0,369,836,117,25,40,98
12086002709,2630,1118,399,1057,6,0,0,0,0,762,1158,200,103,137,270
12086002710,1204,481,289,405,7,0,0,0,0,456,494,53,31,44,126
12086002800,780,438,77,249,1,0,1,0,0,146,268,311,11,15,29
12086002900,2230,1122,372,714,1,1,0,1,0,71,1823,313,2,5,16
12086003001,1664,851,265,512,9,1,0,0,0,215,893,427,28,32,69
12086003004,1840,751,449,619,6,2,0,0,0,99,1481,204,12,26,18
12086003005,656,229,216,206,0,0,0,0,0,17,608,11,4,7,9
12086003006,1699,664,400,612,4,2,0,0,0,68,1448,126,11,15,31
12086003100,3015,2248,143,600,2,0,0,1,0,129,495,2322,5,32,32
12086003400,1807,1149,169,470,3,0,1,1,0,104,531,1129,2,24,17
12086003603,774,316,184,267,1,0,0,1,0,48,640,61,5,7,13
12086003604,710,291,158,249,3,1,1,1,0,36,620,35,3,8,8
12086003605,1551,633,378,516,2,1,0,0,0,138,1297,74,6,11,25
12086003606,1081,479,239,347,0,0,0,0,0,57,816,179,3,10,16
12086003607,1254,700,176,365,2,0,0,0,0,49,693,479,7,10,16
12086003703,1013,355,235,404,1,0,0,0,0,324,435,62,38,58,96
12086003704,945,421,152,353,5,1,0,0,0,201,539,99,17,25,64
12086003705,1100,419,224,441,4,0,0,0,0,248,585,73,52,43,99
12086003706,30,18,3,9,0,0,0,0,0,4,10,12,3,1,0
12086003707,1019,417,156,427,3,0,0,0,0,288,479,94,41,37,80
12086003708,689,254,147,279,1,0,0,0,0,230,302,21,43,31,62
12086003709,787,395,85,289,3,1,0,0,0,124,477,120,11,26,29
12086003710,2748,1045,526,1113,11,2,0,1,0,692,1298,274,91,136,257
12086003801,3323,1366,732,1172,7,0,0,0,0,1061,1474,68,47,168,505
12086003803,2032,499,725,769,0,1,1,0,0,819,483,28,49,152,501
12086003804,3768,1242,1000,1445,9,2,2,1,0,1182,1634,68,46,185,653
12086003906,1917,813,499,579,3,0,0,1,0,860,527,34,22,86,388
12086003909,831,283,228,308,3,0,0,0,0,178,497,55,18,30,53
12086003911,2009,832,361,785,6,4,0,0,0,366,1393,90,12,43,105
12086003912,1966,844,413,674,4,0,0,0,0,464,1206,89,18,57,132
12086003913,1976,851,360,732,2,5,0,1,0,313,1370,123,25,53,92
12086003914,2442,962,559,871,6,3,0,0,0,551,1490,93,36,92,180
12086003915,3138,1367,608,1113,8,7,0,0,0,665,2031,120,29,91,202
12086003916,1959,867,357,700,6,2,0,0,0,484,1125,94,25,54,177
12086003917,2174,941,427,759,4,5,0,5,0,458,1335,144,40,58,139
12086003918,1694,681,338,645,5,0,0,0,0,455,917,104,33,56,129
12086003919,1529,559,384,559,3,1,0,0,0,502,671,27,30,67,232
12086003921,2116,612,732,736,2,5,0,1,0,510,1212,38,47,91,218
12086003922,1316,383,436,473,2,0,0,0,0,373,654,12,27,37,213
12086004000,3513,1307,1029,1140,6,3,0,0,0,1368,941,53,44,228,879
12086004102,2191,1039,430,687,7,0,2,0,0,1019,644,30,43,99,356
12086004103,1311,454,349,479,4,1,0,1,0,273,782,28,27,51,150
12086004105,1517,505,435,547,4,1,0,0,0,468,720,52,29,59,189
12086004106,2290,971,509,775,6,0,0,0,0,1091,581,47,60,123,388
12086004204,1038,485,151,385,0,1,0,0,0,356,461,61,17,36,107
12086004205,1247,504,254,455,7,2,0,2,0,448,555,49,20,49,126
12086004206,918,402,153,349,4,0,0,0,0,326,399,41,14,45,93
12086004207,987,392,174,406,4,0,0,1,0,357,350,88,20,53,119
12086004208,1072,516,158,385,2,1,0,0,0,390,494,16,23,41,108
12086004301,1558,692,262,576,3,1,1,0,0,616,571,53,46,95,177
12086004303,1081,508,158,396,1,4,0,0,0,335,488,95,34,40,89
12086004304,1412,684,260,452,1,2,0,0,0,488,646,60,26,57,135
12086004403,1353,605,231,496,5,2,0,0,0,466,622,95,30,52,88
12086004404,1221,480,293,423,4,2,0,0,0,353,639,55,25,58,91
12086004405,1347,587,240,490,3,4,0,0,0,347,774,69,17,41,99
12086004406,1540,693,259,563,3,2,0,0,0,602,599,73,37,78,151
12086004500,3560,1139,1012,1351,11,3,0,0,0,1591,1065,74,117,179,534
12086004602,2517,695,779,1010,5,0,0,1,0,656,1661,8,28,50,114
12086004605,2030,577,562,865,3,1,0,1,0,512,1366,2,23,29,98
12086004607,2172,598,690,856,2,2,0,0,0,582,1388,11,23,29,139
12086004608,1079,313,305,440,0,0,0,0,0,248,746,6,8,14,57
12086004701,3944,1208,1549,1133,14,1,0,0,0,831,2881,26,40,57,109
12086004703,2872,845,1014,964,4,4,1,0,0,408,2325,37,16,34,52
12086004704,1505,502,491,484,1,4,1,0,0,207,1247,12,8,12,19
12086004705,2341,683,833,777,8,2,0,0,0,410,1834,19,12,30,36
12086004901,1109,375,294,415,1,1,0,0,0,31,1022,37,2,7,10
12086004903,1608,470,592,526,1,0,0,0,0,44,1543,10,2,3,6
12086004904,1493,413,541,513,2,1,0,0,0,54,1391,20,3,8,17
12086005002,2472,745,910,763,0,3,1,1,0,40,2380,24,8,5,15
12086005003,1546,432,561,533,1,1,1,0,0,50,1456,18,4,9,9
12086005004,2055,593,783,656,2,0,0,0,0,42,1969,18,6,5,15
12086005102,2334,815,735,750,3,0,0,1,0,150,2026,113,12,12,21
12086005103,1444,452,487,482,2,1,0,0,0,34,1328,70,2,5,5
12086005104,1637,584,493,539,3,1,2,1,0,43,1508,49,3,16,18
12086005201,1910,693,497,689,5,1,0,0,0,35,1789,65,6,4,11
12086005202,1438,607,347,468,0,3,2,1,0,43,1308,71,0,4,12
12086005303,1151,473,301,367,0,0,0,1,0,26,1047,60,2,6,10
12086005304,1361,513,360,465,5,2,0,1,0,36,1275,38,1,2,9
12086005305,1138,437,353,336,0,3,0,0,0,28,1032,52,3,3,20
12086005306,1311,484,360,444,1,0,0,0,0,53,1179,54,2,8,15
12086005403,647,205,214,220,2,0,0,0,0,16,613,9,2,1,6
12086005405,1332,487,393,438,2,0,0,0,0,50,1231,33,7,5,6
12086005406,1550,573,398,557,2,1,1,0,0,39,1457,48,1,2,3
12086005407,1280,371,463,430,2,1,0,0,0,36,1207,16,9,8,4
12086005409,1121,431,294,379,0,0,0,0,0,17,1071,23,5,2,3
12086005410,1145,380,355,396,3,3,0,1,0,15,1102,13,0,5,10
12086005503,1517,442,560,490,3,0,0,1,0,40,1448,10,2,5,12
