FULLCODE,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
20187964100,1054,741,162,143,8,0,0,748,219,0,6,4,77
20039951300,1885,1362,304,205,14,0,0,1551,21,0,6,15,292
20173000100,981,130,421,416,14,0,0,225,668,36,12,6,34
20173000200,1550,399,539,585,27,0,0,1038,348,17,19,14,114
20173000300,1715,263,713,708,31,0,0,825,698,40,31,8,113
20173000400,1154,159,486,501,8,0,0,440,317,269,45,13,70
20173000600,950,49,341,550,10,0,0,172,58,695,11,5,9
20173000700,1472,56,439,974,3,0,0,120,131,1174,11,9,27
20173000800,1088,49,373,658,8,0,0,118,83,849,15,6,17
20173000900,1205,150,439,598,18,0,0,483,118,506,15,13,70
20173001000,2008,363,748,873,24,0,0,1045,198,528,52,39,146
20173001100,1039,128,375,519,17,0,0,419,94,441,13,16,56
20173001400,2849,835,766,1189,59,0,0,2367,162,22,30,27,241
20173001500,1495,411,592,473,19,0,0,1116,193,22,26,24,114
20173001800,670,132,260,271,7,0,0,248,86,206,92,6,32
20173001900,1271,289,441,520,21,0,0,907,111,99,21,20,113
20173002000,1499,572,358,555,14,0,0,1225,46,2,20,27,179
20173002200,1244,545,277,406,16,0,0,1061,35,3,4,10,131
20173002300,1259,335,400,510,14,0,0,1036,82,28,11,18,84
20173002400,694,140,278,270,6,0,0,422,103,95,14,9,51
20173002600,545,91,250,198,6,0,0,338,107,23,18,10,49
20173002700,695,201,241,242,11,0,0,514,83,24,3,4,67
20173002800,1588,479,577,513,19,0,0,1269,155,20,15,16,113
20173002900,1376,400,529,436,11,0,0,991,216,45,25,8,91
20173003000,1022,298,405,309,10,0,0,756,135,32,12,9,78
20173003100,988,231,440,302,15,0,0,715,150,37,8,14,64
20173003200,1163,286,517,340,20,0,0,783,201,37,39,8,95
20173003400,1244,262,546,419,17,0,0,849,217,30,30,12,106
20173003500,1147,293,417,419,18,0,0,871,134,35,10,13,84
20173003600,1624,377,593,626,28,0,0,1080,196,178,31,13,126
20173003700,588,135,256,187,10,0,0,358,114,13,59,4,40
20173003800,1412,398,526,474,14,0,0,990,171,79,46,27,99
20173003900,1823,426,802,571,24,0,0,1201,356,67,57,11,131
20173004000,1949,452,846,621,30,0,0,1313,317,77,52,21,169
20173004301,1215,262,523,401,29,0,0,907,90,67,14,13,124
20173004302,1002,226,398,348,30,0,0,712,123,58,9,13,87
20173005100,2276,646,904,698,28,0,0,1682,276,99,41,19,159
20173005200,2162,679,803,648,32,0,0,1565,276,78,53,18,172
20173005300,2966,945,1145,838,38,0,0,2198,382,55,60,34,237
20173005401,1836,688,693,429,26,0,0,1404,146,14,120,16,136
20173005402,2340,745,975,582,38,0,0,1857,181,49,22,9,222
20173005501,2787,1176,983,592,36,0,0,2423,122,2,23,8,209
20173005502,3101,1382,1061,627,31,0,0,2726,121,5,20,11,218
20173005600,2667,1025,959,648,35,0,0,2182,191,20,51,13,210
20173005700,3101,1149,1182,726,44,0,0,2391,294,18,119,21,258
20173005800,1620,450,738,405,27,0,0,1158,203,24,69,11,155
20173005900,2135,599,896,601,39,0,0,1581,245,66,72,13,158
20173006000,1934,486,754,665,29,0,0,1215,301,121,137,15,145
20173006100,1196,326,487,363,20,0,0,795,227,35,38,4,97
20173006200,1710,415,672,602,21,0,0,1084,239,139,141,11,96
20173006300,1203,366,343,480,14,0,0,834,118,84,52,10,105
20173006400,1036,334,307,372,23,0,0,759,107,31,53,7,79
20173006500,877,148,459,263,7,0,0,358,259,47,153,4,56
20173006600,779,194,341,232,12,0,0,474,95,126,24,11,49
20173006700,1097,256,437,385,19,0,0,690,116,137,65,22,67
20173006800,1726,384,629,689,24,0,0,956,253,306,70,20,121
20173006900,1331,317,490,511,13,0,0,834,182,157,47,20,91
20173007000,1655,348,630,652,25,0,0,979,160,327,64,27,98
20173007101,1113,288,402,417,6,0,0,719,121,126,31,27,89
20173007102,2569,630,954,933,52,0,0,1596,249,352,148,46,178
20173007201,2645,1258,720,639,28,0,0,1948,170,51,137,65,274
20173007205,2013,539,710,745,19,0,0,1251,167,316,82,37,160
20173007206,1607,506,526,550,25,0,0,928,124,167,252,21,115
20173007207,2112,846,708,540,18,0,0,1291,149,50,383,52,187
20173007208,3270,1025,1202,1016,27,0,0,1754,252,250,699,86,229
20173007301,3214,1808,707,666,33,0,0,2480,143,55,103,125,308
20173007302,2585,1140,712,705,28,0,0,2062,112,67,55,58,231
20173007500,1180,125,382,662,11,0,0,240,89,799,17,9,26
20173007600,2761,1003,687,1052,19,0,0,1783,118,480,80,78,222
20173007701,1634,184,442,990,18,0,0,433,89,1011,18,19,64
20173007702,2911,605,885,1394,27,0,0,1243,169,960,238,109,192
20173007800,1247,53,388,798,8,0,0,139,53,1001,13,15,26
20173008000,3542,1464,1208,825,45,0,0,2920,233,34,33,26,296
20173008100,3151,1496,935,676,44,0,0,2609,218,11,47,28,238
20173008200,2592,593,1046,931,22,0,0,1271,1059,52,44,19,147
20173008300,2720,1104,792,791,33,0,0,2065,354,28,21,34,218
20173008400,2012,780,601,598,33,0,0,1488,282,22,29,22,169
20173008500,1648,718,448,457,25,0,0,1326,126,12,32,16,136
20173008600,2271,949,634,667,21,0,0,1754,223,19,41,24,210
20173008700,1993,706,686,570,31,0,0,1465,264,45,25,22,172
20173008800,2543,869,923,714,37,0,0,1926,334,28,40,27,188
20173008900,1644,561,631,426,26,0,0,1274,185,24,38,14,109
20173009000,1370,387,515,446,22,0,0,1038,170,22,14,14,112
20173009100,3062,944,1158,912,48,0,0,2166,403,101,139,21,232
20173009200,1854,813,588,443,10,0,0,1539,105,13,43,18,136
20173009301,3653,1435,1173,983,62,0,0,2857,282,46,93,44,331
