FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48491020712,2639,1244,922,473,0,0,1487,563,133,136,127,193
48491020713,2112,1104,662,346,0,0,1130,589,153,64,59,117
48491020808,1001,386,439,176,0,0,658,192,41,10,14,86
48491020810,3356,1643,1108,605,0,0,2000,877,189,44,39,207
48491020811,2334,1131,811,392,0,0,1332,648,149,29,30,146
48491020812,2645,1234,893,518,0,0,1478,794,76,38,43,216
48491020813,3548,1510,1552,486,0,0,2312,806,85,50,39,256
48491020814,3436,1278,1794,364,0,0,2276,417,62,201,140,340
48491020815,1478,475,903,100,0,0,1115,151,8,46,27,131
48491020816,3488,1430,1463,595,0,0,2279,652,165,98,61,233
48491020817,2901,1311,1161,429,0,0,1737,669,141,70,67,217
48491020818,4437,1863,2061,513,0,0,2704,887,119,244,94,389
48491020819,831,275,481,75,0,0,609,115,11,18,12,66
48491020820,5138,2482,1745,911,0,0,3015,1372,284,75,60,332
48491020821,1456,588,665,203,0,0,916,369,10,32,23,106
48491020822,5642,1964,2428,1250,0,0,3715,1153,87,132,67,488
48491020900,3610,994,2134,482,0,0,2616,527,16,16,54,381
48491021000,1341,838,314,189,0,0,530,554,165,5,11,76
48491021100,1375,722,353,300,0,0,717,534,22,8,7,87
48491021201,1991,748,961,282,0,0,1335,457,27,17,23,132
48491021202,2487,1016,1108,363,0,0,1590,573,65,27,18,214
48491021203,1895,830,690,375,0,0,1144,540,42,11,10,148
48491021300,2399,816,1227,356,0,0,1579,443,51,7,32,287
48491021402,2071,954,595,522,0,0,1283,510,96,22,19,141
48491021404,3197,1155,1591,451,0,0,2131,672,44,36,33,281
48491021405,3063,1374,1035,654,0,0,1958,750,27,45,54,229
48491021406,2348,891,1125,332,0,0,1577,388,15,106,60,202
48491021407,2416,1087,881,448,0,0,1375,719,64,46,57,155
48491021502,2070,1132,482,456,0,0,1085,739,95,28,17,106
48491021503,2045,942,605,498,0,0,1288,525,52,23,21,136
48491021506,1922,807,838,277,0,0,1115,492,42,54,45,174
48491021509,3130,1214,1457,459,0,0,1862,491,69,274,157,277
48491021510,2574,979,1223,372,0,0,1586,420,70,187,86,225
48491021511,1386,623,548,215,0,0,886,302,54,42,19,83
48491021512,4879,2246,1747,886,0,0,2872,1015,236,228,111,417
48491021513,1382,564,368,450,0,0,920,250,56,18,28,110
48491021514,1946,833,577,536,0,0,1116,476,64,69,52,169
48491021515,2659,1370,868,421,0,0,1479,708,124,92,92,164
48491021516,1570,682,511,377,0,0,945,353,87,50,39,96
48491021517,1867,1005,500,362,0,0,1000,637,63,38,25,104
48491021518,2095,1110,592,393,0,0,1102,596,140,61,57,139
48491021601,5330,1979,2201,1150,0,0,3312,1321,92,44,65,496
48491021602,1967,658,1055,254,0,0,1353,414,1,11,14,174
48491021603,1602,437,938,227,0,0,1115,309,8,10,18,142
48473680100,5788,1651,3449,688,0,0,3748,1030,164,176,133,537
48473680201,2689,1113,1253,323,0,0,1518,750,171,15,30,205
48473680202,3547,1945,1030,572,0,0,1526,1017,694,63,34,213
48473680301,3537,1735,585,1217,0,0,1950,330,979,25,46,207
48473680302,1913,594,1062,257,0,0,1283,363,75,20,27,145
48473680303,2409,986,1112,311,0,0,1404,391,429,15,20,150
48473680501,3624,1836,1040,748,0,0,1871,595,871,32,32,223
48473680502,2764,926,1439,399,0,0,1847,463,191,34,23,206
48473680601,1700,317,1142,241,0,0,1334,203,4,12,20,127
48473680602,4056,826,2524,706,0,0,3065,579,20,27,43,322
48473980000,970,298,19,653,0,0,701,42,10,18,15,184
48225950101,1387,398,781,208,0,0,1016,44,250,11,8,58
48225950102,2025,348,1334,343,0,0,1822,45,38,8,4,108
48225950200,694,227,367,100,0,0,467,38,146,1,6,36
48225950300,2448,1022,1032,394,0,0,1641,177,489,17,7,117
48225950400,1670,1148,361,161,0,0,592,144,873,9,13,39
48225950500,2769,674,1641,454,0,0,2256,104,188,20,16,185
48225950600,1002,278,588,136,0,0,783,31,121,5,5,57
48225950700,1211,215,781,215,0,0,1048,47,36,3,6,71
48371950100,1154,317,535,302,0,0,626,479,2,5,4,38
48371950300,2146,1181,287,678,0,0,395,1675,2,23,3,48
48371950400,2452,1281,617,554,0,0,748,1610,2,31,6,55
48371950500,1791,836,376,579,0,0,568,1159,5,5,7,47
48371980000,3,1,1,1,0,0,0,3,0,0,0,0
48035950100,2470,589,1468,413,0,0,2002,279,6,13,15,155
48035950200,1217,383,674,160,0,0,929,187,12,9,0,80
48035950300,1212,260,759,193,0,0,1081,59,2,9,2,59
48035950400,2826,600,1900,326,0,0,2449,171,6,17,15,168
48035950500,1518,507,741,270,0,0,1147,252,19,15,8,77
48035950600,1295,244,818,233,0,0,1156,42,4,8,14,71
48035950700,1387,295,873,219,0,0,1130,124,23,6,5,99
48459950101,2608,577,1430,601,0,0,2165,134,151,14,7,137
48459950102,3128,620,2006,502,0,0,2470,101,311,17,21,208
48459950200,2422,636,1422,364,0,0,1886,101,284,16,13,122
48459950301,3180,700,1924,556,0,0,2590,153,227,18,22,170
48459950302,2782,448,1842,492,0,0,2457,117,46,17,5,140
48459950400,2539,814,1250,475,0,0,1930,110,325,24,17,133
48459950501,2017,262,1325,430,0,0,1733,81,53,14,9,127
48459950502,1918,346,1132,440,0,0,1610,63,110,10,16,109
48459950600,2506,487,1482,537,0,0,2098,95,160,18,21,114
48459950700,3254,446,2179,629,0,0,2767,153,132,15,15,172
48239950100,3244,998,1722,524,0,0,2069,751,29,21,35,339
48239950200,2492,932,1169,391,0,0,1435,615,190,20,9,223
48239950300,2995,1047,1554,394,0,0,1977,676,37,16,19,270
48419950100,2934,800,1662,472,0,0,2273,228,278,15,8,132
48419950200,2233,530,1341,362,0,0,1779,103,224,17,4,106
48419950300,2400,682,1374,344,0,0,1828,241,196,11,9,115
48419950401,2159,949,845,365,0,0,1220,177,646,31,15,70
48419950402,1321,526,557,238,0,0,859,176,218,21,8,39
48419950500,1775,343,1188,244,0,0,1586,96,13,4,5,71
48419950600,1901,579,1097,225,0,0,1415,39,378,3,11,55
48483950100,1628,441,1034,153,0,0,1366,174,8,8,3,69
48483950300,1465,361,905,199,0,0,1125,178,12,24,10,116
48125950300,1273,312,785,176,0,0,975,233,0,12,8,45
48289950101,1721,333,1056,332,0,0,1331,230,53,25,3,79
48289950102,2754,612,1729,413,0,0,2127,151,278,23,14,161
