FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34003027000,3420,883,1244,1269,10,5,0,0,2551,181,6,175,154,353
34003028001,2978,1690,903,356,5,5,2,0,1206,543,17,783,143,286
34003028002,2734,1544,778,389,2,9,3,0,1174,400,15,661,155,329
34003029100,1829,755,802,249,3,4,5,0,727,514,22,262,112,192
34003029200,4406,1816,1781,730,14,14,10,0,1868,1318,45,451,379,345
34003030100,3262,1435,1228,534,10,8,10,0,1332,1162,91,139,203,335
34003030201,2365,1035,936,335,7,10,9,0,886,937,56,75,168,243
34003030202,1965,831,781,315,8,5,6,0,820,749,43,58,101,194
34003030300,2736,1182,1065,435,13,6,3,0,1105,1013,51,133,177,257
34003030401,1902,857,726,281,10,6,4,0,735,636,95,130,121,185
34003030402,2579,1077,1008,448,7,5,6,0,1137,870,39,111,190,232
34003031100,3869,1495,1557,764,13,6,9,0,2112,936,30,154,214,423
34003031200,3182,1114,1266,762,15,4,2,0,1848,731,7,129,154,313
34003031300,3692,1209,1537,902,10,4,7,0,2205,859,10,102,140,376
34003031400,3746,1371,1530,800,10,6,4,0,2173,920,7,101,186,359
34003032102,5056,1190,1955,1879,12,3,3,0,3529,223,19,279,303,703
34003032103,3730,1187,1457,1059,6,5,1,0,2564,245,10,216,223,472
34003032104,1452,421,632,377,6,1,1,0,904,165,55,56,121,151
34003032201,4344,1297,1716,1302,11,5,1,0,2923,245,17,283,255,621
34003032202,3682,1187,1447,1022,9,4,1,0,2478,242,8,284,207,463
34003033100,2776,1119,1083,544,7,6,3,0,1659,566,20,111,138,282
34003033200,1802,659,734,389,5,4,0,0,1022,357,15,86,108,214
34003033300,2161,952,769,416,4,3,3,0,1038,561,62,201,120,179
34003034001,2088,630,692,751,5,5,1,0,1588,164,5,34,72,225
34003034002,3323,834,1150,1316,6,4,1,0,2577,185,12,75,122,352
34003035100,6250,1809,2645,1750,16,4,2,0,4146,368,10,446,450,830
34003035200,4921,1624,2009,1244,16,9,2,0,2960,265,9,292,322,1073
34003036100,1514,556,629,306,1,5,3,0,743,502,19,54,67,129
34003036200,1760,735,716,278,9,2,3,0,866,522,2,128,140,102
34003037100,4002,1429,1694,829,11,5,5,0,2210,776,19,195,366,436
34003037201,2962,1060,1221,644,9,4,2,0,1494,638,3,204,261,362
34003037203,2745,1016,1084,616,9,5,3,0,1415,516,25,157,211,421
34003037204,1657,730,633,264,7,5,3,0,817,451,68,57,93,171
34003038100,3842,1451,1477,877,5,11,5,0,2065,1072,8,122,170,405
34003038200,2521,1011,971,496,17,4,2,0,1167,880,17,76,134,247
34003038300,4173,1497,1713,915,16,9,5,0,2124,1326,6,100,172,445
34003039100,3207,823,1379,973,7,6,4,0,2201,206,14,175,200,411
34003039200,4535,1206,1895,1397,12,3,2,0,3482,298,4,93,183,475
34003039300,2189,558,888,729,8,2,0,0,1622,146,2,69,96,254
34003040001,2939,923,1229,775,6,0,0,0,2065,189,3,174,166,342
34003040002,3506,1088,1447,953,9,3,1,0,2149,287,5,351,286,428
34003041100,2271,1175,750,322,5,5,0,0,475,322,4,1305,67,98
34003041200,2610,1300,945,336,5,7,0,0,560,247,6,1603,89,105
34003041301,2234,1074,795,336,8,5,2,0,563,393,3,1024,117,134
34003041302,2352,1084,912,322,7,4,5,0,588,349,3,1097,169,146
34003042101,2358,737,1038,565,5,2,1,0,1240,257,5,294,287,275
34003042102,3501,1138,1507,828,10,6,2,0,1630,354,20,561,427,509
34003042301,3251,1044,1401,776,8,5,2,0,1712,297,12,518,327,385
34003042302,3850,1215,1666,940,6,7,2,0,2030,364,36,563,420,437
34003042400,3548,1117,1554,859,3,2,0,0,1751,379,8,581,415,414
34003042500,3371,1124,1424,778,9,6,7,0,1518,449,18,634,384,368
34003043001,3344,983,1382,961,8,2,2,0,2415,181,3,176,146,423
34003043002,3472,1031,1438,985,8,3,1,0,2539,233,20,142,158,380
34003044100,4820,1362,1855,1574,10,6,0,0,3713,226,3,183,176,519
34003044201,2822,811,1148,843,7,5,1,0,2138,156,2,96,118,312
34003044202,3865,1145,1607,1088,10,2,3,0,2710,240,4,225,238,448
34003045101,2464,981,940,501,15,7,5,0,996,622,5,413,228,200
34003045102,2391,922,968,478,4,5,0,0,933,636,3,365,249,205
34003045200,1731,721,648,340,6,5,5,0,619,464,3,415,115,115
34003046100,2612,1133,1010,433,8,8,3,0,1085,987,25,158,169,188
34003046200,2724,1174,1097,413,10,7,2,0,1149,1057,35,89,151,243
34003046300,2796,1269,1042,435,12,9,9,0,1033,1170,50,134,201,208
34003047100,4414,1697,1695,1000,7,3,0,0,2766,283,12,557,263,533
34003047200,3202,1189,1233,772,4,1,0,0,2126,160,7,293,135,481
34003047300,2491,875,953,643,12,4,0,0,1692,133,10,189,131,336
34003047400,3315,1356,1254,682,8,5,1,0,2115,282,83,229,182,424
34003047500,4841,1783,1911,1113,20,5,1,0,3196,265,11,529,238,602
34003048100,2374,941,1026,388,10,2,1,0,1189,293,26,422,190,254
34003048200,5618,2003,2420,1152,16,6,1,0,3380,469,18,696,369,686
34003049001,3845,1196,1579,1054,7,3,0,0,2609,195,7,193,217,624
34003049002,4219,1131,1811,1258,7,2,0,0,2956,252,11,289,198,513
34003050000,4083,1473,1666,905,10,7,2,0,2233,957,22,186,258,427
34003051100,3929,1629,1448,817,15,5,0,0,2501,553,35,272,208,360
34003051200,1989,883,665,420,7,2,2,0,1256,295,5,100,107,226
34003051300,3027,1324,1083,591,7,5,2,0,1649,528,36,299,168,347
34003051400,3494,1462,1193,805,7,6,6,0,2120,544,16,262,206,346
34003052100,5688,1889,2396,1333,11,6,10,0,3688,882,11,216,338,553
34003052200,4420,1683,1739,934,10,10,8,0,2527,850,54,212,298,479
34003053100,2882,454,913,1494,5,4,1,0,1754,150,12,311,281,374
34003053201,3812,973,1540,1275,13,4,3,0,2377,195,11,359,257,613
34003053202,2752,700,1104,930,7,2,0,0,1708,136,4,267,248,389
34003054101,3234,2270,799,116,11,6,12,0,233,484,2250,60,89,118
34003054102,2900,1647,897,327,7,6,3,0,749,430,978,127,131,485
34003054200,3161,1855,972,303,7,6,2,0,704,594,1201,101,164,397
34003054300,6534,2634,2238,1628,14,4,1,0,3003,218,206,93,320,2694
34003054400,4741,2776,1442,486,14,1,7,0,1809,1061,635,177,322,737
34003054500,3747,1986,1182,545,6,4,5,0,1605,555,313,140,207,927
34003054601,2330,1313,759,224,6,10,2,0,792,705,250,194,199,190
34003054602,3661,2087,1132,410,10,7,4,0,1250,813,456,345,373,424
34003055100,4967,2093,2040,810,9,6,1,0,2291,242,28,703,371,1332
34003055201,2709,1257,1081,356,5,7,0,0,1270,191,6,485,222,535
34003055202,2344,982,1000,344,3,3,4,0,987,157,4,671,169,356
34003056100,3479,1050,1479,926,6,6,3,0,2555,281,4,113,146,380
34003056200,3951,1129,1633,1154,14,4,2,0,2907,323,7,112,189,413
34003057101,2336,867,1062,382,3,8,3,0,1205,447,59,136,203,286
34003057102,2547,740,1141,633,5,9,6,0,1743,353,8,55,138,250
