GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28029950102,1876,782,260,834,0,0,0,493,25,1294,10,7,47
28029950200,3426,1321,1056,1049,0,0,0,1713,43,1501,13,14,142
28029950300,2889,1028,862,999,0,0,0,1261,36,1446,12,8,126
28029950400,3483,1502,182,1797,0,2,0,389,53,2906,41,9,85
28029950501,1761,717,675,369,0,0,0,1302,30,329,9,5,86
28029950502,1746,601,630,515,0,0,0,1038,22,617,11,6,52
28029950600,2293,841,572,880,0,0,0,989,34,1180,4,13,73
28083950100,746,375,141,230,0,0,0,280,10,424,4,1,27
28083950200,2124,1211,266,646,0,1,0,609,31,1413,8,5,58
28083950300,5125,3749,189,1187,0,0,0,1044,79,3774,25,32,171
28083950400,3937,2399,321,1217,0,0,0,546,45,3237,33,9,67
28083950600,3583,1553,1530,498,0,2,0,2757,37,487,52,38,212
28083950700,1790,1241,63,486,0,0,0,363,14,1350,8,9,46
28083950800,3789,2552,44,1191,0,2,0,233,32,3447,24,10,43
28083950900,4057,2790,149,1118,0,0,0,329,37,3597,36,7,51
28061950101,2097,596,624,877,0,0,0,983,16,1007,5,8,78
28061950102,1044,302,346,396,0,0,0,456,5,546,0,3,34
28061950200,1022,357,283,381,0,1,0,482,11,491,8,3,27
28061950301,2332,759,892,681,0,0,0,1247,12,990,5,2,76
28061950302,1645,598,656,391,0,0,0,1080,13,478,7,3,64
28061950401,1835,598,229,1008,0,0,0,396,20,1365,7,2,45
28061950402,1652,492,256,903,0,1,0,461,9,1130,7,4,41
28143950101,2323,1180,72,1071,0,0,0,552,31,1646,10,1,83
28143950102,2477,1751,67,659,0,0,0,595,39,1688,24,12,119
28143950200,4396,2625,265,1505,0,1,0,1495,47,2622,20,27,185
28143980000,1,1,0,0,0,0,0,1,0,0,0,0,0
28039950101,4577,1872,2241,463,0,1,0,3967,50,231,13,17,299
28039950102,2976,1142,1422,412,0,0,0,2662,50,111,7,8,138
28039950200,1479,653,522,304,0,0,0,1028,17,359,8,4,63
28039950302,1833,751,688,394,0,0,0,1406,18,311,5,9,84
28039950303,2141,844,953,344,0,0,0,1915,33,69,8,4,112
28039950304,2461,1073,1032,356,0,0,0,1997,22,295,7,3,137
28017950100,2866,1123,380,1363,0,0,0,811,31,1918,31,14,61
28017950200,2419,840,706,871,0,2,0,1508,37,779,9,4,82
28017950300,2998,1227,691,1078,0,2,0,1473,101,1303,13,5,103
28017950401,1500,452,306,741,0,1,0,583,22,818,11,3,63
28017950402,2083,609,794,680,0,0,0,1301,23,658,11,7,83
28115950101,2761,1146,919,696,0,0,0,1549,29,1049,33,6,95
28115950102,3599,1580,1415,604,0,0,0,2921,114,378,13,18,155
28115950200,3204,1230,1355,618,0,1,0,2646,48,299,30,8,173
28115950300,4105,1741,1432,932,0,0,0,2918,106,844,17,17,203
28115950400,3160,1296,1263,601,0,0,0,2486,56,436,16,5,161
28115950500,3522,1412,1328,781,0,1,0,2872,64,317,18,7,244
28053950100,1821,654,214,953,0,0,0,434,15,1308,10,2,52
28053950200,1635,540,260,834,0,1,0,682,20,838,7,7,81
28053950300,3058,1216,200,1641,0,1,0,616,37,2285,31,13,76
28103950100,3941,1363,298,2280,0,0,0,907,25,2875,17,13,104
28103950200,2029,634,345,1050,0,0,0,735,20,1205,9,1,59
28103950300,1626,608,143,874,0,1,0,408,22,1136,10,9,41
28003950100,3943,1803,1297,843,0,0,0,3504,36,127,20,15,241
28003950201,1952,1112,377,463,0,0,0,1203,44,614,8,9,74
28003950202,2511,964,1004,542,0,1,0,2156,36,173,23,13,110
28003950300,2261,1098,616,546,0,1,0,1879,39,209,7,6,121
28003950401,2093,805,777,510,0,1,0,1893,20,56,7,6,111
28003950402,1432,505,454,472,0,1,0,1289,8,20,0,5,110
28003950501,2401,1097,737,567,0,0,0,2019,33,205,12,5,127
28003950502,2886,2077,193,616,0,0,0,1240,54,1420,14,19,139
28003950600,2675,1147,851,677,0,0,0,2383,37,91,10,8,146
28003950700,3127,1219,963,944,0,1,0,2480,16,435,10,22,164
28081950101,3156,1419,1230,507,0,0,0,2559,29,396,16,5,151
28081950102,2294,960,810,524,0,0,0,1487,27,701,7,8,64
28081950202,3426,1569,1436,421,0,0,0,3042,42,149,13,13,167
28081950203,1411,529,674,208,0,0,0,1132,14,167,9,7,82
28081950204,3703,1585,1517,600,0,1,0,3022,52,396,28,19,186
28081950301,2968,1285,1378,305,0,0,0,2581,48,158,13,4,164
28081950302,2133,879,796,456,0,2,0,1514,40,469,13,5,92
28081950401,2359,1151,608,600,0,0,0,1118,35,1098,19,8,81
28081950403,1741,729,755,257,0,0,0,1393,26,186,26,12,98
28081950404,3827,1294,1893,639,0,1,0,2980,43,502,47,16,239
28081950501,1176,479,443,254,0,0,0,660,17,435,9,3,52
28081950502,2530,1078,888,564,0,0,0,1743,42,603,30,9,103
28081950601,2317,1095,709,513,0,0,0,1694,54,442,23,13,91
28081950602,2072,1133,418,521,0,0,0,1125,46,784,19,11,87
28081950700,2004,1081,374,549,0,0,0,804,56,1059,12,15,58
28081950800,1651,809,346,496,0,0,0,843,40,682,13,17,56
28081950901,2817,1380,809,627,0,1,0,1791,68,736,23,20,179
28081950902,2575,1180,653,742,0,0,0,1310,55,1057,31,10,112
28081951001,2519,1127,622,770,0,0,0,1214,25,1199,13,1,67
28081951002,1715,933,248,534,0,0,0,503,20,1115,19,6,52
28081951101,1664,615,539,510,0,0,0,915,13,669,9,1,57
28081951102,2251,953,844,454,0,0,0,1585,32,531,8,5,90
28081980000,33,8,23,2,0,0,0,31,0,1,0,0,1
28121020101,3316,1357,1427,532,0,0,0,2071,28,1055,13,6,143
28121020103,3607,1190,1902,515,0,0,0,2963,34,402,24,24,160
28121020104,2887,1094,1279,514,0,0,0,2208,40,464,22,16,137
28121020105,1444,565,595,284,0,0,0,934,25,395,13,4,73
28121020208,5049,1470,2947,632,0,0,0,4205,75,443,30,23,273
28121020209,4055,1554,2009,492,0,0,0,3378,52,282,36,23,284
28121020210,3707,1246,2028,433,0,0,0,3120,43,308,35,13,188
28121020212,2349,822,1165,362,0,0,0,1991,26,116,54,27,135
28121020213,742,339,286,117,0,0,0,565,16,104,6,7,44
28121020214,2489,1136,936,417,0,0,0,2035,75,177,41,14,147
28121020215,2844,1114,1206,524,0,0,0,2190,55,322,65,39,173
28121020216,2687,951,1323,413,0,0,0,2066,43,363,44,10,161
28121020217,1867,1013,569,285,0,0,0,1240,35,451,7,8,126
28121020218,3162,1276,1407,479,0,0,0,2565,56,249,64,19,209
28121020219,3348,1219,1588,541,0,0,0,2421,48,644,43,34,158
28121020301,1906,802,892,212,0,0,0,1537,36,225,8,12,88
28121020303,3006,1285,1268,453,0,0,0,2489,72,196,31,32,186
28121020304,1540,893,339,307,0,1,0,973,44,380,34,16,93
