FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13021013503,1316,554,382,380,0,0,718,47,445,31,34,41
13021013505,3765,1540,949,1276,0,0,2286,85,1190,69,25,110
13021013506,2951,1153,776,1022,0,0,1774,81,904,24,29,139
13021013603,2159,738,712,709,0,0,1420,64,529,31,12,103
13021013604,3919,1839,906,1174,0,0,2084,68,1538,43,33,153
13021013605,4117,2207,861,1049,0,0,1892,108,1814,91,38,174
13021013607,2282,919,551,812,0,0,1450,33,648,51,22,78
13021013608,2955,1505,609,841,0,0,1504,63,1178,57,39,114
13021013701,789,497,211,81,0,0,324,23,393,7,13,29
13021013702,969,644,236,89,0,0,415,34,451,16,5,48
13021013800,976,916,47,13,0,0,45,5,912,1,5,8
13021013900,1311,808,379,124,0,0,463,35,745,3,8,57
13021014000,2653,2375,209,69,0,0,262,50,2298,4,9,30
13115000100,2930,348,1251,1331,0,0,2534,70,103,19,25,179
13115000202,3005,310,1015,1680,0,0,2672,47,70,22,15,179
13115000203,2043,284,746,1013,0,0,1689,53,123,63,24,91
13115000204,2380,371,1125,884,0,0,1970,107,138,24,19,122
13115000300,843,118,258,467,0,0,721,23,33,8,5,53
13115000401,1506,380,597,529,0,0,1022,170,201,25,15,73
13115000402,1023,199,308,516,0,0,776,50,100,34,4,59
13115000403,2380,700,1032,648,0,0,1350,325,479,67,43,116
13115000500,1498,549,617,332,0,0,807,248,358,8,10,67
13115000600,2460,1295,633,532,0,0,1103,92,1144,15,13,93
13115000700,3547,432,1320,1795,0,0,3093,83,134,20,24,193
13115000800,3504,961,823,1720,0,0,2613,79,608,31,20,153
13115000900,1927,526,621,780,0,0,1483,63,243,31,11,96
13115001100,1619,634,527,458,0,0,925,117,434,30,15,98
13115001200,2385,809,881,695,0,0,1330,341,548,26,25,115
13115001301,1334,331,609,394,0,0,866,198,177,21,18,54
13115001302,2188,620,767,801,0,0,1435,183,414,27,28,101
13115001400,4248,639,1538,2071,0,0,3558,155,205,44,62,224
13115001600,1677,942,511,224,0,0,670,77,846,10,7,67
13115001703,2326,249,895,1182,0,0,2024,51,73,9,18,151
13115001704,2042,170,882,990,0,0,1844,29,37,15,9,108
13115001705,2718,607,916,1195,0,0,2083,70,333,30,23,179
13115001706,1292,133,504,655,0,0,1160,23,33,3,7,66
13115001800,3234,509,1424,1301,0,0,2664,108,211,36,29,186
13115002000,3323,507,1250,1566,0,0,2876,67,168,24,15,173
13115002100,2110,1030,654,426,0,0,1057,114,844,9,10,76
13175950100,2334,956,551,827,0,0,1359,39,822,6,10,98
13175950201,3518,1290,696,1532,0,0,2237,76,980,62,31,132
13175950202,3928,1384,733,1811,0,0,2550,59,1123,32,15,149
13175950300,1036,782,119,135,0,0,240,13,752,6,4,21
13175950400,2525,1514,459,552,0,0,985,64,1338,61,20,57
13175950500,3068,1397,652,1019,0,0,1669,76,1148,43,22,110
13175950600,1597,496,341,760,0,0,1121,21,389,8,10,48
13175950700,1774,351,538,885,0,0,1465,18,213,4,10,64
13175950800,2490,1526,418,546,0,0,936,38,1417,21,12,66
13175950900,1383,1303,53,27,0,0,75,4,1296,1,2,5
13175951001,2470,503,869,1098,0,0,1942,55,311,11,14,137
13175951002,2408,1410,543,455,0,0,944,61,1324,13,7,59
13175951100,2699,752,952,995,0,0,1980,59,522,6,13,119
13175951400,1715,341,495,879,0,0,1365,35,219,10,12,74
13299950100,1026,80,359,587,0,0,957,14,22,2,6,25
13299950200,3497,373,1205,1919,0,0,3078,78,133,7,16,185
13299950300,1502,428,477,597,0,0,1048,29,339,15,6,65
13299950400,1024,899,65,60,0,0,83,5,921,5,3,7
13299950500,3301,1418,750,1133,0,0,1824,68,1237,24,18,130
13299950600,3751,900,971,1880,0,0,2806,73,585,61,25,201
13299950700,840,669,118,53,0,0,131,17,667,4,0,21
13299950801,1810,233,656,921,0,0,1541,61,87,9,14,98
13299950802,1600,1046,351,203,0,0,519,43,993,5,3,37
13299950900,2294,658,827,809,0,0,1559,55,540,13,10,117
13253200100,1921,532,580,809,0,0,1583,30,209,4,3,92
13253200200,2019,1280,275,464,0,0,834,26,1092,21,6,40
13253200300,1742,808,342,592,0,0,1115,28,527,0,5,67
13211010100,2147,513,563,1071,0,0,1589,44,349,10,14,141
13211010200,3056,538,782,1736,0,0,2450,48,346,13,24,175
13211010301,2557,1115,522,920,0,0,1417,40,957,20,13,110
13211010302,3267,1137,711,1419,0,0,2133,52,863,26,19,174
13211010400,2520,443,663,1414,0,0,2010,56,273,20,16,145
13211010500,1375,230,339,806,0,0,1093,31,137,23,8,83
13099090100,754,559,63,132,0,0,220,1,509,0,0,24
13099090200,1631,1098,162,371,0,0,548,11,1024,5,7,36
13099090300,792,382,96,314,0,0,445,8,297,3,2,37
13099090400,2924,1758,321,845,0,0,1276,18,1532,17,10,71
13099090500,972,363,289,320,0,0,648,14,256,5,3,46
13181970100,2715,1053,456,1206,0,0,1649,24,886,12,18,126
13181970200,3382,1003,765,1614,0,0,2253,57,825,18,15,214
13023790100,3077,556,915,1606,0,0,2564,54,314,15,12,118
13023790200,1426,729,258,439,0,0,658,20,677,9,6,56
13023790301,1130,296,283,551,0,0,816,20,214,16,10,54
13023790302,1946,459,570,917,0,0,1467,41,317,22,15,84
13085970101,1178,211,269,698,0,0,976,30,20,6,17,129
13085970102,3479,260,1357,1862,0,0,3019,135,30,39,40,216
13085970103,2188,120,847,1221,0,0,1958,45,7,18,16,144
13085970203,3953,353,1345,2255,0,0,3381,132,25,30,57,328
13085970204,2558,224,1018,1316,0,0,2190,122,22,28,27,169
13085970205,2478,135,1088,1255,0,0,2214,75,13,16,16,144
13085970206,5273,450,2347,2476,0,0,4375,253,63,52,88,442
