GEOID20,total_reg,party_dem,party_rep,party_npp,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
32031002213,3830,1208,1427,881,208,43,4,58,0,2613,492,13,194,134,384
32031002214,1355,472,365,398,67,22,1,30,0,870,250,12,47,44,132
32031002215,1721,626,445,479,98,26,5,42,0,1170,325,14,37,31,144
32031002216,1432,505,363,429,71,23,7,34,0,920,285,16,38,32,141
32031002217,2877,850,1184,622,133,29,4,54,0,2047,224,4,179,72,351
32031002218,2524,743,927,642,130,36,3,43,0,1773,287,8,107,68,281
32031002219,3131,880,1210,783,159,42,10,47,0,2209,386,10,160,70,296
32031002302,2434,742,1036,465,113,34,5,39,0,1926,152,3,50,34,269
32031002303,2602,730,1183,521,125,18,1,24,0,2032,121,3,88,63,295
32031002304,3371,1008,1433,691,152,27,5,54,0,2622,182,7,136,76,348
32031002401,2835,1091,797,739,124,43,5,36,0,1967,389,6,114,77,282
32031002406,3250,1343,842,809,140,37,10,68,0,2348,500,16,50,48,288
32031002407,2593,991,754,643,124,31,10,40,0,1688,362,14,141,134,254
32031002408,2099,755,644,517,108,32,5,38,0,1500,206,3,71,69,250
32031002409,3159,1081,1147,698,151,37,6,39,0,2269,299,17,132,147,295
32031002411,2739,1019,798,690,123,44,4,60,0,1800,422,16,122,81,298
32031002412,1826,774,539,396,65,19,6,27,0,1262,188,10,99,89,178
32031002413,1922,712,593,468,79,28,3,38,0,1354,280,9,52,44,183
32031002414,964,313,297,272,55,11,3,13,0,636,137,7,38,32,114
32031002500,3523,1555,788,900,157,56,8,58,0,2621,373,22,94,63,350
32031002603,1132,263,555,219,58,19,3,15,0,951,73,3,7,18,80
32031002610,3163,1143,892,853,159,47,5,64,0,1852,951,15,53,53,239
32031002611,3533,1223,956,1032,174,41,13,93,0,1985,974,118,94,87,275
32031002612,2685,677,1068,673,164,43,4,55,0,2087,300,7,31,24,236
32031002613,4331,997,1891,1021,241,81,8,92,0,3230,600,17,58,46,380
32031002614,2534,903,706,706,114,29,7,68,0,1478,704,34,53,58,207
32031002615,2671,875,784,741,141,42,3,85,0,1571,729,13,75,65,218
32031002616,2704,935,763,762,143,32,7,61,0,1625,789,17,29,43,201
32031002618,4436,1132,1959,987,205,63,9,78,0,3249,651,12,56,48,420
32031002620,2469,854,701,681,123,36,9,64,0,1640,436,17,79,54,243
32031002621,1037,325,350,277,61,8,3,12,0,663,231,18,18,14,93
32031002622,1609,581,428,461,74,21,5,38,0,869,450,26,48,57,159
32031002623,2265,683,871,554,99,15,1,41,0,1501,440,18,57,41,208
32031002703,1116,405,283,317,65,18,2,26,0,681,330,8,12,10,75
32031002704,2359,903,556,694,116,33,3,53,0,1291,812,8,28,36,184
32031002705,2616,901,763,728,136,24,11,53,0,1518,799,18,38,33,210
32031002706,2634,960,706,735,137,26,7,61,0,1456,926,10,31,29,182
32031002707,2572,1017,664,693,119,24,9,45,0,1371,952,6,18,35,190
32031002801,2580,1016,647,713,116,34,8,45,0,1401,769,27,90,82,211
32031002802,2781,1162,683,727,112,31,7,58,0,1371,1094,22,44,48,202
32031002901,2260,870,684,539,99,25,4,39,0,1454,570,8,31,31,166
32031002902,2407,1059,572,582,112,25,7,49,0,1294,872,6,54,33,148
32031003001,2213,914,556,561,112,19,8,41,0,1338,652,1,28,37,157
32031003002,1784,679,447,498,98,17,4,41,0,1078,465,16,46,28,151
32031003105,1511,536,496,352,81,19,1,26,0,1057,229,8,48,41,128
32031003106,4561,1706,1346,1160,188,74,8,78,0,2740,1220,19,118,76,388
32031003108,2108,676,801,488,81,22,5,35,0,1490,366,4,46,46,156
32031003109,2409,778,1001,468,100,25,3,34,0,1754,282,8,107,45,213
32031003110,3342,1171,1138,785,153,40,8,47,0,2317,548,24,117,53,283
32031003111,1356,354,479,414,60,23,5,20,0,960,174,10,47,31,134
32031003112,1831,658,445,568,87,26,3,43,0,1122,429,29,40,37,174
32031003203,4091,1001,1955,848,167,65,1,53,0,3246,181,3,110,69,482
32031003205,2880,729,1263,641,155,39,7,46,0,2298,264,1,40,43,234
32031003206,1214,297,616,236,42,16,0,7,0,1003,38,3,19,19,132
32031003207,2869,711,1429,520,123,38,4,44,0,2455,111,1,23,31,248
32031003305,1005,353,306,263,44,17,4,17,0,776,77,0,30,14,108
32031003306,1232,411,418,304,58,20,3,18,0,873,156,1,31,22,149
32031003307,1167,342,432,302,56,17,2,15,0,880,73,3,27,27,157
32031003308,2454,751,931,588,114,37,3,30,0,1930,77,3,74,56,314
32031003310,1349,398,488,354,61,19,4,25,0,1013,89,0,32,28,187
32031003311,1551,411,639,383,76,23,3,16,0,1189,91,0,38,34,199
32031003501,3325,746,1645,687,149,52,2,44,0,2674,268,12,33,40,298
32031003503,3089,800,1414,618,175,40,2,40,0,2336,424,10,36,30,253
32031003507,3107,899,1324,651,161,34,5,33,0,2272,402,19,107,69,238
32031003508,2881,921,1123,610,144,29,4,48,0,2053,414,7,107,67,233
32031003510,2270,714,760,605,120,28,5,37,0,1478,489,15,49,52,187
32031003511,4060,1104,1914,759,191,37,7,48,0,3088,398,23,75,74,402
32031003512,3387,1026,1362,707,193,39,5,54,0,2442,423,10,120,67,325
32031003513,2673,809,938,692,122,53,3,56,0,1838,425,30,92,67,221
32031003514,2383,550,1282,376,101,24,3,46,0,1912,202,1,22,33,213
32031003516,2708,606,1375,542,107,32,3,43,0,2041,302,13,61,37,254
32031003517,3656,1043,1529,802,171,59,3,48,0,2558,524,23,120,75,356
32031003518,2696,620,1266,591,139,37,6,36,0,2145,268,11,24,20,228
32031003519,3723,748,1983,729,166,32,3,62,0,2890,361,14,66,61,331
32031003520,1645,506,627,373,76,19,2,41,0,1025,324,8,69,48,171
32031003521,1575,531,551,363,80,19,4,27,0,1113,272,4,50,29,107
32031003522,2467,727,803,699,133,38,4,63,0,1589,464,21,72,52,269
32031940200,1282,628,212,357,46,10,4,24,0,876,179,14,32,29,152
32031980000,127,34,26,50,13,2,0,2,0,86,19,1,4,4,13
32031980100,4,0,2,1,0,0,0,1,0,3,0,0,0,0,1
32031980200,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
32031980300,11,1,6,3,1,0,0,0,0,11,0,0,0,0,0
32031990000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32031990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32017950100,1547,232,1012,201,87,2,1,12,0,1349,50,4,10,18,116
32017950200,1524,252,908,260,81,11,3,9,0,1364,51,4,10,11,84
32001950100,1582,214,930,327,77,15,0,19,0,1259,136,2,14,15,156
32001950301,2144,414,955,587,129,21,6,32,0,1661,229,18,31,36,169
32001950302,3061,578,1440,771,186,48,5,33,0,2380,327,15,46,44,249
32001950400,53,7,21,17,5,2,0,1,0,41,6,1,0,1,4
32001950500,908,190,450,208,44,5,0,11,0,702,96,0,11,14,85
32001950600,3821,530,2173,836,195,49,0,38,0,3120,339,1,51,26,284
32001950700,4234,547,2583,828,205,37,5,29,0,3478,317,0,44,42,353
32003000101,3360,1698,565,857,133,27,4,76,0,1267,1539,238,59,59,198
32003000103,2745,1331,406,798,104,28,5,73,0,1096,1179,143,74,66,187
32003000105,1805,827,368,483,62,12,1,52,0,779,763,35,46,35,147
32003000106,2678,1291,518,674,111,22,6,56,0,1310,826,188,67,81,206
32003000107,2124,1002,388,584,81,23,4,42,0,970,751,129,57,62,155
32003000108,1345,663,211,376,49,9,1,36,0,518,703,24,8,22,70
32003000109,1901,873,338,538,77,21,2,52,0,837,736,129,38,26,135
32003000201,2707,1546,281,676,114,16,1,73,0,792,638,1047,48,42,140
32003000203,2184,1047,348,593,111,18,3,64,0,1038,494,369,54,58,171
32003000204,744,329,202,161,27,9,0,16,0,470,122,21,28,21,82
32003000301,2322,1345,192,596,106,19,1,63,0,514,358,1279,27,49,95
32003000302,3243,2064,165,767,120,17,5,105,0,409,497,2175,39,44,79
32003000401,2058,838,338,649,126,29,4,74,0,1005,333,497,35,32,156
32003000402,1522,763,144,465,83,12,1,54,0,591,455,336,19,25,96
32003000403,1305,684,165,351,51,18,1,35,0,556,406,204,29,24,86
32003000510,2084,1179,214,577,62,13,2,37,0,447,1438,49,26,33,91
32003000513,1712,909,270,449,43,9,2,30,0,662,869,63,22,13,83
32003000514,2455,1300,301,663,99,26,2,64,0,931,1123,179,43,48,131
32003000515,2208,1211,283,581,68,16,0,49,0,631,1288,111,50,32,96
32003000516,2051,1111,216,573,72,16,5,58,0,610,1208,103,19,29,82
32003000517,2322,1202,284,675,79,19,3,60,0,762,1191,171,49,27,122
32003000518,2408,1227,290,715,91,13,7,65,0,821,1199,176,39,38,135
32003000519,2168,1088,268,667,71,15,4,55,0,675,1244,89,34,30,96
32003000520,1281,621,143,394,68,13,3,39,0,442,642,71,17,26,83
32003000521,1995,991,250,573,89,18,2,72,0,834,713,238,29,30,151
32003000522,1068,557,101,326,42,13,0,29,0,378,510,91,12,23,54
32003000523,997,489,134,285,49,6,2,32,0,407,299,174,16,35,66
32003000524,1098,592,122,297,52,4,1,30,0,401,449,117,26,14,91
32003000525,1218,693,117,328,36,6,4,34,0,322,726,122,12,9,27
32003000526,1139,629,121,311,51,9,1,17,0,337,697,28,14,17,46
32003000527,1460,825,151,391,43,9,2,39,0,370,961,39,19,24,47
32003000528,1043,534,99,334,43,6,1,26,0,324,536,103,21,15,44
32003000600,1770,801,272,556,88,16,4,33,0,869,430,240,30,30,171
32003000700,1263,515,186,407,90,26,3,36,0,712,157,185,35,36,138
32003001003,2365,965,588,642,94,21,2,53,0,1223,653,105,94,75,215
32003001004,3765,1716,778,975,173,28,5,90,0,1881,1044,263,125,101,351
32003001005,1137,410,387,268,42,8,2,20,0,758,123,18,51,54,133
32003001006,2819,1179,760,665,118,27,7,63,0,1871,416,53,82,88,309
32003001100,1534,631,271,482,83,18,4,45,0,759,364,149,56,44,162
32003001200,2443,1225,394,642,96,28,4,54,0,1241,715,136,55,67,229
32003001300,2669,1359,407,695,104,41,5,58,0,1327,1023,23,44,52,200
32003001401,1691,858,278,446,63,12,3,31,0,732,692,83,35,36,113
32003001402,2194,1130,336,593,72,12,6,45,0,640,1300,32,40,42,140
32003001501,1832,897,253,512,88,22,3,57,0,867,434,337,25,36,133
32003001502,2216,977,508,558,106,13,3,51,0,1237,667,56,22,46,188
32003001607,3350,1347,676,1036,183,24,9,75,0,1915,708,308,48,71,300
32003001608,1071,492,197,305,55,8,0,14,0,520,386,38,20,24,83
32003001609,2038,1068,303,538,71,15,6,37,0,675,1081,52,66,65,99
32003001610,1876,925,340,504,63,15,5,24,0,752,883,36,44,34,127
32003001611,2568,1258,478,655,103,12,3,59,0,997,1208,101,45,31,186
32003001613,1950,934,318,558,73,20,6,41,0,740,819,203,26,43,119
32003001614,1003,484,140,291,43,5,4,36,0,470,235,203,31,15,49
32003001615,2344,1120,339,681,109,11,4,80,0,1084,588,407,47,33,185
32003001706,2223,969,566,543,81,24,0,40,0,1381,373,93,91,87,198
32003001707,1238,574,312,253,62,6,1,30,0,694,265,54,36,38,151
32003001708,2056,905,483,526,86,21,2,33,0,1140,562,37,35,56,226
32003001709,1430,578,299,420,77,22,2,32,0,820,366,45,29,50,120
32003001710,2654,1211,427,791,130,27,2,66,0,1259,913,175,39,52,216
32003001711,1813,835,353,487,70,20,5,43,0,983,425,110,40,58,197
32003001712,2683,1184,628,677,108,21,2,63,0,1592,636,72,66,75,242
32003001713,2030,917,483,496,78,13,0,43,0,1024,717,18,30,51,190
32003001714,2109,906,511,555,77,22,5,33,0,1004,822,47,45,39,152
32003001715,1317,651,216,351,42,16,2,39,0,553,585,51,21,31,76
32003001716,893,425,182,226,34,8,1,17,0,371,408,13,13,25,63
32003001717,1169,469,332,282,40,14,2,30,0,717,235,12,52,41,112
32003001718,1380,644,164,451,68,12,4,37,0,649,479,91,18,33,110
32003001801,3151,1432,612,854,159,23,4,67,0,1574,1096,113,49,61,258
32003001803,1654,792,306,429,71,18,6,32,0,761,608,61,50,43,131
32003001804,1768,847,262,513,83,16,0,47,0,729,698,124,36,43,138
32003001901,2165,1087,247,653,92,17,2,67,0,883,826,227,28,49,152
32003001902,2002,1019,279,548,75,20,4,57,0,836,829,73,35,54,175
32003002000,3089,1114,762,948,165,35,4,61,0,1873,383,209,151,114,359
32003002201,2687,1125,573,765,133,16,3,72,0,1445,545,196,126,75,300
32003002203,1738,842,237,525,66,20,3,45,0,682,703,101,71,43,138
32003002204,1310,580,186,422,61,14,1,46,0,619,416,71,59,42,103
32003002206,1333,616,222,385,62,14,2,32,0,558,405,123,107,33,107
32003002207,1013,513,90,315,44,11,2,38,0,347,430,82,20,35,99
32003002302,659,211,170,214,39,12,0,13,0,389,56,39,56,34,85
32003002303,713,161,323,179,26,7,2,15,0,422,65,5,76,47,98
32003002403,1943,843,292,608,108,18,3,71,0,1078,335,252,59,50,169
32003002404,2949,1375,288,992,145,25,5,119,0,1302,566,757,44,73,207
32003002405,2165,977,257,720,96,28,7,80,0,1118,446,318,54,37,192
32003002406,2539,1131,275,861,152,26,3,91,0,1199,342,551,78,88,281
32003002501,2931,1309,516,861,118,42,6,79,0,1502,640,250,101,141,297
32003002504,2081,960,366,587,86,23,8,51,0,1103,463,184,67,60,204
32003002505,922,406,143,297,43,10,2,21,0,428,274,72,25,25,98
32003002506,1726,806,224,532,87,15,2,60,0,848,407,221,43,47,160
32003002603,2327,1043,357,720,103,44,4,56,0,1218,355,231,151,107,265
32003002604,1164,471,229,364,54,10,7,29,0,646,226,85,30,48,129
32003002605,755,301,113,258,31,8,2,42,0,429,77,157,12,11,69
32003002706,1738,787,290,519,74,17,2,49,0,887,438,147,53,52,161
32003002707,2126,956,444,565,82,27,2,50,0,939,842,73,62,56,154
32003002708,1755,820,249,553,64,23,1,45,0,724,412,306,60,62,191
32003002808,1488,462,543,394,47,18,1,23,0,963,199,23,70,58,175
32003002810,1978,772,491,540,94,23,4,54,0,1097,392,168,70,58,193
32003002811,2857,968,907,746,145,27,7,57,0,1661,535,52,147,159,303
32003002814,3067,1089,940,811,136,22,4,65,0,1746,620,61,174,151,315
32003002821,2837,1203,633,775,130,27,2,67,0,1689,528,193,72,80,275
32003002822,2210,1024,397,631,73,16,2,67,0,935,994,39,38,39,165
32003002823,1880,811,347,555,91,23,2,51,0,1005,436,105,74,75,185
32003002824,1257,487,424,256,62,7,2,19,0,789,246,10,52,34,126
32003002825,2118,840,576,546,89,21,5,41,0,1202,577,37,39,52,211
32003002826,1956,819,517,480,80,20,5,35,0,1059,615,32,57,47,146
32003002827,1770,724,453,465,84,11,2,31,0,976,512,86,32,36,128
32003002828,2699,942,862,693,113,34,2,53,0,1601,446,103,179,112,258
32003002829,2600,936,806,644,122,36,6,50,0,1584,535,26,107,74,274
32003002830,3361,1285,959,850,178,27,4,58,0,2003,676,90,131,125,336
32003002831,2403,974,516,713,121,19,2,58,0,1249,478,210,119,99,248
32003002833,3494,1292,999,924,168,28,6,77,0,1839,761,81,220,194,399
32003002834,3007,1129,785,850,133,35,5,70,0,1618,709,77,169,134,300
32003002835,1617,600,412,467,74,17,4,43,0,835,382,31,98,89,182
32003002836,1544,649,331,431,69,16,1,47,0,806,373,52,67,76,170
32003002837,4302,1434,1512,1026,223,38,4,65,0,2770,704,53,211,183,381
32003002838,3711,1326,1202,904,187,33,4,55,0,2294,660,99,162,122,374
32003002841,3794,1223,1265,979,178,40,2,107,0,2153,693,42,253,238,415
32003002842,3590,1359,897,1036,161,42,2,93,0,1647,973,146,204,203,417
32003002844,3613,1463,811,1032,157,38,9,103,0,1818,924,118,170,186,397
32003002845,3263,1298,713,971,151,47,9,74,0,1725,746,217,120,119,336
32003002846,3142,1230,805,873,136,29,4,65,0,1621,789,71,161,179,321
32003002847,2112,878,441,608,109,19,7,50,0,1132,521,119,71,71,198
32003002848,2373,963,569,648,114,31,3,45,0,1356,591,64,62,78,222
32003002849,2089,776,543,575,111,25,1,58,0,1213,372,59,103,104,238
32003002850,2393,935,573,675,117,25,2,66,0,1264,547,77,124,115,266
32003002851,3562,1432,869,982,159,42,3,75,0,1841,814,104,235,202,366
32003002852,985,357,304,247,51,8,0,18,0,486,217,38,80,65,99
32003002853,1842,676,459,553,78,23,1,52,0,929,423,53,119,96,222
32003002901,2820,1089,632,888,121,17,2,71,0,1104,671,116,435,163,331
32003002902,2873,1102,689,871,92,20,4,95,0,1167,660,105,407,170,364
32003002905,3168,1348,692,866,141,32,7,82,0,1727,584,351,120,101,285
32003002915,3420,1237,1114,775,189,24,6,75,0,2115,500,213,135,139,318
32003002916,1757,593,659,385,72,22,1,25,0,1104,235,57,100,59,202
32003002919,2550,1084,587,669,117,21,4,68,0,1108,688,50,273,165,266
32003002935,1003,378,285,283,35,7,2,13,0,500,237,20,95,49,102
32003002936,1924,796,435,538,91,20,3,41,0,971,453,49,171,66,214
32003002937,2430,1070,426,731,115,27,3,58,0,1053,694,192,202,61,228
32003002938,973,326,319,269,25,6,2,26,0,523,157,21,116,42,114
32003002939,1381,447,561,289,54,8,2,20,0,908,154,16,106,63,134
32003002940,1914,820,380,562,74,23,3,52,0,774,451,112,283,99,195
32003002941,2876,1238,688,722,122,40,5,61,0,1402,984,45,98,113,234
32003002942,2621,1060,657,696,116,27,5,60,0,1391,659,69,143,103,256
32003002944,2797,1006,796,801,114,13,5,62,0,1266,468,84,538,167,274
32003002946,1218,478,299,355,47,7,1,31,0,672,238,36,109,23,140
