GEOID20,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
38035010804,2149,787,742,620,0,0,1649,55,11,27,39,368
38035010805,1188,214,31,943,0,0,921,25,12,12,16,202
38035010806,1409,244,93,1072,0,0,1097,44,13,22,33,200
38035010900,1398,570,272,556,0,0,1126,38,1,18,13,202
38035011000,1029,226,2,801,0,0,794,46,1,9,25,154
38035011100,4078,2315,612,1151,0,0,3321,46,2,48,53,608
38035011201,1401,465,326,610,0,0,1091,41,12,21,22,214
38035011202,3049,1520,839,690,0,0,2398,47,14,67,52,471
38035011400,1278,617,266,395,0,0,1058,14,1,6,15,184
38035011701,1279,691,356,232,0,0,1011,29,3,9,15,212
38035011702,3009,1552,634,823,0,0,2429,33,1,19,40,487
38035011800,974,439,167,368,0,0,771,16,4,4,5,174
38035011900,159,7,19,133,0,0,113,22,4,5,2,13
38035012000,1602,508,298,796,0,0,1309,29,7,7,9,241
38047972500,1218,762,354,102,0,0,1003,16,0,3,5,191
38005940100,511,52,88,371,0,0,353,12,0,0,50,96
38005940200,613,57,66,490,0,0,454,17,1,9,40,92
38005956700,1322,312,84,926,0,0,1136,12,0,10,4,160
38007963100,623,379,198,46,0,0,434,13,0,3,45,128
38001965600,1317,737,447,133,0,0,1046,14,0,7,13,237
38033962900,1114,592,408,114,0,0,914,15,0,3,13,169
38063959000,1985,1074,681,230,0,0,1551,40,1,15,13,365
38037965900,1614,961,451,202,0,0,1260,26,1,8,32,287
38011965200,1113,574,416,123,0,0,915,22,0,8,12,156
38011965300,843,566,217,60,0,0,684,12,1,5,13,128
38065961200,1146,712,313,121,0,0,942,10,0,4,8,182
38023954500,1367,695,531,141,0,0,1077,20,0,14,19,237
38075952900,1451,878,443,130,0,0,1282,8,0,2,9,150
38087965000,522,367,111,44,0,0,430,5,0,5,10,72
38069956100,818,492,244,82,0,0,653,8,1,0,18,138
38069956200,1681,1084,420,177,0,0,1392,8,0,9,14,258
38105953400,1522,743,641,138,0,0,1186,61,0,2,29,244
38105953500,1675,795,731,149,0,0,1317,58,0,13,21,266
38105953600,2163,1212,745,206,0,0,1828,41,0,7,23,264
38105953701,3014,968,1694,352,0,0,2299,189,6,29,48,443
38105953702,2638,1242,1061,335,0,0,2018,109,1,14,46,450
38105953800,1150,639,385,126,0,0,949,34,0,7,16,144
38105953900,2013,1132,548,333,0,0,1600,58,6,9,23,317
38105954100,2488,1118,1115,255,0,0,1992,73,4,26,34,359
38041964700,586,384,169,33,0,0,512,5,0,2,3,64
38041964800,774,454,258,62,0,0,603,1,0,14,7,149
38025962200,2551,1375,953,223,0,0,1896,48,0,31,90,486
38043966800,1575,986,457,132,0,0,1288,14,0,11,31,231
38067950100,612,366,195,51,0,0,539,5,2,2,9,55
38067950200,891,531,273,87,0,0,760,6,0,2,6,117
38067950500,758,454,220,84,0,0,637,24,0,4,0,93
38067950600,1603,927,530,146,0,0,1294,19,0,16,9,265
38055940100,351,146,148,57,0,0,279,14,0,0,16,42
38055960800,2711,1654,800,257,0,0,2190,27,0,18,34,442
38055961001,3112,1844,957,311,0,0,2469,39,0,19,78,507
38079941800,955,103,0,852,0,0,697,32,0,3,105,118
38079951600,839,146,1,692,0,0,676,17,0,2,27,117
38079951700,1683,244,1,1438,0,0,1331,19,3,4,78,248
38079951900,887,216,2,669,0,0,686,11,1,3,32,154
38101010100,1200,455,584,161,0,0,946,44,7,9,17,177
38101010200,2263,926,1013,324,0,0,1792,78,13,17,36,327
38101010301,2369,1022,999,348,0,0,1847,97,13,41,44,327
38101010302,3255,1743,952,560,0,0,2654,75,12,16,36,462
38101010400,2458,1123,954,381,0,0,1919,92,6,18,28,395
38101010500,3218,1824,848,546,0,0,2613,60,6,34,30,475
38101010601,2107,1298,503,306,0,0,1687,41,8,17,28,326
38101010602,2838,1436,1050,352,0,0,2274,86,5,19,23,431
38101010701,2076,959,849,268,0,0,1664,65,17,23,35,272
38101010702,1126,384,642,100,0,0,915,37,4,7,20,143
38101010800,2626,1448,773,405,0,0,2141,62,6,16,26,375
38101010901,222,21,158,43,0,0,145,29,7,4,5,32
38101010902,121,12,87,22,0,0,94,13,4,0,1,9
38101011000,1277,722,425,130,0,0,1071,13,0,2,21,170
38101011200,2531,1552,596,383,0,0,2124,27,0,16,32,332
38101011300,3436,2041,1048,347,0,0,2796,52,0,27,41,520
38003967900,1041,679,252,110,0,0,853,6,0,6,23,153
38003968000,1646,1000,467,179,0,0,1390,4,0,9,16,227
38003968200,1297,600,549,148,0,0,1064,19,2,11,15,186
38003968300,2436,1247,784,405,0,0,1959,22,2,14,32,407
