GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
41005023500,5128,1395,1681,1678,42,15,57,0,4229,249,5,77,55,513
41005023600,3311,895,999,1185,18,7,30,0,2779,113,3,47,53,316
41005023700,4139,1054,1266,1556,31,16,35,0,3490,117,5,42,92,393
41005023800,5216,1178,1523,2213,38,9,35,0,3972,304,4,48,324,564
41005023901,4120,845,1541,1426,36,9,35,0,3275,343,2,47,71,382
41005023902,4086,841,1595,1357,42,6,42,0,3270,293,0,40,82,401
41005024000,2366,490,725,1000,12,5,22,0,1954,78,3,13,70,248
41005024100,4205,885,1337,1715,29,4,41,0,3552,142,0,30,67,414
41005024200,5922,1458,2171,1793,67,13,63,0,4898,252,4,66,78,624
41005024302,4503,1176,1530,1463,28,10,39,0,3832,161,3,32,47,428
41005024303,3014,971,1046,753,27,19,36,0,2488,154,4,22,34,312
41005024304,2222,706,789,580,23,6,27,0,1859,74,0,24,47,218
41005024401,2366,773,831,596,28,2,15,0,1736,219,2,82,60,267
41005024402,3240,1094,1104,785,33,7,20,0,2443,265,11,120,76,325
41005980000,237,31,175,14,1,1,5,0,166,30,7,6,8,20
41021960100,1522,285,484,643,17,2,12,0,1320,38,0,9,15,140
41067030103,3334,1587,1019,508,43,10,21,0,2391,227,12,178,104,422
41067030104,3047,1483,848,507,22,6,19,0,2158,133,14,239,104,399
41067030105,1950,838,729,261,11,6,3,0,1287,165,20,167,77,234
41067030106,3207,1490,901,592,22,3,10,0,2277,150,11,301,133,335
41067030200,5247,2453,1403,1033,29,8,18,0,3979,255,35,226,101,651
41067030300,3859,1945,900,788,25,13,16,0,3063,145,0,138,90,423
41067030401,3505,1677,972,671,20,8,9,0,2523,275,11,175,112,409
41067030402,3487,1743,902,612,20,11,16,0,2617,180,20,126,94,450
41067030501,4020,2062,1067,648,27,12,16,0,3044,245,12,141,142,436
41067030502,3045,1526,905,427,19,9,12,0,2249,188,23,98,126,361
41067030600,4435,1891,1412,839,37,10,20,0,3349,260,16,181,147,482
41067030700,958,358,358,173,10,3,9,0,695,109,4,42,30,78
41067030801,5010,2065,1666,936,39,12,27,0,3741,409,18,185,122,535
41067030803,4887,1956,1318,1295,34,7,12,0,3727,299,19,249,110,483
41067030805,3027,1269,946,611,28,8,9,0,2392,199,9,75,52,300
41067030806,1940,810,548,459,21,5,8,0,1425,158,2,106,59,190
41067030900,3867,1489,1545,573,36,9,23,0,2626,521,44,134,140,402
41067031005,3463,1444,1237,550,29,6,14,0,2263,508,13,176,167,336
41067031007,2189,907,639,502,15,5,14,0,1637,119,4,137,70,222
41067031008,3360,1511,1069,573,29,12,19,0,2398,314,28,150,121,349
41067031009,3747,1600,1179,755,30,8,19,0,2686,252,8,224,170,407
41067031010,1728,720,462,461,6,2,1,0,1244,91,0,126,69,198
41067031011,2141,887,834,284,21,4,12,0,1409,277,30,88,102,235
41067031012,2197,865,782,395,23,7,14,0,1513,228,10,109,98,239
41067031100,1759,721,693,209,17,8,11,0,1161,281,8,74,65,170
41067031201,1919,855,663,291,14,4,7,0,1298,274,12,104,47,184
41067031202,2372,1012,919,310,13,6,10,0,1542,313,37,187,66,227
41067031301,1906,858,699,233,19,4,13,0,1298,194,14,114,69,217
41067031302,2465,1055,972,276,24,9,13,0,1619,402,10,112,84,238
41067031402,1762,689,778,153,24,7,5,0,1148,268,20,71,71,184
41067031403,3551,1506,1253,573,31,13,15,0,2491,398,11,201,116,334
41067031404,3924,1783,1277,612,36,14,17,0,2756,421,22,219,96,410
41067031504,5061,1939,1696,1128,45,10,29,0,3805,327,11,297,126,495
41067031506,2741,1182,819,557,21,5,8,0,2022,180,2,178,96,263
41067031507,3752,1548,1156,834,25,8,14,0,2634,191,5,365,133,424
41067031509,4467,1572,1967,676,32,9,14,0,2412,381,41,946,206,481
41067031511,2347,943,771,514,14,6,8,0,1573,190,7,245,105,227
41067031514,4812,1851,1615,1086,15,4,15,0,3011,289,23,800,203,486
41067031515,3579,1473,1194,722,7,4,10,0,2262,134,3,726,157,297
41067031516,2582,1068,901,450,23,5,10,0,1798,140,4,290,79,271
41067031517,2750,1045,1035,520,18,7,8,0,1748,229,12,376,120,265
41067031518,2095,790,806,384,12,1,7,0,1285,106,6,369,94,235
41067031519,4733,1795,1777,950,18,2,9,0,2561,198,17,1263,217,477
41067031520,3630,1327,1680,477,17,4,7,0,1454,160,4,1379,265,368
41067031606,4236,1531,1748,675,45,17,13,0,2608,676,75,335,175,367
41067031612,2682,1071,1127,308,25,4,12,0,1623,343,31,265,121,299
41067031614,3414,1204,1430,579,21,10,10,0,1902,526,21,488,142,335
41067031615,3571,1287,1367,711,40,6,11,0,2357,588,8,228,84,306
41067031616,910,317,393,128,5,1,2,0,610,114,5,65,28,88
41067031617,2404,838,1142,252,23,10,6,0,1559,346,25,121,76,277
41067031618,3228,1255,1243,517,32,10,16,0,2092,402,22,280,124,308
41067031619,2502,977,1004,373,30,6,8,0,1375,515,14,269,104,225
41067031620,5631,2204,2199,858,53,23,25,0,3620,672,118,410,216,595
41067031621,2717,1059,968,565,16,1,10,0,1818,206,18,357,61,257
41067031622,1760,697,668,282,15,6,9,0,985,161,22,298,105,189
41067031623,1736,702,746,180,12,6,8,0,1012,266,73,114,78,193
41067031624,2949,1139,1170,462,26,5,15,0,1862,473,20,204,112,278
41067031625,1980,705,879,248,28,6,11,0,1265,263,22,150,67,213
41067031626,954,348,448,82,8,2,4,0,546,143,28,59,82,96
41067031703,3479,1274,1337,663,26,4,26,0,2324,552,15,197,98,293
41067031705,3154,1150,1342,449,31,5,15,0,1908,529,33,224,133,327
41067031706,3315,1193,1479,432,34,13,20,0,1928,590,44,244,194,315
41067031707,3770,1426,1307,823,32,3,11,0,2602,426,35,256,112,339
41067031708,2269,792,908,414,15,4,16,0,1542,365,6,85,54,217
41067031804,4360,1523,1608,960,36,4,12,0,2770,513,13,450,180,434
41067031806,4160,1673,1373,870,26,4,14,0,2784,402,33,271,211,459
41067031807,2789,1258,831,566,18,7,6,0,1984,204,16,188,109,288
41067031813,4816,1925,1592,1020,24,8,12,0,3178,277,16,585,245,515
41067031814,3392,1308,1066,816,27,9,9,0,2202,225,6,398,226,335
41067031816,2984,1190,983,639,27,9,19,0,2106,315,11,180,98,274
41067031817,2597,945,876,636,9,3,12,0,1670,165,15,310,181,256
41067031818,2062,781,828,302,22,6,14,0,1404,251,17,79,85,226
41067031819,1659,603,605,331,10,7,9,0,1053,114,5,200,83,204
41067031820,2318,902,825,445,11,6,3,0,1557,144,17,198,160,242
41067031821,2473,1027,811,505,21,3,5,0,1623,117,14,285,161,273
41067031904,2225,876,636,586,14,0,10,0,1733,158,9,90,51,184
41067031909,4070,1535,1398,881,27,7,18,0,2606,288,18,443,290,425
41067031911,3756,1532,1189,777,31,12,8,0,2712,251,7,251,133,402
41067031912,3391,1324,1036,788,29,11,12,0,2488,252,12,183,95,361
41067031913,1550,586,491,376,18,2,4,0,1067,140,6,121,74,142
41067031914,3795,1537,979,1038,23,2,18,0,3026,246,3,98,78,344
