FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31055000700,632,55,460,109,7,1,0,90,38,476,9,4,15
31055000800,1164,95,836,220,13,0,0,194,66,827,25,19,33
31055001100,1285,107,899,262,17,0,0,237,71,874,12,52,39
31055001200,1611,137,1136,323,15,0,0,318,86,1079,39,18,71
31055001600,458,95,225,124,14,0,0,303,42,10,42,10,51
31055001800,2271,474,1106,637,53,1,0,1692,119,88,60,37,275
31055001900,737,123,355,238,21,0,0,450,87,103,22,9,66
31055002000,1037,173,562,275,27,0,0,410,536,4,7,11,69
31055002100,1041,211,530,281,18,1,0,624,218,83,20,12,84
31055002200,664,146,327,170,19,2,0,506,82,1,6,11,58
31055002300,1141,309,507,300,25,0,0,794,208,11,16,13,99
31055002400,1212,232,649,300,30,1,0,622,440,20,13,13,104
31055002500,1075,273,497,279,24,2,0,571,384,14,8,10,88
31055002600,747,157,391,182,17,0,0,320,353,7,10,8,49
31055002700,867,126,481,232,27,1,0,335,468,8,3,7,46
31055002800,1104,193,586,304,21,0,0,417,589,7,2,18,71
31055002900,1647,243,956,426,22,0,0,521,736,237,29,37,87
31055003000,2913,645,1499,710,58,1,0,1382,1190,18,19,51,253
31055003100,1592,347,822,390,33,0,0,805,511,61,12,28,175
31055003200,720,122,403,177,18,0,0,265,378,33,4,6,34
31055003300,707,120,368,207,12,0,0,342,272,11,5,19,58
31055003401,1833,429,876,494,33,1,0,1238,298,30,21,29,217
31055003402,1505,356,729,387,30,3,0,1111,172,17,8,26,171
31055003500,2624,776,1149,650,49,0,0,1922,265,40,19,53,325
31055003600,2792,695,1309,733,54,1,0,2251,116,11,30,57,327
31055003700,1724,455,839,398,31,1,0,1405,76,1,10,30,202
31055003800,1825,419,906,459,41,0,0,1300,181,94,19,35,196
31055003900,805,133,437,205,29,1,0,484,194,35,17,11,64
31055004000,1583,307,803,439,33,1,0,1119,121,120,36,27,160
31055004200,648,124,347,161,16,0,0,471,71,26,4,13,63
31055004300,1490,289,804,367,28,2,0,1090,97,42,33,45,183
31055004400,828,187,395,219,27,0,0,663,46,3,8,18,90
31055004500,2197,548,1067,546,35,1,0,1774,84,8,27,41,263
31055004600,1558,386,783,367,22,0,0,1229,38,6,22,45,218
31055004700,1895,592,883,404,16,0,0,1499,53,22,58,28,235
31055004800,2513,467,1433,578,35,0,0,1981,87,104,39,52,250
31055004900,2067,382,1084,560,36,5,0,1390,113,277,30,64,193
31055005000,1779,338,954,456,31,0,0,1254,140,128,33,20,204
31055005100,1135,156,670,283,26,0,0,549,99,364,13,29,81
31055005200,669,55,475,131,8,0,0,191,46,371,20,13,28
31055005300,1158,113,813,217,15,0,0,281,104,686,22,5,60
31055005400,1552,211,897,404,39,1,0,587,123,678,34,18,112
31055005500,3459,766,1749,880,63,1,0,2794,99,79,61,67,359
31055005600,2442,673,1089,630,49,1,0,1873,112,127,26,34,270
31055005700,2425,473,1256,656,38,2,0,1608,126,398,38,31,224
31055005800,2270,385,1284,564,37,0,0,1236,125,639,56,28,186
31055005901,1231,113,844,253,21,0,0,284,60,823,14,7,43
31055005902,1240,93,898,235,14,0,0,220,73,891,13,13,30
31055006000,2074,243,1333,464,33,1,0,507,139,1300,25,15,88
31055006101,1309,124,877,299,9,0,0,309,79,829,31,11,50
31055006102,2165,265,1394,468,36,2,0,670,123,1222,42,13,95
31055006202,2761,539,1468,693,59,2,0,1547,118,841,22,35,198
31055006301,1517,272,917,310,18,0,0,608,28,776,19,8,78
31055006302,2166,248,1479,417,22,0,0,566,73,1355,55,19,98
31055006303,1408,260,784,337,27,0,0,730,62,473,41,9,93
31055006400,3043,829,1389,769,56,0,0,2358,172,68,38,47,360
31055006503,1777,609,711,425,32,0,0,1366,73,88,24,14,212
31055006504,2225,815,840,546,23,1,0,1770,76,97,20,27,235
31055006505,1202,393,589,212,8,0,0,806,39,222,23,10,102
31055006506,1941,395,1108,410,27,1,0,878,54,788,65,16,140
31055006603,1327,345,590,352,36,4,0,895,47,205,16,23,141
31055006604,2425,739,1020,621,45,0,0,1905,84,72,28,34,302
31055006605,1936,623,823,454,35,1,0,1546,68,29,26,35,232
31055006606,1620,501,666,409,43,1,0,1217,58,96,40,38,171
31055006701,2802,1141,1008,625,28,0,0,2250,80,18,53,55,346
31055006703,1996,839,690,440,26,1,0,1606,76,20,15,27,252
31055006704,1363,648,421,286,7,1,0,1096,30,3,20,36,178
31055006803,1531,674,511,333,12,1,0,1207,43,15,17,32,217
31055006804,1266,548,439,269,10,0,0,1002,28,0,29,37,170
31055006805,2404,880,954,537,33,0,0,1981,63,10,29,55,266
31055006806,1338,419,597,304,18,0,0,1013,54,57,18,35,161
31055006903,1607,654,573,352,28,0,0,1295,63,13,16,23,197
31055006904,2842,1058,1049,684,49,2,0,2310,89,13,31,45,354
31055006905,1122,376,426,298,22,0,0,917,50,7,15,22,111
31055006906,2102,747,836,480,37,2,0,1665,109,10,11,47,260
31055007001,2015,503,969,502,41,0,0,1416,166,83,43,47,260
31055007002,2104,712,874,484,34,0,0,1530,215,18,16,53,272
31055007003,1174,331,512,312,19,0,0,843,200,4,14,14,99
31055007101,1611,463,724,397,27,0,0,1026,361,17,14,22,171
31055007102,1987,599,864,494,29,1,0,1261,392,5,22,39,268
31055007303,2414,1099,773,504,38,0,0,2024,39,10,25,31,285
31055007304,1214,429,507,261,17,0,0,984,36,71,10,15,98
31055007309,2640,861,1034,696,48,1,0,1913,152,193,49,40,293
31055007310,1608,484,666,425,33,0,0,1198,68,119,14,34,175
31055007311,1715,526,767,398,24,0,0,1127,72,273,47,59,137
31055007312,1138,364,497,258,19,0,0,783,46,172,8,19,110
31055007314,2854,1282,784,746,42,0,0,2276,107,54,58,32,327
31055007315,3846,1671,1229,885,61,0,0,3033,103,39,98,76,497
31055007316,2543,1081,841,590,31,0,0,2030,89,44,64,42,274
31055007317,3239,1442,947,796,53,1,0,2571,106,100,30,34,398
31055007318,6763,3427,1546,1699,90,1,0,5522,131,17,117,100,876
31055007319,2948,741,1425,735,45,2,0,1652,186,591,153,42,324
31055007320,1990,563,906,491,30,0,0,1210,110,380,59,27,204
31055007406,3473,1394,1149,863,66,1,0,2774,132,6,47,74,440
31055007407,2139,832,775,496,35,1,0,1685,95,18,34,24,283
31055007408,2604,954,906,683,60,1,0,2007,151,39,26,36,345
31055007409,1615,663,533,390,29,0,0,1240,103,10,23,32,207
31055007424,1807,596,774,396,40,1,0,1400,79,100,27,30,171
31055007429,2427,1195,648,557,27,0,0,1948,76,5,46,35,317
31055007431,3247,1500,1012,699,35,1,0,2640,81,45,57,42,382
31055007432,1824,595,710,494,24,1,0,1429,118,53,20,27,177
31055007433,2682,921,1051,659,51,0,0,2051,93,170,32,34,302
31055007434,1765,563,701,464,37,0,0,1282,84,199,12,16,172
31055007435,2168,726,845,554,43,0,0,1660,106,89,32,27,254
31055007436,2578,807,1114,615,41,1,0,1897,97,243,33,45,263
31055007438,1473,719,409,323,21,1,0,1188,43,4,18,28,192
31055007439,3102,1223,1068,751,58,2,0,2481,115,39,73,49,345
31055007440,1136,307,510,294,23,2,0,824,54,75,20,32,131
31055007441,1913,914,530,437,32,0,0,1496,50,6,84,45,232
31055007442,3467,1601,1041,781,44,0,0,2818,105,13,68,53,410
31055007443,2477,1106,794,543,34,0,0,1952,56,24,31,76,338
