FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
04013050701,3465,1064,1068,1186,27,3,2,0,1807,1260,85,33,36,244
04013050702,3092,930,925,1096,26,0,0,0,1577,1182,62,29,35,207
04013060801,2469,493,1026,852,17,3,3,0,872,1374,61,4,18,140
04013060802,1641,460,539,564,19,0,0,0,846,553,31,41,31,139
04013060901,2451,662,753,931,31,0,0,0,1304,833,70,31,48,165
04013060902,1659,215,852,543,6,1,0,0,363,1180,28,9,14,65
04013060903,2375,503,919,836,31,5,0,0,970,1121,58,21,45,160
04013060904,1654,340,603,632,17,3,0,0,674,774,54,16,24,112
04013061010,4920,2247,1255,1160,50,9,4,0,3558,669,70,124,91,408
04013061011,4498,1397,1485,1385,52,3,1,0,2400,1322,177,170,82,347
04013061013,3193,980,1093,979,31,2,1,0,1629,969,118,168,52,257
04013061014,3149,824,1156,1016,28,1,2,0,1506,1160,157,74,60,192
04013061015,3670,1198,1291,1001,24,3,2,0,1987,1165,108,81,76,253
04013061017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04013061018,4482,2209,1047,888,7,0,2,0,3631,220,27,53,56,495
04013061020,2599,1042,792,635,25,3,0,0,1628,613,42,73,44,199
04013061021,1200,433,353,356,12,0,0,0,585,346,20,73,48,128
04013061024,2031,641,654,656,21,1,0,0,1051,719,40,28,33,160
04013061026,3429,1460,770,1056,25,2,2,0,2387,548,49,49,50,346
04013061027,3339,1346,835,981,28,3,1,0,2317,547,73,30,64,308
04013061028,1707,676,453,485,17,2,1,0,1131,257,46,32,43,198
04013061029,3051,1163,825,890,24,4,1,0,2119,505,51,26,58,292
04013061031,4103,1777,935,1197,32,4,0,0,2772,713,65,63,82,408
04013061032,3521,1421,891,1045,34,4,0,0,2355,654,51,63,82,316
04013061033,3577,1328,920,1153,37,3,0,0,2413,618,44,50,102,350
04013061034,3921,1496,1033,1207,53,1,0,0,2509,730,108,91,84,399
04013061035,4180,1541,1150,1307,50,1,1,0,2730,740,94,85,127,404
04013061036,3069,1285,801,864,21,0,0,0,2010,535,72,77,79,296
04013061037,4323,1646,1157,1339,42,3,0,0,2920,768,49,72,102,412
04013061038,2838,1091,716,892,42,2,2,0,1871,530,64,54,63,256
04013061039,3538,1493,912,988,34,1,0,0,2251,670,58,110,102,347
04013061040,2326,702,737,776,26,3,3,0,1273,697,64,39,46,207
04013061041,2275,640,714,804,30,3,1,0,1161,821,49,34,38,172
04013061042,1127,404,312,345,8,0,0,0,728,254,28,4,14,99
04013061043,1524,457,499,510,16,1,1,0,747,605,28,19,24,101
04013061044,6043,2768,1269,1738,65,5,2,0,4080,1046,106,90,86,635
04013061045,5505,2842,1121,1257,49,2,0,0,3847,988,46,101,75,448
04013061046,3090,934,1063,969,26,3,0,0,1638,972,159,45,56,220
