GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37109071202,3193,467,1162,1541,21,0,0,0,2771,75,80,32,29,206
37109071203,4545,558,1630,2318,32,0,0,0,3823,144,105,38,63,372
37013930101,2115,668,505,934,8,0,0,0,1554,47,410,6,2,96
37013930102,1187,571,257,355,2,1,0,0,610,29,502,0,6,40
37013930200,3898,1261,1157,1462,15,0,0,0,2794,123,833,11,14,123
37013930300,2528,1307,703,503,12,0,0,0,1126,71,1231,8,11,81
37013930400,3365,1533,940,869,17,2,0,0,1803,122,1298,16,20,106
37013930501,2803,932,832,1026,11,1,0,0,2072,121,472,8,9,121
37013930502,2209,537,651,1007,10,2,0,0,1767,78,264,5,8,87
37013930600,2384,398,786,1194,4,1,0,0,2171,44,41,9,16,103
37013930700,2119,518,649,943,7,0,0,0,1841,33,130,7,14,94
37013930800,1356,641,330,383,2,0,0,0,742,24,533,4,13,40
37013930900,3196,937,988,1261,8,0,0,0,2407,41,561,22,24,141
37013931001,1514,463,436,608,4,2,0,0,1034,74,326,2,6,72
37013931002,1932,640,583,701,7,1,0,0,1288,55,506,1,7,75
37055970101,3753,887,1530,1311,25,0,0,0,3320,79,10,30,37,277
37055970102,2767,616,1122,1004,21,1,0,0,2439,66,18,16,36,192
37055970200,3804,890,1614,1253,33,7,0,0,3249,124,34,31,68,298
37055970301,2896,679,1178,1014,23,1,0,0,2509,79,15,22,38,233
37055970302,1936,449,874,593,16,3,0,0,1601,72,23,18,38,184
37055970400,2412,608,1010,783,8,3,0,0,2135,53,16,10,16,182
37055970501,636,201,220,211,4,0,0,0,567,16,5,1,1,46
37055970502,3552,929,1300,1289,29,4,0,0,3143,90,25,19,37,238
37055970601,4282,1427,1527,1308,17,2,0,0,3410,139,358,25,39,311
37055970602,1102,292,350,450,8,1,0,0,929,29,5,8,8,123
37055990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37055990200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
