GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
01081040201,1549,604,480,465,0,0,1135,50,216,22,19,107
01081040202,2171,1213,774,184,0,0,1586,57,310,58,22,138
01081040300,2310,1084,746,480,0,0,1715,41,332,31,18,173
01081040401,1824,601,800,423,0,0,1078,71,480,45,24,126
01081040402,1624,1008,517,99,0,0,1351,37,76,29,28,103
01081040403,1518,908,501,109,0,0,1206,20,125,32,29,106
01081040501,4860,3617,1127,116,0,0,3987,68,287,197,60,261
01081040502,2683,1320,1176,187,0,0,1558,78,746,118,43,140
01081040602,4984,2152,2528,304,0,0,2570,85,1881,155,68,225
01081040603,965,342,444,179,0,0,527,32,340,7,7,52
01081040605,894,425,185,284,0,0,735,25,67,5,10,52
01081040606,1602,499,646,457,0,0,991,69,361,35,28,118
01081040607,745,336,274,135,0,0,508,32,135,15,8,47
01081040700,1774,774,409,591,0,0,1310,46,223,15,12,168
01081040801,1006,373,199,434,0,0,764,25,88,16,12,101
01081040802,800,334,156,310,0,0,638,18,57,12,8,67
01081040901,2815,1364,1196,255,0,0,1937,56,553,67,31,171
01081040903,1121,312,561,248,0,0,591,27,412,18,17,56
01081040904,2597,1130,922,545,0,0,1763,88,495,56,25,170
01081041001,4442,3013,1269,160,0,0,3314,105,446,212,73,292
01081041002,3113,1269,1641,203,0,0,1478,48,1431,12,11,133
01081041101,1067,462,550,55,0,0,549,20,442,10,11,35
01081041102,2146,949,1001,196,0,0,1244,57,640,76,30,99
01081041103,650,257,363,30,0,0,284,59,264,10,4,29
01081041104,2622,1624,848,150,0,0,1792,40,607,17,8,158
01081041200,3867,2701,1031,135,0,0,3036,45,568,45,18,155
01081041300,2688,1365,1200,123,0,0,1612,51,840,37,13,135
01081041400,2527,247,2250,30,0,0,242,21,2235,4,4,21
01081041600,2717,482,2168,67,0,0,550,38,2042,34,8,45
01081041701,2330,1051,1175,104,0,0,1180,54,913,68,15,100
01081041702,2190,1294,753,143,0,0,1461,43,566,34,9,77
01081041703,3509,1880,1449,180,0,0,2072,68,1165,53,7,144
01081041801,1855,1304,455,96,0,0,1417,35,312,10,5,76
01081041802,1544,958,461,125,0,0,1091,26,360,6,1,60
01081041803,1790,1493,188,109,0,0,1600,27,59,10,6,88
01081041901,1590,1222,276,92,0,0,1331,28,131,12,13,75
01081041902,2137,1470,531,136,0,0,1623,55,313,17,8,121
01081041903,2420,1759,529,132,0,0,1931,61,287,12,18,111
01081042002,5295,3400,1609,286,0,0,3780,207,970,51,41,246
01081042003,2301,1486,640,175,0,0,1681,102,354,11,26,127
01081042005,2214,1407,648,159,0,0,1548,66,470,6,17,107
01081042006,3064,1932,915,217,0,0,2166,100,606,27,17,148
01081042007,1985,1240,621,124,0,0,1371,101,408,11,13,81
01081042008,3377,1739,1427,211,0,0,1984,179,1000,21,20,173
01081042009,680,424,218,38,0,0,488,23,127,7,4,31
01081042101,2910,1691,1102,117,0,0,1890,42,836,21,19,102
01081042103,1964,1235,612,117,0,0,1349,51,457,8,9,90
01081042104,4474,3028,1248,198,0,0,3308,47,815,53,31,220
01013952700,1396,695,669,32,0,0,732,6,593,20,4,41
01013952800,1052,642,383,27,0,0,716,6,300,1,0,29
01013952900,1468,539,909,20,0,0,580,15,819,17,1,36
01013953000,896,448,417,31,0,0,516,4,351,1,3,21
01013953100,1941,374,1525,42,0,0,416,10,1483,0,3,29
01013953200,2797,1579,1162,56,0,0,1669,19,1031,5,11,62
01013953300,1267,967,255,45,0,0,1027,7,162,2,5,64
01013953400,2058,758,1254,46,0,0,824,15,1168,3,5,43
01013953500,1064,707,327,30,0,0,799,5,239,4,2,15
01131034700,1117,74,1039,4,0,0,87,4,1014,0,4,8
01131034801,1556,225,1327,4,0,0,282,3,1256,0,4,11
01131034802,2138,584,1496,58,0,0,974,9,1058,6,10,81
01131035100,2939,462,2435,42,0,0,622,7,2246,4,5,55
01131035200,1255,192,1055,8,0,0,279,0,961,0,2,13
01083020101,2933,1683,440,810,0,0,2548,68,154,15,19,129
01083020103,1974,996,286,692,0,0,1746,40,49,18,16,105
01083020104,2741,1540,348,853,0,0,2468,52,48,25,14,134
01083020201,3048,1415,627,1006,0,0,2544,140,203,8,16,137
01083020202,3520,1944,449,1127,0,0,3113,62,118,19,14,194
01083020300,2696,1766,277,653,0,0,2466,34,35,10,11,140
01083020402,4040,2130,809,1101,0,0,3300,157,331,23,24,205
01083020403,2136,1131,355,650,0,0,1868,51,103,6,22,86
01083020404,2057,1020,385,652,0,0,1778,47,133,15,14,70
01083020500,1636,678,579,379,0,0,1146,42,357,12,6,73
01083020600,2206,952,670,584,0,0,1640,125,306,9,12,114
01083020700,1389,395,520,474,0,0,943,48,312,4,14,68
01083020803,3878,1604,1443,831,0,0,2526,127,939,40,50,196
01083020804,3938,2103,921,914,0,0,3113,87,429,24,46,239
01083020805,1945,967,387,591,0,0,1562,56,170,11,16,130
01083020806,3973,2350,773,850,0,0,3271,100,320,30,30,222
01083020900,2993,1640,771,582,0,0,2285,76,384,51,37,160
01083021000,1563,388,936,239,0,0,677,58,773,5,6,44
01083021101,2318,927,899,492,0,0,1446,112,653,10,10,87
01083021102,2680,1441,770,469,0,0,1926,74,507,23,10,140
01083021201,5132,2220,1861,1051,0,0,3444,203,842,228,114,301
01083021202,3406,1574,973,859,0,0,2467,126,540,37,36,200
01083021203,4932,1478,2284,1170,0,0,2787,241,1252,228,105,319
01045020000,654,324,145,185,0,0,398,95,110,5,8,38
01045020100,3108,2530,402,176,0,0,2539,52,305,30,26,156
01045020200,998,871,64,63,0,0,883,14,39,6,5,51
01045020300,1786,1430,264,92,0,0,1455,20,198,4,13,96
01045020400,1692,1326,287,79,0,0,1381,35,182,10,11,73
01045020500,1329,865,392,72,0,0,900,37,316,2,8,66
01045020700,2759,1158,1443,158,0,0,1226,53,1368,19,13,80
01045020801,2239,1226,865,148,0,0,1253,99,747,15,15,110
01045020802,3004,1817,977,210,0,0,1894,101,792,32,26,159
01045021101,2577,1509,757,311,0,0,1578,208,589,45,23,134
01045021102,2650,1443,873,334,0,0,1545,218,683,46,20,138
01045021200,1870,1302,413,155,0,0,1339,114,310,22,14,71
01045021300,2983,2262,525,196,0,0,2297,76,406,19,11,174
01045021400,3396,2082,1037,277,0,0,2227,90,900,20,22,137
01093964001,2060,1085,203,772,0,0,1901,37,13,11,15,83
01093964002,945,529,88,328,0,0,897,14,1,2,4,27
01093964100,1772,1074,154,544,0,0,1657,27,5,3,3,77
01093964200,1055,734,101,220,0,0,957,16,44,0,5,33
01093964300,3186,1835,324,1027,0,0,2876,49,106,11,13,131
01093964401,2283,1359,278,646,0,0,2010,38,102,18,12,103
01093964402,1481,990,151,340,0,0,1314,26,50,4,5,82
01093964500,1436,828,108,500,0,0,1357,14,10,4,2,49
01093964600,2282,1362,339,581,0,0,1967,31,187,10,14,73
01093964701,1944,1144,265,535,0,0,1741,41,89,11,10,52
01093964702,2110,1285,233,592,0,0,1876,26,90,18,4,96
01067030100,1141,570,522,49,0,0,560,20,526,2,5,28
01067030200,2089,965,1071,53,0,0,1014,18,997,12,4,44
01067030300,2058,1474,496,88,0,0,1522,27,395,5,11,98
01067030400,1357,868,417,72,0,0,902,14,366,5,6,64
01067030500,5275,3748,1268,259,0,0,3902,64,1051,26,20,212
01067030600,1063,860,150,53,0,0,879,13,109,4,13,45
01101000100,516,146,341,29,0,0,237,12,234,5,7,21
01101000200,831,78,738,15,0,0,107,6,704,0,3,11
01101000300,896,99,785,12,0,0,112,2,770,2,1,9
01101000400,2295,602,1634,59,0,0,701,43,1488,6,7,50
01101000500,1540,550,944,46,0,0,730,50,699,7,13,41
01101000600,785,18,765,2,0,0,22,0,760,0,2,1
01101000700,834,99,719,16,0,0,158,5,657,0,1,13
01101000900,268,92,149,27,0,0,113,24,110,4,2,15
01101001000,1048,54,964,30,0,0,84,13,934,6,2,9
01101001100,2136,27,2107,2,0,0,19,2,2109,0,3,3
01101001200,910,10,900,0,0,0,6,1,901,0,1,1
01101001300,1594,343,1224,27,0,0,477,24,1007,9,14,63
01101001400,2386,1154,1125,107,0,0,1675,40,492,20,22,137
01101001500,3729,276,3424,29,0,0,373,28,3283,1,17,27
01101001600,2007,550,1401,56,0,0,665,29,1242,10,8,53
01101001700,3394,1721,1538,135,0,0,1955,64,1201,25,24,125
01101001800,2180,1123,984,73,0,0,1270,33,762,31,9,75
01101001900,2122,1316,741,65,0,0,1472,57,480,13,14,86
01101002000,3449,1707,1687,55,0,0,2016,48,1154,30,20,181
01101002100,2778,377,2379,22,0,0,460,23,2231,14,11,39
01101002201,2775,46,2723,6,0,0,50,9,2707,2,3,4
01101002202,800,15,782,3,0,0,18,1,780,1,0,0
01101002300,2122,10,2110,2,0,0,12,1,2105,2,1,1
01101002400,1435,31,1401,3,0,0,23,5,1386,14,5,2
01101002500,1317,249,1044,24,0,0,269,23,973,21,7,24
01101002600,4192,2584,1464,144,0,0,2817,78,1040,40,27,190
01101002700,3234,1932,1227,75,0,0,1991,59,1009,26,26,123
01101002800,3119,516,2584,19,0,0,581,25,2443,12,22,36
01101002901,1878,46,1825,7,0,0,53,6,1806,5,5,3
01101002902,2738,61,2668,9,0,0,60,11,2660,0,1,6
01101003000,1521,173,1329,19,0,0,201,15,1285,6,3,11
01101003100,2524,93,2430,1,0,0,107,8,2398,3,0,8
01101003200,3877,137,3731,9,0,0,171,20,3657,8,4,17
01101003301,2577,1241,1281,55,0,0,1344,35,1011,21,29,137
01101003303,2149,451,1681,17,0,0,494,25,1568,19,12,31
01101003304,2100,519,1546,35,0,0,575,31,1391,32,13,58
01101005101,2458,482,1937,39,0,0,503,34,1858,19,7,37
01101005102,3144,176,2948,20,0,0,206,15,2897,4,3,19
01101005301,149,48,84,17,0,0,62,13,61,1,0,12
01101005302,1138,364,748,26,0,0,389,51,662,9,4,23
01101005402,3438,733,2652,53,0,0,811,53,2474,26,14,60
01101005403,2080,494,1548,38,0,0,537,21,1420,40,21,41
01101005407,3428,1349,1954,125,0,0,1498,58,1577,140,32,123
01101005409,1446,447,981,18,0,0,489,29,860,19,11,38
01101005410,2900,554,2278,68,0,0,648,62,2051,35,24,80
01101005411,2415,1688,689,38,0,0,1745,45,361,82,21,161
01101005412,4365,2307,1963,95,0,0,2433,74,1482,121,63,192
01101005413,3325,1807,1472,46,0,0,1846,60,1169,93,44,113
01101005414,2539,570,1931,38,0,0,640,36,1776,32,8,47
01101005501,1420,291,1098,31,0,0,326,29,1012,13,6,34
01101005502,1634,489,1106,39,0,0,527,29,990,35,8,45
01101005503,4347,2421,1784,142,0,0,2571,70,1374,111,28,193
01101005504,1143,847,264,32,0,0,902,13,141,9,10,68
01101005604,2894,1562,1281,51,0,0,1625,38,1083,31,14,103
01101005605,2617,543,2040,34,0,0,564,42,1925,18,6,62
01101005606,2850,209,2613,28,0,0,266,27,2516,10,10,21
01101005607,2805,1183,1563,59,0,0,1296,76,882,322,97,132
01101005608,1141,704,410,27,0,0,765,14,250,47,8,57
01101005609,2777,502,2199,76,0,0,544,47,2010,69,38,69
01101005610,795,209,572,14,0,0,210,32,515,4,6,28
01101005611,2153,1210,897,46,0,0,1289,33,583,79,68,101
01101005612,1221,423,772,26,0,0,478,13,606,71,12,41
01101005613,2451,100,2327,24,0,0,116,58,2247,10,3,17
01101005614,1298,104,1182,12,0,0,133,30,1118,9,1,7
01101005700,1113,637,421,55,0,0,664,10,384,3,7,45
01101005800,1480,877,561,42,0,0,928,9,493,3,3,44
01101005902,2555,12,2543,0,0,0,18,5,2528,1,1,2
01101005903,1475,852,592,31,0,0,861,12,545,10,7,40
01101005904,1933,804,1068,61,0,0,858,17,986,11,12,49
01101006000,2125,929,1140,56,0,0,985,52,1001,12,3,72
01101006100,1814,25,1786,3,0,0,29,6,1775,0,1,3
01005950100,2350,973,1323,54,0,0,1099,33,1162,7,7,42
01005950200,1914,517,1368,29,0,0,578,12,1291,0,4,29
01005950300,1170,461,691,18,0,0,480,6,653,2,3,26
01005950400,1646,933,668,45,0,0,959,19,607,8,6,47
01005950500,2272,1488,688,96,0,0,1614,19,518,15,14,92
01005950600,1384,653,701,30,0,0,707,17,620,8,5,27
01005950700,1375,540,795,40,0,0,602,18,701,4,4,46
01005950800,1560,634,880,46,0,0,752,13,738,6,4,47
01005950900,2801,1014,1738,49,0,0,1103,40,1571,12,7,68
01037961000,2342,1052,1225,65,0,0,1018,17,1242,1,7,57
01037961100,1888,1629,153,106,0,0,1678,12,76,3,9,110
01037961200,2109,1533,512,64,0,0,1523,27,416,8,12,123
01003010100,2951,2131,677,143,0,0,2243,19,516,9,51,113
01003010200,1886,1511,212,163,0,0,1602,20,84,12,47,121
01003010300,5829,4238,1300,291,0,0,4435,96,924,30,45,299
01003010400,4025,3190,577,258,0,0,3368,76,282,24,57,218
01003010500,3167,2366,622,179,0,0,2555,44,369,27,44,128
01003010600,2248,877,1250,121,0,0,988,20,1159,8,15,58
01003010704,3656,2595,806,255,0,0,2938,117,276,29,36,260
01003010706,3894,3052,663,179,0,0,3182,126,201,58,50,277
01003010707,3565,2798,612,155,0,0,3020,124,111,41,33,236
01003010708,6604,4732,1472,400,0,0,5116,270,599,93,91,435
01003010709,7796,6091,1377,328,0,0,6278,242,536,84,78,578
01003010710,4808,3187,1292,329,0,0,3546,166,690,50,36,320
01003010711,2842,1943,708,191,0,0,2164,117,295,25,29,212
01003010800,5764,3437,2040,287,0,0,3868,133,1289,39,48,387
01003010903,3883,2857,755,271,0,0,3003,108,432,24,41,275
01003010904,5348,4428,560,360,0,0,4669,156,95,30,85,313
01003010906,2929,2320,417,192,0,0,2461,130,110,20,24,184
01003010907,2787,2238,351,198,0,0,2362,76,76,18,26,229
01003010908,3403,2536,593,274,0,0,2747,153,227,18,41,217
01003011000,3525,2744,534,247,0,0,2888,145,191,10,40,251
01003011102,3855,3093,574,188,0,0,3243,141,142,32,31,266
01003011103,2525,2066,340,119,0,0,2178,67,61,24,24,171
01003011104,6406,5081,1055,270,0,0,5475,158,205,51,53,464
01003011201,3806,2853,777,176,0,0,3286,73,53,34,32,328
01003011202,5328,3440,1681,207,0,0,3944,90,818,24,59,393
01003011300,3920,3189,572,159,0,0,3344,82,151,26,40,277
01003011409,3633,2491,926,216,0,0,2733,116,523,15,36,210
01003011410,4657,3682,687,288,0,0,3941,212,96,24,60,324
01003011411,3160,2432,494,234,0,0,2690,134,63,28,36,209
01003011412,2531,1939,366,226,0,0,2159,84,55,13,33,187
01003011413,2688,2115,407,166,0,0,2303,82,43,26,35,199
01003011414,3254,2787,301,166,0,0,2916,54,13,21,34,216
01003011415,2019,1765,170,84,0,0,1812,29,7,17,17,137
01003011416,1502,1241,192,69,0,0,1323,24,21,12,15,107
01003011417,2064,1699,222,143,0,0,1822,51,14,16,15,146
01003011418,1347,1042,194,111,0,0,1158,34,22,13,10,110
01003011419,4111,3255,632,224,0,0,3572,103,39,30,42,325
01003011501,4567,3434,840,293,0,0,3726,146,268,24,59,344
01003011503,5629,3910,1297,422,0,0,4283,230,570,50,87,409
01003011504,4281,2943,1124,214,0,0,3210,125,604,38,32,272
01003011601,5102,4269,504,329,0,0,4400,125,68,20,59,430
01003011603,2503,1963,416,124,0,0,2075,48,120,14,40,206
01003011604,2289,1913,297,79,0,0,1996,63,12,13,18,187
01003990000,2,2,0,0,0,0,2,0,0,0,0,0
01041963400,1393,702,640,51,0,0,774,10,550,1,7,51
01041963500,1343,1020,264,59,0,0,1096,11,189,3,8,36
01041963600,2230,1480,688,62,0,0,1535,16,563,10,9,97
01041963700,2659,1785,764,110,0,0,1907,37,583,19,14,99
01041963800,1129,725,364,40,0,0,765,16,304,5,2,37
01041963900,1170,789,332,49,0,0,866,12,238,3,10,41
01029959500,1718,1471,129,118,0,0,1558,17,3,8,5,127
01029959600,2695,2160,374,161,0,0,2341,28,174,11,11,130
01029959700,2614,2157,319,138,0,0,2282,53,131,10,25,113
01029959800,3236,2780,248,208,0,0,3024,31,8,3,8,162
01123961900,1781,1466,252,63,0,0,1528,13,188,3,6,43
01123962000,3391,1698,1565,128,0,0,1789,24,1459,6,4,109
01123962100,2772,1186,1512,74,0,0,1305,29,1358,7,11,62
01123962200,3268,2146,999,123,0,0,2284,37,776,14,21,136
01123962301,1905,1417,404,84,0,0,1539,31,243,10,8,74
01123962302,2974,2005,839,130,0,0,2167,36,623,34,16,98
01123962400,3493,1921,1409,163,0,0,2057,41,1249,18,24,104
01123962501,3375,2765,483,127,0,0,2908,38,258,18,15,138
01123962502,2864,2386,385,93,0,0,2472,34,147,12,17,182
01123962600,1449,283,1143,23,0,0,296,10,1117,3,2,21
01123962701,1380,1128,174,78,0,0,1215,14,94,2,3,52
01123962702,2726,1650,964,112,0,0,1797,17,814,17,11,70
01079979100,1274,219,828,227,0,0,466,18,751,2,17,20
01079979201,1608,230,1163,215,0,0,503,17,1059,2,10,17
01079979202,1549,619,553,377,0,0,1094,32,354,2,26,41
01079979300,3450,1790,710,950,0,0,3088,38,47,12,141,124
01079979400,3273,1543,807,923,0,0,2591,50,438,20,68,106
01079979501,1876,933,259,684,0,0,1674,29,35,6,38,94
01079979502,2243,1210,282,751,0,0,2017,21,27,6,71,101
01079979600,3619,1977,477,1165,0,0,3230,76,66,17,86,144
01079979700,1384,667,212,505,0,0,1201,22,82,6,31,42
01079979800,2380,1449,326,605,0,0,2104,35,38,18,74,111
01079979900,1318,630,230,458,0,0,1175,7,36,6,49,45
