GEOID20,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
33011012101,3866,1484,1067,1315,0,0,3190,145,8,74,75,374
33011012102,2325,856,607,862,0,0,1950,80,8,31,32,224
33011012201,1328,492,414,422,0,0,1109,63,6,15,18,117
33011012202,3958,1419,1247,1292,0,0,3254,195,20,51,75,363
33011012301,3686,1507,955,1224,0,0,3005,150,8,90,58,375
33011012302,2894,1161,796,937,0,0,2381,116,0,37,52,308
33011013101,2708,1078,694,936,0,0,2286,82,3,19,48,270
33011013102,3733,1515,885,1333,0,0,3184,122,2,37,48,340
33011014101,2483,1004,742,737,0,0,2086,92,4,38,42,221
33011014102,1719,772,472,475,0,0,1412,61,3,35,35,173
33011014201,4463,1776,1190,1497,0,0,3758,145,7,67,70,416
33011014202,4768,1857,1364,1547,0,0,4020,138,8,60,103,439
33011014301,1581,622,409,550,0,0,1325,52,1,37,18,148
33011014302,4962,2056,1267,1639,0,0,4112,184,3,95,98,470
33011015100,4137,1401,1423,1313,0,0,3444,97,0,57,77,462
33011015200,4786,1743,1512,1531,0,0,3996,130,6,65,82,507
33011016100,2260,895,712,653,0,0,1935,65,3,29,27,201
33011016202,4006,1616,1001,1389,0,0,3405,113,15,41,41,391
33011016203,2005,802,617,586,0,0,1685,76,3,15,37,189
33011016204,2995,1205,921,869,0,0,2544,93,6,41,36,275
33011017101,2941,1214,773,954,0,0,2367,78,3,88,83,322
33011017102,3733,1593,1037,1103,0,0,3033,99,1,110,98,392
33011018001,1653,752,403,498,0,0,1427,42,4,23,18,139
33011018002,2293,1029,581,683,0,0,1956,57,0,34,28,218
33011018501,1147,508,302,337,0,0,1001,23,0,0,15,108
33011018502,1085,427,244,414,0,0,963,22,1,7,13,79
33011019000,2770,1175,830,765,0,0,2403,64,4,13,44,242
33011019501,1287,591,293,403,0,0,1155,16,1,14,8,93
33011019502,1998,828,603,567,0,0,1705,49,2,18,21,203
33011020000,4475,1483,1253,1739,0,0,3888,82,1,37,54,413
33011021001,3708,1490,815,1403,0,0,3280,74,0,20,53,281
33011021002,2674,1146,481,1047,0,0,2330,74,3,4,36,227
33011021500,3544,1397,940,1207,0,0,3144,53,3,18,35,291
33011022000,1166,470,328,368,0,0,1012,19,0,13,12,110
33011022501,1775,665,255,855,0,0,1497,41,0,4,10,223
33011022502,3268,1316,743,1209,0,0,2811,66,0,20,38,333
33011023001,3274,992,1644,638,0,0,2817,57,1,22,44,333
33011023002,2192,707,962,523,0,0,1873,42,9,19,21,228
33011024000,1401,546,537,318,0,0,1211,25,5,11,15,134
33011025000,1901,784,532,585,0,0,1645,30,1,6,13,206
33011025501,1928,779,505,644,0,0,1682,46,2,14,19,165
33011025502,2252,903,572,777,0,0,1993,37,2,22,13,185
33011200101,2198,1118,443,637,0,0,1751,98,3,66,46,234
33011200201,2118,1026,438,654,0,0,1716,101,1,30,37,233
33011200300,3439,1569,781,1089,0,0,2789,169,6,57,87,331
33011200400,1976,869,750,357,0,0,1495,132,15,39,70,225
33011200500,2502,1130,557,815,0,0,2086,117,1,43,54,201
33011980101,2,1,1,0,0,0,1,0,0,1,0,0
33005970100,3200,1414,929,857,0,0,2782,47,0,12,37,322
33005970200,2710,1120,1000,590,0,0,2389,28,2,16,40,235
33005970401,1984,752,794,438,0,0,1750,19,4,19,23,169
33005970402,2100,918,622,560,0,0,1856,24,2,10,31,177
33005970500,3780,1310,1270,1200,0,0,3313,69,2,39,36,321
33005970600,4699,1659,1106,1934,0,0,3986,103,17,40,52,501
33005970700,2611,1119,694,798,0,0,2298,31,1,15,28,238
33005970800,3093,1299,1034,760,0,0,2684,53,0,28,30,298
33005970901,3057,1240,973,844,0,0,2715,49,0,19,32,242
33005970902,1744,726,519,499,0,0,1569,24,0,8,19,124
33005971000,4148,1513,1678,957,0,0,3583,75,4,42,77,367
33005971100,4137,1633,1848,656,0,0,3519,93,9,50,53,413
33005971300,3828,1678,1637,513,0,0,3193,111,9,34,62,419
33005971402,3025,973,1417,635,0,0,2575,60,4,55,51,280
33005971403,3389,1514,1370,505,0,0,2822,85,11,30,67,374
33005971500,4160,1804,1404,952,0,0,3596,49,2,25,35,453
33005971600,2419,1166,752,501,0,0,2117,44,0,7,27,224
33005971700,2722,975,998,749,0,0,2419,42,4,14,17,226
33017080100,2630,856,1301,473,0,0,2183,47,11,55,46,288
33017080202,2945,1103,1308,534,0,0,2363,72,3,74,79,354
33017080203,4633,2132,1927,574,0,0,3671,138,17,135,115,557
33017080204,5205,2479,1989,737,0,0,4144,154,13,94,106,694
33017080500,4884,1900,1916,1068,0,0,4112,94,5,109,79,485
33017081101,2810,975,1146,689,0,0,2372,73,13,60,40,252
33017081102,1599,570,649,380,0,0,1358,25,1,26,17,172
33017081200,3740,1249,1463,1028,0,0,3148,102,16,71,59,344
33017081300,3893,1253,1901,739,0,0,3283,85,7,52,57,409
33017081400,1425,478,641,306,0,0,1188,40,3,26,27,141
33017081500,3480,1240,1619,621,0,0,2918,89,9,65,44,355
33017081600,4622,1785,1596,1241,0,0,3916,115,13,83,72,423
33017082000,2057,788,730,539,0,0,1808,32,2,11,10,194
33017083001,4700,1869,1831,1000,0,0,4059,128,8,55,58,392
33017083002,3191,1255,1150,786,0,0,2711,99,2,58,40,281
33017084100,3839,1465,1142,1232,0,0,3390,74,3,31,36,305
33017084201,2904,1161,892,851,0,0,2568,63,2,26,37,208
33017084202,2556,963,778,815,0,0,2311,39,1,17,24,164
33017084301,1988,839,628,521,0,0,1724,51,0,17,16,180
33017084302,2579,1038,880,661,0,0,2262,59,2,21,24,211
33017084400,2473,1155,762,556,0,0,2180,68,6,12,30,177
33017084500,2928,1112,831,985,0,0,2559,60,7,44,36,222
33017084600,2116,842,599,675,0,0,1880,48,1,13,12,162
33017085001,2825,1021,945,859,0,0,2424,62,4,18,27,290
33017085002,4348,1627,1400,1321,0,0,3766,71,12,37,49,413
33017086000,3266,1404,806,1056,0,0,2885,49,0,15,41,276
33017087001,2436,868,755,813,0,0,2164,43,2,25,9,193
33017087002,2048,787,501,760,0,0,1854,25,1,6,13,149
33017088000,3259,1173,883,1203,0,0,2944,56,2,15,30,212
33017088500,3446,1442,723,1281,0,0,3089,47,0,14,31,265
33003955101,1886,818,651,417,0,0,1629,28,1,9,26,193
33003955102,1696,700,554,442,0,0,1486,32,3,15,21,139
33003955301,2257,949,704,604,0,0,2021,30,0,19,15,172
33003955302,2264,1002,711,551,0,0,1951,46,1,32,36,198
33003955401,1764,735,555,474,0,0,1554,26,1,14,27,142
33003955402,1558,632,456,470,0,0,1361,19,5,18,15,140
33003955500,2208,967,620,621,0,0,1925,40,3,17,32,191
33003955601,2349,726,850,773,0,0,2082,23,0,13,18,213
33003955602,2001,749,641,611,0,0,1791,25,2,6,11,166
33003955801,1132,548,236,348,0,0,993,22,1,4,18,94
33003955802,1265,577,276,412,0,0,1132,19,0,7,13,94
33003955901,1633,626,358,649,0,0,1458,22,1,7,17,128
33003955902,1494,546,345,603,0,0,1322,30,0,9,11,122
33003956000,4645,1925,950,1770,0,0,4128,81,0,31,27,378
33003956101,2681,891,749,1041,0,0,2354,46,0,21,35,225
33003956102,2650,922,769,959,0,0,2320,43,0,20,28,239
33003956301,1749,670,402,677,0,0,1534,30,1,10,21,153
33003956302,2467,939,540,988,0,0,2148,47,0,9,47,216
33003956400,1963,706,435,822,0,0,1762,25,0,5,21,150
33013003001,3302,1223,890,1189,0,0,2755,99,11,34,62,341
33013003006,2382,843,662,877,0,0,2007,53,8,30,62,222
33013003100,2837,1090,850,897,0,0,2449,59,3,16,36,274
33013003201,3601,1372,1142,1087,0,0,3181,83,5,12,35,285
33013003202,1761,649,515,597,0,0,1530,21,5,17,19,169
33013030000,2224,809,506,909,0,0,1944,47,2,7,23,201
33013031001,3190,1102,976,1112,0,0,2723,53,1,34,54,325
33013031002,2982,1009,1056,917,0,0,2565,54,0,40,42,281
33013032100,3247,1007,1457,783,0,0,2767,45,8,43,58,326
33013032200,1955,759,820,376,0,0,1644,53,8,30,27,193
33013032300,1442,501,747,194,0,0,1232,30,2,18,24,136
33013032400,2701,936,1268,497,0,0,2246,69,9,36,44,297
33013032500,3357,1129,1528,700,0,0,2756,71,10,88,55,377
33013032600,1808,640,764,404,0,0,1490,24,9,29,30,226
33013032701,1213,466,452,295,0,0,1041,23,3,11,17,118
33013032706,2903,1168,1005,730,0,0,2462,101,14,34,42,250
33013032800,4204,1554,1521,1129,0,0,3649,73,2,69,67,344
33013032900,2470,770,1075,625,0,0,1965,75,15,117,45,253
33013033000,1718,664,425,629,0,0,1544,14,1,15,16,128
33013034000,3571,1398,804,1369,0,0,3174,51,0,16,43,287
