GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
51153901415,2685,1463,800,422,0,0,1674,292,72,197,171,279
51153901416,3210,1719,1019,472,0,0,1960,385,161,210,200,294
51153901417,2398,981,1015,402,0,0,1801,200,47,61,75,214
51153901418,1845,1172,253,420,0,0,871,327,247,119,116,165
51153901419,1447,906,143,398,0,0,592,353,194,88,116,104
51153901420,2884,1636,818,430,0,0,1639,351,170,230,250,244
51153901421,3168,1818,857,493,0,0,1791,321,113,362,300,281
51153901503,4600,1763,2219,618,0,0,3496,252,53,215,149,435
51153901504,3932,1767,1778,387,0,0,3025,158,34,231,117,367
51153901505,5381,2812,1906,663,0,0,3342,376,227,526,377,533
51153901506,3321,1854,763,704,0,0,1700,400,172,374,379,296
51153901507,1759,854,525,380,0,0,1118,212,63,134,95,137
51153901508,3837,2120,864,853,0,0,1947,398,263,461,458,310
51153901509,5083,2286,1950,847,0,0,3764,335,94,237,167,486
51153901510,4201,2115,1414,672,0,0,2625,327,119,449,293,388
51153901511,3709,1834,1481,394,0,0,2787,179,26,202,126,389
51153901601,1837,1122,425,290,0,0,934,570,41,85,75,132
51153901602,4036,2448,693,895,0,0,1899,1047,288,246,267,289
51153901702,1448,824,335,289,0,0,672,568,14,47,61,86
51153901703,1297,775,288,234,0,0,661,381,36,54,52,113
51153901704,2229,1570,278,381,0,0,895,770,187,119,122,136
51153901900,3754,2174,773,807,0,0,1524,1000,163,476,296,295
51153980100,3,0,1,2,0,0,3,0,0,0,0,0
51037930101,2013,783,777,453,0,0,1450,21,457,11,10,64
51037930102,1798,788,643,367,0,0,1081,22,583,12,25,75
51037930200,1881,877,732,272,0,0,1232,29,512,13,15,80
51037930300,2389,1177,816,396,0,0,1488,40,772,5,8,76
51800065100,1405,1189,122,94,0,0,162,31,1168,9,3,32
51800065200,2496,1256,638,602,0,0,1508,59,755,25,23,126
51800065301,986,490,249,247,0,0,548,13,365,8,7,45
51800065302,1062,887,102,73,0,0,224,23,768,3,12,32
51800065401,1475,1282,87,106,0,0,181,31,1226,6,3,28
51800065402,814,764,13,37,0,0,81,19,692,8,1,13
51800065500,1903,1473,111,319,0,0,153,28,1662,8,8,44
51800075103,1928,1180,156,592,0,0,410,94,1320,42,8,54
51800075104,2124,1056,701,367,0,0,1409,67,402,59,37,150
51800075105,2074,1016,770,288,0,0,1449,47,273,106,60,139
51800075106,3206,1917,699,590,0,0,1093,162,1718,43,43,147
51800075202,1070,542,374,154,0,0,489,49,449,15,8,60
51800075203,2601,1288,729,584,0,0,1501,139,727,37,50,147
51800075205,2800,1722,457,621,0,0,954,106,1540,42,29,129
51800075206,1644,956,232,456,0,0,453,95,993,20,10,73
51800075207,1382,593,600,189,0,0,1016,52,201,14,18,81
51800075208,2274,826,1133,315,0,0,1820,48,165,61,25,155
51800075301,1884,736,909,239,0,0,1487,53,148,40,36,120
51800075302,1979,760,866,353,0,0,1215,49,562,11,12,130
51800075401,1364,629,414,321,0,0,771,57,423,17,10,86
51800075402,2706,1409,570,727,0,0,1181,117,1162,46,38,162
51800075404,1007,400,444,163,0,0,807,24,112,4,10,50
51800075405,1769,534,948,287,0,0,1488,31,122,13,17,98
51800075406,2262,1282,400,580,0,0,715,91,1306,22,12,116
51800075407,1141,533,420,188,0,0,711,20,304,13,24,69
51800075502,2887,1592,781,514,0,0,1163,111,1420,38,30,125
51800075503,1899,916,577,406,0,0,1122,63,589,18,12,95
51800075504,1747,1130,241,376,0,0,570,53,1024,29,6,65
51800075601,2463,1678,218,567,0,0,270,49,2059,25,11,49
51800075602,1113,385,541,187,0,0,880,19,117,3,10,84
51800075701,1082,485,308,289,0,0,663,21,321,5,12,60
51800075702,2458,1073,869,516,0,0,1546,52,696,24,18,122
51800075703,1123,456,431,236,0,0,696,21,345,2,2,57
51800075801,2325,948,1006,371,0,0,1788,54,302,13,16,152
51800075802,1360,635,468,257,0,0,709,24,569,5,8,45
51800075803,1045,408,419,218,0,0,790,18,187,10,6,34
51063920102,2619,1080,1071,468,0,0,2355,40,37,16,14,157
51063920103,2640,1074,1047,519,0,0,2351,40,21,17,19,192
51063920104,2050,861,770,419,0,0,1776,54,75,11,13,121
51063920201,2351,803,1190,358,0,0,2166,20,16,12,5,132
51063920202,1414,609,544,261,0,0,1274,37,1,8,9,85
51019030101,5598,1315,3349,934,0,0,4921,106,87,64,66,354
51019030103,5003,1133,2907,963,0,0,4195,130,138,111,58,371
51019030104,4193,847,2315,1031,0,0,3568,123,128,53,35,286
51019030202,4337,735,2619,983,0,0,3717,60,252,35,29,244
51019030203,3805,766,2452,587,0,0,3343,51,67,69,36,239
51019030204,3343,530,2272,541,0,0,2927,62,84,27,24,219
51019030300,2673,457,1639,577,0,0,2290,37,196,17,16,117
51019030401,2194,444,1341,409,0,0,1972,22,67,12,23,98
51019030403,2385,423,1267,695,0,0,2125,33,54,17,11,145
51019030404,2423,489,1208,726,0,0,1967,32,273,10,10,131
51019030501,2887,430,1573,884,0,0,2552,40,96,13,14,172
51019030503,2033,507,1218,308,0,0,1803,29,8,12,21,160
51019030504,2276,469,1177,630,0,0,2032,36,35,12,14,147
51019030601,2538,478,1372,688,0,0,2258,40,52,8,17,163
51019030602,2546,465,1319,762,0,0,2291,49,13,15,6,172
51019030603,1907,343,964,600,0,0,1755,28,17,6,10,91
51019030604,1761,301,935,525,0,0,1615,15,10,13,5,103
51019030605,2258,367,1182,709,0,0,2048,22,32,13,17,126
51019050101,2044,455,784,805,0,0,1712,58,160,13,6,95
51019050102,2134,619,961,554,0,0,1806,38,112,25,26,127
51061930101,1962,987,660,315,0,0,1530,150,88,19,22,153
51061930102,2066,969,748,349,0,0,1683,125,37,25,24,172
51061930203,2261,943,977,341,0,0,1889,81,65,20,25,181
51061930204,2915,1193,1305,417,0,0,2431,79,75,41,51,238
51061930205,1449,573,673,203,0,0,1196,42,69,18,22,102
51061930206,1693,611,801,281,0,0,1371,67,59,14,26,156
51061930207,1277,451,567,259,0,0,991,75,66,16,27,102
51061930303,2754,1177,1100,477,0,0,2244,123,45,38,52,252
51061930304,2051,840,972,239,0,0,1712,71,12,25,43,188
51061930305,3311,1554,1201,556,0,0,2533,148,228,37,61,304
51061930306,2095,845,969,281,0,0,1669,118,26,52,22,208
51061930401,4890,1854,2320,716,0,0,3993,249,61,85,100,402
51061930402,4704,1856,2220,628,0,0,3782,184,153,65,107,413
51061930404,1963,637,950,376,0,0,1632,61,52,22,25,171
51061930405,3322,1513,1290,519,0,0,2449,190,217,85,61,320
51061930703,1835,541,925,369,0,0,1585,56,25,20,23,126
51061930704,2987,919,1551,517,0,0,2392,141,157,32,33,232
51061930705,2585,1031,1047,507,0,0,1891,237,191,36,43,187
51061930706,3258,1292,1203,763,0,0,2479,340,153,23,47,216
51061930707,2266,869,956,441,0,0,1767,176,93,22,53,155
51550020001,1032,364,469,199,0,0,881,39,15,13,7,77
51550020002,2590,1561,575,454,0,0,1296,132,983,27,23,129
51550020003,3399,1551,1075,773,0,0,2473,173,456,44,44,209
51550020100,2980,2599,155,226,0,0,396,87,2411,23,14,49
51550020200,2757,2310,124,323,0,0,232,81,2383,14,14,33
51550020300,893,551,129,213,0,0,325,34,486,15,8,25
51550020400,1621,871,338,412,0,0,887,77,516,21,23,97
51550020500,860,640,113,107,0,0,383,50,353,10,8,56
51550020600,2792,1244,963,585,0,0,1977,126,486,18,20,165
51550020700,3237,2721,298,218,0,0,1135,233,1656,30,21,162
51550020804,7339,3525,2539,1275,0,0,4885,572,883,223,210,566
51550020805,4210,2157,1062,991,0,0,2283,329,1213,87,75,223
51550020808,2633,1963,236,434,0,0,263,73,2208,14,15,60
51550020809,3294,1653,766,875,0,0,1597,210,1207,50,35,195
51550020810,1642,741,614,287,0,0,1121,138,185,32,33,133
51550020811,3456,1612,1115,729,0,0,2322,202,529,62,81,260
51550020812,1335,650,359,326,0,0,902,77,218,30,28,80
51550020813,1580,795,286,499,0,0,848,90,500,14,33,95
51550020814,2933,1415,898,620,0,0,1864,185,535,97,72,180
51550020903,1845,1273,164,408,0,0,228,106,1424,22,13,52
51550020905,1477,626,554,297,0,0,1111,71,187,26,19,63
51550020907,1654,809,501,344,0,0,1136,77,277,19,33,112
51550020908,1821,879,587,355,0,0,1348,83,184,53,29,124
51550020909,1982,1119,403,460,0,0,879,109,811,23,39,121
51550020910,844,745,36,63,0,0,144,34,601,10,8,47
51550020911,1878,933,416,529,0,0,1051,113,530,26,31,127
51550020912,3020,1665,582,773,0,0,1411,220,1126,35,52,176
51550021004,5380,2008,2276,1096,0,0,4239,283,232,146,88,392
