BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_rin,party_lib,party_grn,party_lbl,party_con,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_23,eth2_81,eth2_21,eth2_34,eth2_14,eth2_12,eth2_66,eth2_61,eth2_85,eth2_35,eth2_32,eth2_55,eth2_29,eth2_83,eth2_33,eth2_38,eth2_59,eth2_26,eth2_19,eth2_unk
040070006001,604,356,85,95,53,3,0,0,0,12,0,533,26,0,6,4,35,533,26,0,0,1,3,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,35
040070006002,490,312,52,70,45,3,0,0,0,8,0,432,14,0,0,0,44,432,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
040070007001,1269,779,172,165,111,8,0,0,0,34,0,1125,37,1,2,17,87,1125,36,1,0,1,0,0,1,8,0,0,1,0,0,0,2,1,0,0,2,1,1,0,0,87
040070008001,256,157,31,42,21,2,0,0,0,3,0,214,21,0,1,1,19,214,19,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19
040070008002,447,154,185,75,25,4,0,0,0,4,0,244,172,3,2,0,26,244,171,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26
040070009001,574,158,257,116,28,2,0,0,0,13,0,264,250,3,4,9,44,264,250,3,0,0,2,0,0,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,44
040070009002,704,203,283,156,45,5,1,0,0,11,0,394,241,2,6,10,51,394,239,2,2,1,5,1,0,4,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,51
040070010001,393,173,93,78,40,2,0,0,0,7,0,297,65,1,0,3,27,297,63,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,27
040070010002,659,232,225,132,52,3,1,0,0,14,0,410,186,3,4,8,48,410,182,3,1,0,0,3,0,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,1,48
040070010003,273,96,93,62,13,2,0,0,0,7,0,203,56,0,2,0,12,203,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
040070010004,542,184,173,138,34,4,0,0,0,9,0,350,145,1,1,1,44,350,145,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
