BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_rin,party_lib,party_grn,party_wfp,party_ind,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_23,eth2_10,eth2_34,eth2_66,eth2_21,eth2_14,eth2_55,eth2_35,eth2_12,eth2_61,eth2_85,eth2_29,eth2_33,eth2_32,eth2_57,eth2_38,eth2_59,eth2_unk
090076802001,900,332,369,185,12,1,1,0,0,0,0,641,56,80,19,17,87,641,53,79,4,10,3,4,3,6,0,2,0,0,2,1,0,1,1,0,0,0,87
090076802002,666,289,267,98,11,1,0,0,0,0,0,434,74,68,7,13,70,434,73,67,8,3,2,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,70
090076802003,983,356,417,199,8,2,1,0,0,0,0,800,49,5,15,25,89,800,48,5,7,9,2,10,1,1,1,2,4,2,0,0,1,1,0,0,0,0,89
090076802004,1024,335,428,238,18,2,3,0,0,0,0,804,48,12,27,13,120,804,47,11,5,8,5,6,1,5,4,0,0,4,1,0,1,0,0,0,0,0,120
090076802005,860,299,386,156,19,0,0,0,0,0,0,627,63,47,20,15,88,627,62,47,3,7,5,6,1,6,1,2,1,1,0,2,0,1,0,0,0,0,88
090079901000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090091201001,1159,530,391,225,12,1,0,0,0,0,0,793,139,22,19,38,148,793,131,22,16,9,1,12,8,2,3,0,1,2,2,3,0,0,1,2,0,0,148
090091201002,1259,554,439,243,21,2,0,0,0,0,0,895,98,9,46,46,165,895,98,8,14,27,6,16,0,4,2,5,4,0,0,0,0,1,0,4,1,0,165
090091201003,981,473,323,174,8,2,1,0,0,0,0,665,147,28,3,19,119,665,137,28,6,1,1,8,10,0,0,0,0,0,2,1,0,0,0,1,0,0,119
090091201004,845,382,311,130,19,3,0,0,0,0,0,560,105,41,10,17,112,560,105,41,4,2,6,6,0,0,2,1,1,0,1,1,0,0,0,0,1,0,112
090091202001,489,207,183,93,6,0,0,0,0,0,0,301,98,15,9,11,55,301,95,14,2,0,2,2,3,2,0,1,0,1,3,0,1,0,0,1,0,1,55
090091202002,1083,493,412,161,13,3,1,0,0,0,0,638,228,42,11,37,127,638,226,42,6,4,1,13,2,2,1,2,3,1,6,0,0,1,0,3,0,0,127
090091202003,902,370,341,176,15,0,0,0,0,0,0,629,123,5,7,29,109,629,116,5,7,2,1,9,7,1,0,3,1,3,5,0,1,0,1,1,0,0,109
090091202004,739,308,329,87,12,2,1,0,0,0,0,388,190,73,8,20,60,388,189,73,5,2,3,7,1,2,1,0,0,0,1,0,0,0,0,5,1,1,60
090091251001,1867,870,587,386,23,1,0,0,0,0,0,1392,174,19,19,41,222,1392,161,19,11,3,4,17,13,3,3,2,2,4,3,1,0,0,0,5,0,0,222
090091251002,1260,618,393,228,20,1,0,0,0,0,0,903,150,19,13,32,143,903,145,19,10,2,0,7,5,5,0,8,0,5,2,0,0,1,0,1,1,2,143
090091252001,1091,493,420,160,14,3,1,0,0,0,0,659,214,57,9,25,127,659,208,56,11,1,1,7,6,3,1,0,0,1,1,0,0,5,0,0,0,0,127
090091252002,1106,526,409,151,17,1,2,0,0,0,0,587,236,132,14,32,105,587,228,131,11,3,9,5,8,0,0,1,0,1,6,0,1,2,1,1,1,1,105
090091252003,1148,522,386,221,17,1,1,0,0,0,0,751,183,44,11,28,131,751,178,44,11,1,5,7,5,2,0,0,0,3,2,0,2,1,1,4,0,0,131
090091253001,851,418,255,161,17,0,0,0,0,0,0,578,133,30,16,14,80,578,129,30,6,5,2,4,4,4,1,1,0,0,2,0,0,1,0,0,0,0,80
090091253002,920,445,336,132,7,0,0,0,0,0,0,457,254,65,16,28,100,457,251,64,11,3,5,7,3,6,0,1,2,1,0,0,2,4,0,1,0,0,100
090091253003,940,408,388,125,16,1,2,0,0,0,0,481,248,104,8,24,75,481,246,104,8,4,1,6,2,0,3,3,0,0,0,0,5,1,0,1,0,0,75
090091254001,1426,690,486,227,19,3,1,0,0,0,0,896,269,65,15,41,140,896,262,64,8,8,3,11,7,2,0,7,2,0,4,1,0,1,1,0,4,1,140
090091254002,549,231,239,72,7,0,0,0,0,0,0,271,93,117,4,10,54,271,90,117,3,2,1,5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,54
090091301011,1168,605,297,244,18,4,0,0,0,0,0,816,145,9,6,39,153,816,142,8,8,3,1,23,3,0,0,5,0,2,0,1,1,0,0,1,0,0,153
090091301012,1109,598,234,266,11,0,0,0,0,0,0,762,80,20,19,43,185,762,74,20,4,8,5,15,6,2,4,18,0,0,1,2,0,0,0,1,2,0,185
090091301013,1246,656,291,286,11,1,0,1,0,0,0,917,94,12,15,48,160,917,88,11,11,8,4,14,6,0,0,4,1,2,8,1,1,0,0,1,5,0,160
090091301021,386,190,91,102,3,0,0,0,0,0,0,272,38,6,5,18,47,272,35,6,2,3,0,2,3,0,0,5,0,1,1,2,0,5,1,0,0,0,47
090091301022,1824,933,474,395,13,5,4,0,0,0,0,1306,191,31,22,77,197,1306,185,31,15,5,8,28,6,4,1,14,3,1,7,1,0,0,0,1,3,1,197
090091302011,1038,480,225,326,5,1,1,0,0,0,0,729,85,0,9,30,185,729,76,0,2,3,1,11,9,2,1,7,0,2,3,0,0,1,0,5,0,1,185
090091302012,1582,781,311,478,12,0,0,0,0,0,0,1116,115,15,37,62,237,1116,102,15,16,22,7,28,13,0,3,7,2,5,4,0,0,0,1,2,0,2,237
090091302021,624,315,169,137,3,0,0,0,0,0,0,439,52,8,5,33,87,439,51,8,7,0,2,11,1,0,2,9,0,0,3,0,0,2,0,1,0,0,87
090091302022,602,324,120,151,7,0,0,0,0,0,0,475,37,0,1,22,67,475,36,0,10,0,0,4,1,1,0,1,1,0,4,0,0,0,1,0,0,0,67
090091302023,1311,677,297,319,15,2,1,0,0,0,0,910,132,8,27,50,184,910,127,8,11,13,6,14,5,0,2,7,2,5,7,0,1,5,0,2,1,0,184
090091302024,865,454,175,227,5,3,1,0,0,0,0,623,99,5,5,26,107,623,91,5,7,0,3,8,8,0,1,2,1,0,6,0,1,0,0,0,1,0,107
090091401011,757,257,450,43,7,0,0,0,0,0,0,399,54,39,104,39,122,399,53,38,21,24,43,6,1,10,20,1,3,3,1,0,2,2,1,0,2,0,122
090091401021,743,244,441,41,16,0,0,0,1,0,0,267,100,196,75,28,77,267,99,195,12,26,24,4,1,3,18,0,5,3,0,0,0,1,3,0,0,0,77
090091401022,586,143,407,29,3,1,3,0,0,0,0,307,51,80,42,23,83,307,51,79,9,16,20,7,0,2,2,0,2,1,0,0,3,0,1,0,0,1,83
090091402001,598,156,406,32,3,1,0,0,0,0,0,195,175,127,1,9,91,195,175,127,6,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,91
090091403001,1360,443,853,51,12,0,1,0,0,0,0,219,599,466,15,14,47,219,598,465,9,4,6,4,1,1,3,0,0,0,0,0,0,1,0,0,0,0,47
090091403002,70,29,36,5,0,0,0,0,0,0,0,24,4,23,9,4,6,24,4,23,2,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
090091404001,1433,479,894,48,11,0,1,0,0,0,0,249,707,404,20,16,37,249,704,404,9,18,2,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,37
090091404002,481,171,254,50,5,1,0,0,0,0,0,240,83,81,17,13,47,240,83,81,7,7,7,3,0,0,1,0,0,2,0,0,0,0,2,0,0,0,47
090091405001,655,221,411,17,4,0,2,0,0,0,0,109,286,233,5,3,19,109,284,232,1,1,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,19
090091405002,690,226,437,22,2,2,0,0,1,0,0,87,354,216,4,12,17,87,353,216,10,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,17
090091405003,756,299,422,27,6,0,2,0,0,0,0,158,316,238,4,10,30,158,316,238,5,2,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,30
090091406001,870,248,605,13,4,0,0,0,0,0,0,103,365,379,5,6,12,103,365,379,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
090091406002,971,268,676,23,4,0,0,0,0,0,0,98,475,359,4,10,25,98,473,359,7,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,25
090091406003,928,257,614,45,8,0,2,0,2,0,0,142,324,411,10,17,24,142,323,411,14,5,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,24
090091407001,447,166,264,10,7,0,0,0,0,0,0,58,109,246,5,6,23,58,107,245,3,2,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,23
090091407002,448,114,316,11,6,0,1,0,0,0,0,50,85,296,4,7,6,50,83,296,2,2,0,2,2,0,0,0,0,2,0,0,2,1,0,0,0,0,6
